shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United National Movement,Industrialists - Our Homeland,Free Democrats,Georgian Dream,Initiative Group
District,48,48,15580,28.82,6,31,4,0,,2,4.88,1.0,,0,0.0,,,,,,0,0,0,0,41,50.0,24.72,0.0,0.0,75.27,0.0
District,49,49,17548,32.16,2,33,6,2,,2,4.65,1.0,,0,0.0,,,,,,0,0,0,0,43,50.0,32.67,0.0,0.0,67.32,0.0
District,51,51,23459,48.69,9,42,16,7,,10,13.51,1.6,,0,0.0,,,,,,0,0,0,0,74,50.0,27.18,0.0,0.0,72.76,0.0
District,52,52,19924,39.76,7,33,5,1,,6,13.04,1.67,,0,0.0,,,,,,0,0,0,0,46,50.0,21.36,0.0,0.0,78.59,0.0
District,56,56,17980,41.95,5,43,8,1,,6,10.53,1.67,,1,1.75,1.0,,,,,0,0,0,0,57,50.0,0.0,0.0,35.84,64.11,0.0
District,60,60,25728,51.18,4,49,20,5,,3,3.85,2.67,,0,0.0,,,,,,0,0,0,0,78,50.0,0.0,0.0,0.0,74.73,25.24
District,61,61,21078,40.37,3,33,7,0,,2,4.65,1.5,,0,0.0,,,,,,0,0,0,0,43,50.0,24.47,0.0,0.0,75.52,0.0
District,63,63,18602,42.0,6,35,6,0,,4,8.51,1.5,,0,0.0,,,,,,0,0,0,0,47,50.0,24.69,0.0,0.0,75.28,0.0
District,64,64,20561,45.75,7,32,7,1,,8,17.02,2.0,,1,2.13,1.0,,,,,0,0,0,0,47,50.0,29.25,0.0,0.0,70.67,0.0
District,65,65,13366,25.4,4,34,5,0,,5,11.63,2.0,,1,2.33,1.0,,,,,0,0,0,0,43,50.0,29.81,0.0,0.0,70.13,0.0
District,66,66,19189,36.96,3,33,12,1,,11,22.45,1.82,,0,0.0,,,,,,0,0,0,0,49,50.0,28.88,0.0,0.0,71.01,0.0
District,67,67,22527,43.08,5,37,13,0,,2,3.64,1.5,,1,1.82,53.0,,,,,0,0,0,0,55,50.0,31.51,0.0,0.0,68.71,0.0
District,68,68,17701,33.36,2,28,11,0,,10,24.39,1.6,,0,0.0,,,,,,0,0,0,0,41,50.0,31.79,0.0,0.0,68.12,0.0
District,69,69,15306,28.85,1,26,11,0,,8,21.05,2.0,,0,0.0,,,,,,0,0,0,0,38,50.0,30.75,0.0,0.0,69.14,0.0
District,70,70,16774,31.71,4,26,10,0,,12,30.0,1.5,,1,2.5,1.0,,,,,0,0,0,0,40,50.0,28.69,0.0,0.0,71.21,0.0
District,71,71,19616,40.74,7,36,4,0,,18,38.3,9.44,,0,0.0,,,,,,0,0,0,0,47,50.0,28.48,0.0,0.0,70.66,0.0
District,72,72,18103,37.63,4,35,10,1,,6,12.0,1.67,,0,0.0,,,,,,0,0,0,0,50,50.0,27.84,0.0,0.0,72.11,0.0
Precinct,01.01,01.01.01,493,33.22,,,,,1.2,,,,1,,,,0,0.57,0.93,0.46,,,,,,,25.76,0.0,0.0,0.0,74.04
Precinct,01.02,01.01.02,492,37.67,,,,,1.8,,,,0,,,,0,0.57,0.97,0.41,,,,,,,41.46,0.0,0.0,0.0,58.54
Precinct,01.03,01.01.03,581,39.55,,,,,2.84,,,,0,,,,0,0.61,1.03,0.8,,,,,,,40.1,0.0,0.0,0.0,59.9
Precinct,01.04,01.01.04,400,33.42,,,,,3.38,,,,0,,,,0,0.46,0.77,0.4,,,,,,,26.25,0.0,0.0,0.0,73.75
Precinct,01.05,01.01.05,558,35.32,,,,,1.41,,,,0,,,,0,0.6,0.95,0.76,,,,,,,33.87,0.0,0.0,0.0,66.13
Precinct,01.06,01.01.06,556,37.47,,,,,2.28,,,,0,,,,0,0.62,0.98,0.71,,,,,,,23.38,0.0,0.0,0.0,76.62
Precinct,01.07,01.01.07,475,32.65,,,,,2.66,,,,0,,,,0,0.57,0.84,0.55,,,,,,,33.05,0.0,0.0,0.0,66.95
Precinct,01.08,01.01.08,343,29.77,,,,,3.38,,,,0,,,,0,0.33,0.67,0.42,,,,,,,24.49,0.0,0.0,0.0,75.51
Precinct,01.09,01.01.09,518,35.87,,,,,2.08,,,,0,,,,0,0.54,1.03,0.51,,,,,,,30.12,0.0,0.0,0.0,69.88
Precinct,01.10,01.01.10,559,35.56,,,,,1.24,,,,0,,,,0,0.73,0.96,0.57,,,,,,,26.48,0.0,0.0,0.0,73.52
Precinct,01.11,01.01.11,562,34.89,,,,,1.23,,,,0,,,,0,0.68,0.95,0.66,,,,,,,37.54,0.0,0.0,0.0,62.46
Precinct,01.12,01.01.12,581,37.41,,,,,3.81,,,,0,,,,0,0.53,1.22,0.61,,,,,,,28.92,0.0,0.0,0.0,71.08
Precinct,01.13,01.01.13,443,32.91,,,,,1.12,,,,0,,,,0,0.59,0.72,0.5,,,,,,,23.25,0.0,0.0,0.0,76.75
Precinct,01.14,01.01.14,457,38.08,,,,,1.3,,,,0,,,,0,0.52,0.83,0.49,,,,,,,29.1,0.0,0.0,0.0,70.9
Precinct,01.15,01.01.15,575,41.4,,,,,3.2,,,,0,,,,0,0.62,1.05,0.72,,,,,,,27.13,0.0,0.0,0.0,72.87
Precinct,01.16,01.01.16,595,39.27,,,,,2.62,,,,3,,,,0,0.64,1.14,0.63,,,,,,,38.49,0.0,0.0,0.0,61.01
Precinct,01.17,01.01.17,362,35.98,,,,,1.63,,,,0,,,,0,0.32,0.72,0.42,,,,,,,27.9,0.0,0.0,0.0,72.1
Precinct,01.18,01.01.18,417,37.13,,,,,2.34,,,,1,,,,0,0.42,0.83,0.43,,,,,,,38.85,0.0,0.0,0.0,60.91
Precinct,01.19,01.01.19,527,35.02,,,,,1.86,,,,0,,,,0,0.48,0.97,0.73,,,,,,,32.45,0.0,0.0,0.0,67.55
Precinct,01.20,01.01.20,618,42.92,,,,,3.13,,,,1,,,,0,0.78,1.06,0.74,,,,,,,42.07,0.0,0.0,0.0,57.77
Precinct,01.21,01.01.21,577,40.35,,,,,1.54,,,,0,,,,0,0.68,1.07,0.57,,,,,,,37.78,0.0,0.0,0.0,62.22
Precinct,01.22,01.01.22,606,39.53,,,,,2.42,,,,0,,,,0,0.6,1.02,0.94,,,,,,,26.4,0.0,0.0,0.0,73.6
Precinct,01.23,01.01.23,640,44.63,,,,,2.29,,,,0,,,,0,0.8,1.12,0.71,,,,,,,37.66,0.0,0.0,0.0,62.34
Precinct,01.24,01.01.24,685,43.49,,,,,1.58,,,,0,,,,0,0.89,1.2,0.67,,,,,,,35.77,0.0,0.0,0.0,64.23
Precinct,01.25,01.01.25,451,41.53,,,,,1.31,,,,0,,,,0,0.53,0.87,0.38,,,,,,,39.47,0.0,0.0,0.0,60.53
Precinct,01.26,01.01.26,567,37.75,,,,,1.73,,,,0,,,,0,0.6,1.09,0.58,,,,,,,32.28,0.0,0.0,0.0,67.72
Precinct,01.27,01.01.27,637,40.99,,,,,1.09,,,,0,,,,0,0.66,1.09,0.89,,,,,,,25.43,0.0,0.0,0.0,74.57
Precinct,01.28,01.01.28,617,45.3,,,,,1.75,,,,0,,,,0,0.63,1.19,0.67,,,,,,,26.74,0.0,0.0,0.0,73.26
Precinct,01.32,01.01.32,794,49.47,,,,,2.58,,,,1,,,,0,0.9,1.4,0.99,,,,,,,39.04,0.0,0.0,0.0,60.83
Precinct,01.33,01.01.33,539,39.99,,,,,1.28,,,,0,,,,0,0.51,1.01,0.68,,,,,,,37.29,0.0,0.0,0.0,62.71
Precinct,04.01,01.04.01,591,37.24,,,,,2.96,,,,0,,,,0,0.63,1.05,0.8,,,,,,,26.9,0.0,0.0,0.0,73.1
Precinct,01.29,02.01.29,613,37.79,,,,,0.97,,,,0,,,,0,0.72,1.18,0.52,,,,,,,26.1,0.0,0.0,73.9,0.0
Precinct,01.30,02.01.30,493,40.44,,,,,2.38,,,,0,,,,0,0.39,1.08,0.49,,,,,,,23.12,0.0,0.0,76.88,0.0
Precinct,01.31,02.01.31,511,35.41,,,,,2.85,,,,0,,,,0,0.45,1.1,0.49,,,,,,,23.87,0.0,0.0,76.13,0.0
Precinct,02.01,02.02.01,531,41.1,,,,,1.67,,,,0,,,,0,0.6,0.92,0.67,,,,,,,26.18,0.0,0.0,73.82,0.0
Precinct,02.03,02.02.03,637,41.47,,,,,1.85,,,,0,,,,0,0.63,1.14,0.87,,,,,,,22.76,0.0,0.0,77.24,0.0
Precinct,02.04,02.02.04,556,38.61,,,,,2.28,,,,0,,,,0,0.45,1.12,0.69,,,,,,,20.86,0.0,0.0,79.14,0.0
Precinct,02.05,02.02.05,689,43.09,,,,,2.55,,,,0,,,,0,0.63,1.4,0.76,,,,,,,19.59,0.0,0.0,80.41,0.0
Precinct,02.06,02.02.06,573,42.83,,,,,1.72,,,,0,,,,0,0.62,0.96,0.82,,,,,,,26.35,0.0,0.0,73.65,0.0
Precinct,02.07,02.02.07,452,42.8,,,,,2.8,,,,0,,,,0,0.36,0.95,0.53,,,,,,,28.54,0.0,0.0,71.46,0.0
Precinct,02.08,02.02.08,456,34.81,,,,,1.72,,,,0,,,,0,0.44,0.89,0.51,,,,,,,23.46,0.0,0.0,76.54,0.0
Precinct,02.09,02.02.09,477,38.01,,,,,0.42,,,,0,,,,0,0.53,0.88,0.5,,,,,,,16.98,0.0,0.0,83.02,0.0
Precinct,02.10,02.02.10,560,40.82,,,,,2.27,,,,1,,,,0,0.46,1.08,0.77,,,,,,,20.54,0.0,0.0,79.29,0.0
Precinct,02.11,02.02.11,581,43.13,,,,,3.01,,,,0,,,,0,0.55,1.08,0.8,,,,,,,28.23,0.0,0.0,71.77,0.0
Precinct,02.12,02.02.12,600,45.42,,,,,3.69,,,,0,,,,0,0.61,1.11,0.79,,,,,,,23.0,0.0,0.0,77.0,0.0
Precinct,02.13,02.02.13,623,41.48,,,,,1.89,,,,0,,,,0,0.74,1.08,0.75,,,,,,,22.47,0.0,0.0,77.53,0.0
Precinct,02.14,02.02.14,606,42.47,,,,,2.73,,,,0,,,,0,0.68,1.17,0.6,,,,,,,27.06,0.0,0.0,72.94,0.0
Precinct,02.15,02.02.15,549,38.61,,,,,2.49,,,,1,,,,0,0.49,1.04,0.74,,,,,,,21.31,0.0,0.0,78.51,0.0
Precinct,02.16,02.02.16,412,32.59,,,,,1.2,,,,0,,,,0,0.39,0.8,0.47,,,,,,,28.64,0.0,0.0,71.36,0.0
Precinct,02.22,02.02.22,371,30.89,,,,,1.07,,,,0,,,,0,0.41,0.68,0.41,,,,,,,22.64,0.0,0.0,77.36,0.0
Precinct,02.49,02.02.49,616,41.54,,,,,2.99,,,,2,,,,0,0.41,1.3,0.82,,,,,,,21.75,0.0,0.0,77.92,0.0
Precinct,02.50,02.02.50,606,38.55,,,,,1.14,,,,0,,,,0,0.54,1.17,0.74,,,,,,,23.93,0.0,0.0,76.07,0.0
Precinct,02.51,02.02.51,554,36.0,,,,,2.46,,,,0,,,,0,0.42,1.08,0.79,,,,,,,22.02,0.0,0.0,77.98,0.0
Precinct,02.52,02.02.52,520,43.26,,,,,2.44,,,,0,,,,0,0.44,1.08,0.58,,,,,,,27.69,0.0,0.0,72.31,0.0
Precinct,02.66,02.02.66,532,41.08,,,,,2.39,,,,0,,,,0,0.7,0.97,0.47,,,,,,,24.81,0.0,0.0,75.19,0.0
Precinct,02.67,02.02.67,455,43.67,,,,,1.3,,,,0,,,,0,0.54,0.71,0.66,,,,,,,25.27,0.0,0.0,74.73,0.0
Precinct,02.68,02.02.68,464,36.08,,,,,3.33,,,,0,,,,0,0.64,0.72,0.61,,,,,,,36.21,0.0,0.0,63.79,0.0
Precinct,02.69,02.02.69,497,45.68,,,,,1.19,,,,0,,,,0,0.77,0.67,0.66,,,,,,,40.04,0.0,0.0,59.96,0.0
Precinct,02.70,02.02.70,373,36.86,,,,,0.8,,,,0,,,,0,0.49,0.62,0.4,,,,,,,33.78,0.0,0.0,66.22,0.0
Precinct,02.71,02.02.71,449,29.56,,,,,1.32,,,,0,,,,0,0.49,0.79,0.55,,,,,,,21.16,0.0,0.0,78.84,0.0
