shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,People's Government,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Our Georgia,Georgian Dream
Precinct,05.01,09.05.01,591,40.29,,,,,3.11,,,,0,,,,0,0.92,0.83,0.78,,,,,,,1.69,0.17,5.75,0.0,22.0,0.68,0.0,4.4,4.91,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.17,8.12,0.0,0.17,3.55,0.0,0.0,47.72
Precinct,05.02,09.05.02,667,40.45,,,,,2.91,,,,5,,,,0,0.93,1.09,0.76,,,,,,,1.95,0.0,5.1,0.0,27.29,0.6,0.45,4.8,3.15,0.0,0.15,0.75,0.15,0.0,0.6,0.15,2.1,0.15,5.25,0.0,0.3,4.05,0.0,0.0,42.28
Precinct,05.03,09.05.03,546,35.36,,,,,2.85,,,,0,,,,0,0.94,0.81,0.52,,,,,,,0.92,0.0,3.11,0.0,29.67,0.73,0.0,3.48,2.56,0.0,0.0,0.37,0.0,0.0,0.0,0.18,0.18,0.0,10.07,0.18,0.0,4.4,0.0,0.0,44.14
Precinct,05.04,09.05.04,571,36.19,,,,,4.03,,,,10,,,,0,0.75,0.85,0.89,,,,,,,2.8,0.0,5.78,0.0,21.72,0.7,0.0,4.9,1.58,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.0,3.68,0.18,0.0,2.28,0.0,0.0,54.12
Precinct,05.05,09.05.05,585,38.87,,,,,2.17,,,,6,,,,0,0.92,0.85,0.69,,,,,,,1.54,0.34,7.69,0.0,29.23,1.2,0.51,5.47,2.05,0.17,0.17,0.17,0.0,0.0,0.17,0.0,0.51,0.0,0.68,0.0,0.17,3.42,0.0,0.0,45.47
Precinct,05.06,09.05.06,561,36.29,,,,,3.28,,,,0,,,,0,0.72,0.93,0.71,,,,,,,3.39,0.0,4.63,0.18,25.49,2.85,0.18,6.06,2.67,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.18,0.0,0.53,0.0,0.89,3.39,0.53,0.0,48.48
Precinct,05.07,09.05.07,700,43.53,,,,,2.78,,,,2,,,,0,1.14,1.1,0.65,,,,,,,3.86,0.0,5.0,0.29,27.0,1.29,0.0,5.14,4.0,0.0,0.0,0.43,0.0,0.14,0.0,0.29,0.71,0.0,1.57,0.0,0.29,7.71,0.0,0.0,42.0
Precinct,05.08,09.05.08,591,40.79,,,,,4.37,,,,1,,,,0,0.93,0.98,0.56,,,,,,,1.69,0.0,4.23,0.17,30.63,2.88,0.51,5.08,2.71,0.0,0.0,0.17,0.0,0.0,0.0,0.34,0.17,0.17,0.68,0.0,0.34,5.75,0.0,0.0,44.33
Precinct,05.09,09.05.09,591,42.95,,,,,2.64,,,,0,,,,0,0.71,1.1,0.59,,,,,,,1.86,0.0,6.26,0.0,21.32,2.2,0.17,3.21,5.08,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.51,0.17,4.91,0.0,0.68,5.41,0.0,0.0,48.05
Precinct,05.10,09.05.10,671,45.9,,,,,2.33,,,,2,,,,0,1.02,1.12,0.6,,,,,,,2.98,0.0,5.51,0.15,26.97,1.94,0.0,6.56,4.02,0.0,0.15,0.3,0.0,0.0,0.0,0.15,0.45,0.0,1.49,0.3,0.3,7.3,0.0,0.0,41.13
Precinct,05.11,09.05.11,685,43.66,,,,,4.06,,,,2,,,,0,1.09,1.07,0.72,,,,,,,1.46,0.0,7.01,0.0,31.53,1.9,0.0,4.96,6.28,0.0,0.29,0.15,0.15,0.0,0.0,0.0,1.17,0.15,0.58,0.0,0.58,3.5,0.44,0.15,39.42
Precinct,05.12,09.05.12,751,47.0,,,,,1.44,,,,0,,,,0,1.22,1.07,0.82,,,,,,,1.73,0.0,3.73,0.27,25.83,2.53,0.13,5.99,3.6,0.0,0.27,0.8,0.0,0.0,0.0,0.13,0.4,0.0,1.6,0.0,0.53,5.59,0.0,0.0,46.87
Precinct,05.13,09.05.13,685,45.15,,,,,2.97,,,,0,,,,0,0.93,1.05,0.93,,,,,,,1.9,0.0,4.96,0.0,27.74,1.9,0.29,5.69,3.8,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.73,0.0,0.88,5.11,0.15,0.29,46.13
Precinct,05.14,09.05.14,528,45.4,,,,,4.0,,,,0,,,,0,0.78,0.9,0.53,,,,,,,3.98,0.19,5.68,0.19,29.73,1.33,0.0,5.68,4.17,0.19,0.38,0.0,0.0,0.0,0.38,0.0,0.76,0.0,0.38,0.0,0.76,7.58,0.0,0.0,38.64
Precinct,05.15,09.05.15,345,41.37,,,,,1.15,,,,0,,,,0,0.5,0.5,0.44,,,,,,,4.93,0.58,5.8,0.0,18.84,2.32,0.0,6.67,3.19,0.0,0.0,0.58,0.0,0.0,0.0,0.0,1.16,0.0,0.58,0.0,0.29,6.96,0.0,0.0,48.12
Precinct,05.38,09.05.38,710,41.64,,,,,4.44,,,,2,,,,0,1.11,1.11,0.79,,,,,,,2.25,0.0,3.94,0.28,29.15,0.99,0.14,3.52,3.8,0.0,0.0,0.99,0.14,0.14,0.14,0.14,0.7,0.0,0.28,0.0,0.28,2.25,0.0,0.0,50.56
Precinct,05.39,09.05.39,644,41.41,,,,,2.13,,,,0,,,,0,1.01,0.95,0.73,,,,,,,1.71,0.16,9.78,0.0,22.05,0.93,0.0,7.3,4.81,0.0,0.0,0.31,0.0,0.0,0.78,0.62,0.0,0.0,0.31,0.0,0.47,7.92,0.0,0.0,42.86
Precinct,05.40,09.05.40,618,38.36,,,,,2.83,,,,0,,,,0,0.88,0.89,0.88,,,,,,,2.75,0.0,5.99,0.16,26.86,1.94,0.65,6.8,3.56,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.49,0.0,0.49,0.16,1.13,4.37,0.16,0.16,43.85
Precinct,05.41,09.05.41,588,39.97,,,,,3.61,,,,0,,,,0,0.88,0.92,0.68,,,,,,,2.38,0.0,2.38,0.0,25.0,0.34,0.17,5.95,5.44,0.0,0.17,0.17,0.0,0.0,0.0,0.17,0.17,0.0,0.34,0.0,0.51,5.95,0.34,0.0,50.51
Precinct,05.42,09.05.42,615,37.99,,,,,2.69,,,,0,,,,1,0.97,0.97,0.6,,,,,,,1.46,0.16,6.34,0.0,35.61,0.81,0.33,3.58,5.69,0.16,0.0,0.33,0.0,0.0,0.16,0.0,0.0,0.0,0.33,0.0,0.0,3.9,0.0,0.0,41.3
Precinct,05.43,09.05.43,542,34.22,,,,,1.45,,,,0,,,,0,1.01,0.73,0.49,,,,,,,2.95,0.18,7.38,0.0,25.46,1.66,0.37,4.06,4.43,0.0,0.55,0.18,0.0,0.0,0.55,0.0,0.0,0.0,0.37,0.0,0.0,5.35,0.0,0.18,46.31
Precinct,05.44,09.05.44,519,32.66,,,,,3.53,,,,1,,,,0,0.8,0.79,0.61,,,,,,,0.39,0.0,6.36,0.0,29.67,0.19,0.58,8.48,2.7,0.19,0.39,0.39,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.58,3.85,0.39,0.19,45.09
Precinct,05.45,09.05.45,517,33.38,,,,,3.18,,,,0,,,,0,0.82,0.77,0.59,,,,,,,3.09,0.0,7.16,0.19,30.17,0.97,0.0,4.64,3.48,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.19,0.0,0.19,0.0,0.58,3.48,0.0,0.0,45.45
Precinct,05.46,09.05.46,422,37.58,,,,,3.21,,,,0,,,,0,0.62,0.57,0.65,,,,,,,2.61,0.24,6.87,0.24,28.67,0.71,0.0,7.82,4.98,0.0,0.47,0.24,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.0,0.0,5.92,0.0,0.24,40.05
Precinct,05.78,09.05.78,289,40.65,,,,,2.69,,,,0,,,,0,0.55,0.31,0.4,,,,,,,2.77,0.0,5.19,0.69,21.45,0.0,0.35,5.19,6.57,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.69,3.81,0.0,0.0,51.9
Precinct,07.04,09.07.04,738,47.49,,,,,3.02,,,,0,,,,0,1.21,1.04,0.88,,,,,,,1.22,0.14,4.2,0.14,25.07,2.03,0.27,4.61,3.12,0.0,0.14,0.0,0.27,0.14,0.27,0.95,0.27,0.14,0.0,0.27,0.54,6.1,0.27,0.0,49.86
Precinct,07.05,09.07.05,486,34.69,,,,,3.95,,,,0,,,,0,0.72,0.76,0.58,,,,,,,1.23,0.0,4.32,0.0,29.84,2.26,0.21,3.91,3.29,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.21,0.0,0.62,0.0,0.21,4.12,0.0,0.0,49.38
Precinct,07.06,09.07.06,711,48.37,,,,,3.79,,,,0,,,,0,1.06,1.1,0.86,,,,,,,2.11,0.28,3.94,0.0,20.82,2.25,0.28,6.05,3.09,0.0,0.0,0.42,0.14,0.0,0.0,0.7,0.0,0.28,0.84,0.0,0.42,4.64,0.14,0.0,53.59
Precinct,07.25,09.07.25,608,51.83,,,,,2.41,,,,0,,,,0,0.89,0.9,0.77,,,,,,,1.97,0.0,5.1,0.0,19.24,2.47,0.0,4.11,1.97,0.0,0.49,0.16,0.0,0.16,0.0,0.0,2.96,0.49,0.33,0.16,0.49,5.59,0.0,0.16,54.11
Precinct,07.26,09.07.26,622,44.52,,,,,4.89,,,,0,,,,0,0.97,1.04,0.61,,,,,,,2.57,0.0,2.57,0.0,25.72,2.57,0.16,5.79,2.73,0.0,0.16,0.16,0.0,0.0,0.16,0.16,0.8,0.32,0.16,0.0,0.48,4.98,0.0,0.0,50.48
Precinct,07.35,09.07.35,654,47.81,,,,,2.82,,,,2,,,,0,0.96,0.97,0.83,,,,,,,1.53,0.0,5.05,0.0,23.85,1.83,0.0,5.35,1.99,0.0,0.31,0.31,0.0,0.15,0.0,0.76,0.61,0.15,0.0,0.46,0.46,7.49,0.15,0.0,49.24
Precinct,05.16,10.05.16,748,46.37,,,,,2.35,,,,0,,,,0,1.15,1.22,0.69,,,,,,,3.07,0.0,11.9,0.13,21.39,2.41,0.94,4.14,1.87,0.0,0.27,0.27,0.13,0.13,0.0,0.4,0.53,0.0,0.0,0.0,0.8,6.02,0.27,0.0,45.32
Precinct,05.17,10.05.17,644,46.7,,,,,3.16,,,,2,,,,0,0.82,1.0,0.94,,,,,,,3.26,0.0,6.52,0.0,21.27,2.17,0.0,4.66,0.78,0.0,0.47,0.16,0.47,0.0,0.16,0.16,0.31,0.16,0.31,0.0,0.78,3.88,0.16,0.0,54.04
Precinct,05.18,10.05.18,702,49.68,,,,,5.65,,,,0,,,,7,1.15,1.12,0.72,,,,,,,2.42,0.0,6.84,0.0,26.64,4.56,0.0,5.56,2.85,0.0,0.0,0.14,0.0,0.43,0.0,0.71,1.14,0.14,0.14,0.28,0.57,4.56,0.14,0.0,43.87
Precinct,05.19,10.05.19,628,45.77,,,,,3.24,,,,0,,,,0,0.97,1.04,0.58,,,,,,,3.5,0.0,5.57,0.48,21.97,3.66,0.48,5.57,2.07,0.0,1.11,0.16,0.16,0.0,0.16,0.16,0.32,0.16,0.0,0.48,1.11,5.73,0.0,0.0,47.13
Precinct,05.20,10.05.20,520,38.66,,,,,2.8,,,,0,,,,1,0.89,0.74,0.56,,,,,,,1.54,0.38,5.0,0.19,44.62,1.15,0.19,7.69,2.69,0.0,0.19,0.0,0.19,0.0,0.0,0.19,0.58,0.0,0.19,0.0,0.58,2.88,0.0,0.19,31.73
Precinct,05.21,10.05.21,681,42.56,,,,,3.54,,,,0,,,,0,0.83,1.17,0.88,,,,,,,2.5,0.15,4.41,0.0,25.55,2.06,0.0,3.52,2.79,0.15,0.15,0.29,0.0,0.15,0.0,0.0,0.29,0.0,0.0,0.0,0.59,5.73,0.0,0.0,51.69
Precinct,05.22,10.05.22,830,49.58,,,,,2.81,,,,0,,,,0,1.11,1.34,1.04,,,,,,,3.49,0.12,6.63,0.12,21.2,1.93,0.0,3.73,3.01,0.0,0.48,0.12,0.12,0.0,0.12,0.36,0.36,0.0,0.0,0.0,1.2,5.9,0.0,0.0,51.08
Precinct,05.23,10.05.23,568,40.48,,,,,4.05,,,,0,,,,2,0.92,0.94,0.5,,,,,,,1.94,0.18,4.23,0.0,21.3,4.93,1.23,6.69,3.35,0.18,0.35,0.18,0.18,0.0,0.0,0.18,0.18,0.18,0.18,0.0,0.53,4.93,0.18,0.18,49.12
Precinct,05.24,10.05.24,725,46.18,,,,,3.59,,,,1,,,,0,1.15,1.19,0.67,,,,,,,2.9,0.14,4.28,0.0,25.52,5.79,0.14,5.52,3.31,0.0,0.0,0.0,0.28,0.0,0.0,0.14,1.1,0.14,0.0,0.0,0.28,2.76,0.0,0.14,47.45
Precinct,05.25,10.05.25,715,43.7,,,,,2.46,,,,1,,,,0,1.13,1.15,0.65,,,,,,,2.94,0.0,6.01,0.0,29.37,2.8,0.0,3.64,3.92,0.0,0.0,0.56,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.28,3.5,0.0,0.14,46.15
Precinct,05.26,10.05.26,777,47.49,,,,,4.07,,,,0,,,,5,1.22,1.33,0.67,,,,,,,2.19,0.0,6.69,0.0,28.19,3.47,0.26,5.41,3.6,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.64,0.0,0.13,0.0,1.03,6.31,0.13,0.0,42.34
Precinct,05.27,10.05.27,711,44.77,,,,,2.6,,,,0,,,,0,1.19,1.08,0.67,,,,,,,4.5,0.0,4.64,0.0,25.04,4.64,0.0,4.78,4.08,0.0,0.0,0.28,0.0,0.0,0.0,0.14,0.7,0.14,0.0,0.0,0.28,7.17,0.14,0.0,43.46
Precinct,05.28,10.05.28,662,40.97,,,,,3.92,,,,1,,,,0,1.0,1.16,0.56,,,,,,,3.02,0.15,3.17,0.0,26.28,1.51,0.0,6.65,5.74,0.0,0.15,0.3,0.0,0.3,0.0,0.45,0.6,0.15,0.3,0.0,1.36,5.29,0.3,0.0,44.11
Precinct,05.29,10.05.29,618,41.06,,,,,4.04,,,,0,,,,0,0.88,0.98,0.77,,,,,,,3.07,0.0,3.72,0.16,20.71,1.94,0.0,7.77,2.43,0.16,0.0,0.32,0.16,0.0,0.16,0.0,0.81,0.49,0.0,0.0,0.32,6.31,0.0,0.0,51.46
Precinct,05.30,10.05.30,715,43.95,,,,,3.77,,,,0,,,,0,1.09,1.07,0.89,,,,,,,3.08,0.28,3.64,0.0,28.95,1.54,0.84,4.9,2.8,0.0,0.28,0.28,0.84,0.84,0.0,0.14,0.28,0.0,0.28,0.0,0.56,6.15,0.14,0.0,44.2
Precinct,05.31,10.05.31,640,40.3,,,,,2.74,,,,1,,,,0,0.87,0.98,0.87,,,,,,,1.72,0.47,5.63,0.0,24.84,2.81,0.31,3.44,5.31,0.0,0.0,0.16,0.31,0.0,0.0,0.0,2.03,0.0,0.16,0.0,0.0,8.44,0.0,0.0,44.22
Precinct,05.32,10.05.32,512,30.48,,,,,2.85,,,,0,,,,0,0.86,0.67,0.66,,,,,,,4.88,0.2,2.93,0.0,37.5,0.78,0.0,5.86,3.13,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.39,0.0,0.2,0.0,0.0,5.27,0.0,0.0,38.48
Precinct,05.33,10.05.33,579,39.99,,,,,3.34,,,,3,,,,0,0.9,0.91,0.61,,,,,,,4.15,0.17,4.15,0.17,23.49,3.11,0.52,7.25,2.76,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.35,0.17,0.0,0.35,7.94,0.17,0.0,44.21
Precinct,05.34,10.05.34,722,48.2,,,,,3.6,,,,0,,,,0,1.0,1.2,0.83,,,,,,,3.6,0.14,4.85,0.0,23.55,1.52,0.14,4.85,2.91,0.0,0.0,0.28,0.14,0.0,0.0,0.28,0.14,0.14,0.14,0.0,0.0,4.43,0.14,0.0,52.77
Precinct,05.35,10.05.35,598,40.13,,,,,3.55,,,,0,,,,0,1.09,0.82,0.63,,,,,,,6.52,0.0,3.34,0.17,24.58,1.84,0.0,5.85,2.84,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.5,0.17,0.0,0.0,0.17,8.7,0.0,0.33,44.82
Precinct,05.36,10.05.36,754,53.86,,,,,2.71,,,,2,,,,0,1.3,1.08,0.77,,,,,,,3.58,0.0,4.38,0.0,29.18,1.72,0.13,5.97,3.18,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.66,0.27,0.53,0.0,1.19,7.16,0.0,0.0,41.38
Precinct,05.37,10.05.37,711,52.13,,,,,5.58,,,,0,,,,0,1.17,1.07,0.85,,,,,,,2.53,0.42,2.39,0.14,26.3,1.13,0.14,6.61,2.53,0.0,0.14,0.0,0.0,0.28,0.14,0.0,0.14,0.14,0.0,0.0,0.84,5.91,0.28,0.0,49.93
Precinct,05.76,10.05.76,654,48.52,,,,,4.53,,,,0,,,,1,1.07,0.96,0.78,,,,,,,3.67,0.15,3.52,0.0,29.36,1.68,0.61,4.13,2.75,0.15,0.0,0.61,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.15,5.5,0.0,0.0,47.55
Precinct,05.77,10.05.77,278,43.78,,,,,3.14,,,,0,,,,0,0.4,0.49,0.25,,,,,,,0.72,1.08,5.4,0.0,32.73,0.72,0.0,7.19,2.88,0.36,0.36,0.0,0.0,0.36,0.0,0.0,0.36,0.36,0.0,0.0,0.36,4.32,0.0,0.0,42.81
Precinct,06.102,10.06.102,414,43.9,,,,,4.61,,,,0,,,,0,0.79,0.59,0.37,,,,,,,3.62,0.0,5.31,0.0,34.06,1.21,0.0,3.14,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.48,6.04,0.0,0.0,41.06
Precinct,06.103,10.06.103,457,46.12,,,,,4.39,,,,0,,,,0,0.75,0.7,0.5,,,,,,,3.06,0.0,3.72,0.0,25.38,1.97,0.0,5.69,3.72,0.22,0.0,0.0,0.22,0.0,0.22,0.0,0.88,0.0,0.0,0.0,0.0,7.88,0.44,0.0,46.61
Precinct,06.104,10.06.104,406,46.88,,,,,3.79,,,,0,,,,0,0.66,0.62,0.43,,,,,,,1.48,0.0,4.19,0.0,24.38,1.23,0.0,6.16,5.17,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.99,7.39,0.0,0.25,47.78
Precinct,06.105,10.06.105,463,42.09,,,,,4.14,,,,0,,,,0,0.83,0.63,0.54,,,,,,,3.89,0.43,1.3,0.22,28.29,1.51,0.0,6.48,8.86,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.22,0.0,0.0,0.0,0.0,5.83,0.0,0.22,42.12
Precinct,06.106,10.06.106,518,44.35,,,,,2.81,,,,0,,,,0,0.88,0.83,0.41,,,,,,,2.9,0.0,6.18,0.19,22.59,1.35,0.0,5.21,3.09,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.77,0.19,0.0,0.19,0.39,8.49,0.0,0.0,48.07
Precinct,06.110,10.06.110,456,48.77,,,,,4.8,,,,0,,,,0,0.69,0.78,0.44,,,,,,,3.73,0.0,4.17,0.0,23.25,3.07,0.88,5.92,1.75,0.0,0.0,0.22,0.0,0.22,0.0,0.44,0.66,0.0,0.66,0.0,0.44,5.7,0.0,0.22,48.68
Precinct,06.111,10.06.111,614,40.82,,,,,3.31,,,,0,,,,0,1.0,0.89,0.71,,,,,,,1.95,0.0,4.07,0.16,29.8,1.63,0.0,5.54,3.42,0.0,0.49,0.16,0.16,0.0,0.16,0.16,0.49,0.33,0.0,0.0,0.16,6.19,0.0,0.16,44.95
Precinct,06.94,10.06.94,404,47.31,,,,,5.16,,,,0,,,,0,0.72,0.62,0.38,,,,,,,1.49,0.0,4.46,0.0,22.28,2.23,0.0,8.66,4.21,0.0,0.0,0.0,0.5,0.0,0.0,0.74,0.25,0.0,0.0,0.0,0.25,7.18,0.0,0.0,47.77
Precinct,06.01,11.06.01,571,43.26,,,,,3.55,,,,20,,,,0,0.93,0.85,0.63,,,,,,,5.25,0.0,7.53,0.35,24.17,1.05,0.0,2.8,3.85,0.0,0.35,0.53,0.0,0.0,0.0,0.35,1.58,0.0,0.88,0.0,0.88,5.08,0.0,0.0,41.86
Precinct,06.02,11.06.02,526,44.96,,,,,4.01,,,,0,,,,0,0.95,0.77,0.49,,,,,,,7.41,0.0,5.32,0.0,22.62,1.52,0.0,7.41,4.56,0.0,0.19,0.38,0.0,0.0,0.0,0.95,0.19,0.0,0.19,0.0,0.38,4.56,0.57,0.19,43.54
Precinct,06.03,11.06.03,626,46.68,,,,,3.4,,,,0,,,,0,1.09,0.88,0.68,,,,,,,11.82,0.0,3.51,0.0,28.12,1.12,0.0,5.43,4.15,0.0,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.96,5.75,0.0,0.16,38.34
Precinct,06.04,11.06.04,426,43.56,,,,,3.4,,,,0,,,,0,0.69,0.68,0.4,,,,,,,7.75,0.0,4.93,0.47,21.83,0.23,0.23,7.28,3.29,0.0,0.7,0.0,0.0,0.0,0.47,0.0,0.7,0.23,0.23,0.0,1.17,7.75,0.0,0.0,42.72
Precinct,06.06,11.06.06,539,44.88,,,,,5.6,,,,0,,,,0,0.95,0.81,0.56,,,,,,,3.34,0.0,4.45,0.0,32.84,1.86,0.37,6.12,5.19,0.0,0.0,0.19,0.0,0.0,0.0,0.37,0.19,0.0,0.0,0.0,0.56,4.45,0.0,0.0,40.07
Precinct,06.07,11.06.07,436,44.63,,,,,4.18,,,,0,,,,0,0.81,0.67,0.33,,,,,,,3.9,0.46,4.13,0.0,19.04,1.15,0.69,7.8,5.96,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.92,0.23,0.23,0.0,0.92,5.73,0.23,0.0,48.39
Precinct,06.08,11.06.08,586,48.11,,,,,3.78,,,,0,,,,5,1.04,0.91,0.49,,,,,,,10.07,0.0,4.61,0.0,23.04,1.71,0.17,8.53,2.73,0.0,0.17,0.17,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,7.34,0.17,0.17,41.47
Precinct,06.09,11.06.09,563,42.05,,,,,3.1,,,,0,,,,0,0.94,0.78,0.67,,,,,,,6.04,0.0,3.73,0.0,18.83,2.66,0.0,6.93,3.91,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.71,0.18,0.71,0.0,0.18,7.82,0.0,0.0,48.14
Precinct,06.10,11.06.10,504,47.82,,,,,2.33,,,,1,,,,0,0.84,0.72,0.56,,,,,,,3.37,0.0,4.56,0.0,23.81,0.79,0.2,6.15,5.36,0.0,0.0,0.4,0.0,0.0,0.79,0.4,0.6,0.0,0.0,0.0,0.6,7.74,0.2,0.0,44.84
Precinct,06.11,11.06.11,455,46.38,,,,,2.99,,,,0,,,,0,0.76,0.63,0.54,,,,,,,5.49,0.0,5.05,0.22,22.64,1.32,0.0,6.81,4.84,0.22,0.0,0.22,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.66,5.71,0.22,0.22,45.93
Precinct,06.118,11.06.118,571,53.97,,,,,2.06,,,,0,,,,0,0.78,0.85,0.78,,,,,,,2.1,0.18,1.75,0.18,20.32,1.23,0.0,2.63,2.45,0.0,0.18,0.18,0.0,0.0,0.0,0.18,0.18,0.0,0.18,0.0,2.45,6.66,0.0,0.0,59.19
Precinct,06.12,11.06.12,588,46.56,,,,,2.33,,,,0,,,,0,1.0,0.85,0.59,,,,,,,4.76,0.17,4.93,0.34,23.47,2.38,0.0,4.42,5.44,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.68,0.0,0.51,0.0,0.51,10.2,0.17,0.0,41.67
Precinct,06.13,11.06.13,597,47.34,,,,,4.63,,,,2,,,,0,1.2,0.76,0.62,,,,,,,2.68,0.0,3.18,0.0,30.82,2.01,0.17,7.87,3.85,0.17,0.34,0.5,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.5,5.03,0.34,0.17,41.54
Precinct,06.14,11.06.14,547,47.16,,,,,3.01,,,,2,,,,0,0.85,0.9,0.5,,,,,,,1.65,0.0,3.29,0.0,24.86,2.01,0.18,6.58,5.12,0.18,0.73,0.37,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.18,6.76,0.0,0.0,47.17
Precinct,06.15,11.06.15,519,42.75,,,,,3.89,,,,0,,,,0,0.88,0.74,0.59,,,,,,,6.17,0.0,2.89,0.0,21.39,1.93,0.19,5.97,6.55,0.0,0.77,0.19,0.19,0.0,0.0,0.19,1.54,0.39,0.0,0.19,0.0,6.17,0.0,0.19,45.09
Precinct,06.16,11.06.16,622,41.63,,,,,3.86,,,,1,,,,0,1.08,0.87,0.7,,,,,,,4.02,0.0,4.34,0.16,20.42,1.13,0.16,4.66,6.43,0.0,0.0,0.0,0.16,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,8.68,0.0,0.0,49.04
Precinct,06.17,11.06.17,651,46.43,,,,,3.7,,,,0,,,,0,1.09,0.93,0.74,,,,,,,4.76,0.0,2.46,0.0,32.41,1.84,0.0,4.92,5.07,0.0,0.0,0.46,0.0,0.0,0.15,0.0,0.61,0.0,0.31,0.0,0.46,5.53,0.31,0.0,40.71
Precinct,06.18,11.06.18,566,43.71,,,,,3.08,,,,0,,,,0,0.98,0.78,0.64,,,,,,,6.01,0.0,3.71,0.0,25.27,1.59,0.18,6.01,3.89,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,9.01,0.0,0.0,42.93
Precinct,06.19,11.06.19,579,45.34,,,,,2.85,,,,0,,,,0,1.15,0.77,0.49,,,,,,,3.28,0.0,5.35,0.0,26.94,1.04,0.17,3.97,1.73,0.17,0.35,0.17,0.0,0.17,0.17,0.17,0.35,0.0,0.0,0.0,0.69,7.94,0.0,0.0,47.32
Precinct,06.20,11.06.20,621,47.08,,,,,2.82,,,,0,,,,0,1.02,0.96,0.58,,,,,,,3.7,0.0,3.54,0.0,20.45,1.93,0.0,6.28,3.86,0.0,0.0,0.64,0.0,0.16,0.48,0.0,0.32,0.0,0.16,0.0,0.81,6.44,0.0,0.0,51.21
Precinct,06.21,11.06.21,565,40.91,,,,,1.91,,,,2,,,,0,0.85,0.92,0.53,,,,,,,5.66,0.0,2.3,0.0,25.49,2.48,0.18,4.78,6.19,0.0,0.18,0.53,0.0,0.0,0.0,0.18,0.53,0.0,0.35,0.0,0.53,8.67,0.0,0.0,41.59
Precinct,06.22,11.06.22,577,43.38,,,,,3.83,,,,0,,,,0,0.98,0.85,0.61,,,,,,,4.16,0.0,2.77,0.17,23.92,1.04,0.17,8.84,6.24,0.0,0.0,0.52,0.0,0.0,0.0,0.35,0.35,0.0,0.52,0.0,0.17,7.63,0.0,0.17,42.98
