shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,People's Government,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Our Georgia,Georgian Dream
District,14,14,22325,50.04,2,9,20,1,,10,31.25,7.8,,2,6.25,1.0,,,,,0,0,0,0,32,33.33,2.61,0.22,4.29,0.11,21.0,1.99,0.14,5.4,3.25,0.04,0.15,0.31,0.06,0.09,0.09,0.17,0.61,0.09,0.06,0.06,0.45,5.33,0.13,0.03,52.97
District,15,15,22335,52.2,0,14,19,0,,11,33.33,4.82,,1,3.03,2.0,,,,,0,0,0,0,33,33.33,2.57,0.04,4.5,0.17,20.64,3.21,0.2,5.33,2.43,0.01,0.06,0.38,0.06,0.07,0.12,0.17,0.75,0.1,0.2,0.08,0.77,7.58,0.15,0.07,50.13
District,16,16,23403,52.74,0,14,20,0,,8,23.53,1.63,,0,0.0,,,,,,0,0,0,0,34,33.33,2.88,0.07,3.69,0.25,19.44,2.29,0.49,6.95,2.97,0.04,0.18,0.25,0.05,0.06,0.14,0.29,0.68,0.05,0.08,0.14,0.91,6.76,0.15,0.06,51.06
District,17,17,21166,47.06,0,12,16,4,,12,37.5,2.83,,5,15.63,2.4,,,,,0,0,0,0,32,33.33,3.39,0.11,3.5,0.17,19.83,1.69,0.11,7.77,4.34,0.02,0.27,0.26,0.06,0.05,0.04,0.19,0.6,0.06,0.05,0.0,0.95,5.41,0.19,0.04,50.76
District,18,18,20932,46.62,0,13,18,1,,7,21.88,3.29,,1,3.13,1.0,,,,,0,0,0,0,32,33.33,3.11,0.1,3.82,0.21,22.45,1.79,0.38,6.54,4.51,0.04,0.12,0.26,0.04,0.05,0.07,0.24,0.37,0.11,0.11,0.08,0.45,6.28,0.1,0.02,48.65
District,19,19,21359,46.58,0,11,21,1,,12,36.36,2.5,,0,0.0,,,,,,0,0,0,0,33,33.33,3.67,0.11,3.97,0.15,23.85,1.75,0.34,5.93,4.96,0.02,0.08,0.25,0.05,0.07,0.1,0.23,1.42,0.1,0.08,0.07,0.79,6.66,0.12,0.06,45.03
District,20,20,20051,43.85,0,11,23,2,,11,30.56,3.09,,1,2.78,1.0,,,,,0,0,0,0,36,33.33,3.22,0.13,3.74,0.13,25.31,1.36,0.35,7.51,5.21,0.01,0.11,0.21,0.06,0.06,0.06,0.32,2.23,0.02,0.12,0.07,0.88,6.19,0.11,0.02,42.38
District,21,21,20151,43.32,0,6,26,2,,14,41.18,2.14,,1,2.94,500.0,,,,,0,0,1,1,34,33.33,2.93,0.06,4.19,0.2,27.19,1.6,0.22,6.41,5.22,0.03,0.25,0.3,0.1,0.08,0.07,0.16,0.39,0.06,0.03,0.01,0.85,6.56,0.12,0.05,45.23
District,22,22,21384,45.84,0,15,18,3,,8,22.22,2.5,,2,5.56,13.0,,,,,0,0,0,0,36,33.33,2.79,0.1,4.26,0.31,24.46,1.7,0.24,7.11,4.64,0.03,0.14,0.25,0.05,0.05,0.09,0.19,0.31,0.07,0.07,0.02,0.67,6.89,0.11,0.05,45.41
District,23,23,20274,44.0,0,14,19,17,,10,20.0,3.4,,0,0.0,,,,,,0,0,0,0,50,33.33,2.68,0.03,2.0,0.11,26.0,0.95,0.82,13.35,2.81,0.07,0.1,0.22,0.06,0.05,0.06,0.2,0.24,0.02,0.04,0.01,0.51,1.76,0.03,0.04,47.66
District,24,24,30339,56.79,2,27,18,4,,17,33.33,5.24,,0,0.0,,,,,,0,0,0,0,51,33.33,3.34,0.11,3.77,0.08,32.89,1.05,0.18,4.8,4.27,0.06,0.12,0.37,0.06,0.06,0.04,0.06,0.53,0.02,0.02,0.02,1.33,2.08,0.05,0.07,44.34
District,25,25,29108,55.15,1,40,15,2,,15,25.86,2.53,,3,5.17,46.33,,,,,0,0,0,0,58,33.33,2.35,0.02,3.5,0.07,26.21,1.6,0.06,5.49,3.06,0.02,0.07,0.08,0.02,0.06,0.03,0.07,0.84,0.05,0.02,0.01,0.56,2.43,0.04,0.03,53.67
District,26,26,28122,53.77,1,14,27,11,,21,39.62,2.33,,2,3.77,32.5,,,,,0,0,0,0,53,33.33,2.75,0.03,6.43,0.08,30.26,0.72,0.09,3.41,2.77,0.07,0.07,0.23,0.04,0.14,0.15,0.12,0.21,0.08,0.1,0.05,0.27,10.66,0.06,0.07,41.19
District,27,27,27710,54.57,0,26,17,3,,9,19.57,1.33,,4,8.7,1.0,,,,,0,0,0,0,46,33.33,4.61,0.03,2.52,0.09,36.16,0.79,0.06,5.82,3.77,0.03,0.13,0.21,0.01,0.08,0.08,0.14,1.15,0.03,0.03,0.01,1.47,3.69,0.04,0.03,39.01
District,28,28,25480,49.93,3,25,15,7,,15,30.0,3.0,,0,0.0,,,,,,0,0,0,0,50,33.33,5.29,0.03,3.08,0.12,32.55,0.89,0.08,2.88,4.69,0.04,0.06,0.22,0.04,0.05,0.02,0.06,1.3,0.05,0.04,0.05,1.0,1.72,0.03,0.01,45.54
District,29,29,25940,46.95,0,9,30,3,,7,16.67,2.43,,4,9.52,3.75,,,,,0,0,0,0,42,33.33,3.29,0.06,3.33,0.13,30.14,1.46,0.25,6.54,4.26,0.03,0.41,0.11,0.06,0.06,0.11,0.1,0.22,0.1,0.07,0.02,0.86,4.72,0.15,0.02,43.47
District,30,30,24785,46.38,0,10,30,2,,9,21.43,1.67,,9,21.43,15.33,,,,,0,0,0,0,42,33.33,2.81,0.82,2.49,0.23,32.0,1.31,0.07,6.39,6.52,0.07,0.3,0.16,0.04,0.05,0.13,0.1,0.18,0.05,0.02,0.11,0.44,4.6,0.15,0.04,41.43
District,31,31,15551,36.6,1,9,10,15,,12,34.29,2.67,,0,0.0,,,,,,0,0,0,0,35,33.33,0.79,0.01,1.67,0.08,34.7,1.06,0.3,4.12,2.47,0.06,0.19,0.19,0.06,0.1,0.05,0.11,0.28,0.01,0.0,0.05,0.07,1.74,0.01,0.05,51.62
District,32,32,20099,47.48,5,17,19,20,,12,19.67,2.83,,3,4.92,2.33,,,,,0,0,0,0,61,33.33,2.06,0.03,3.12,0.07,26.22,0.58,0.1,6.61,2.8,0.03,0.12,0.25,0.03,0.02,0.04,0.08,0.38,0.02,0.02,0.01,0.13,2.13,0.07,0.03,54.9
District,33,33,21199,41.86,1,14,18,24,,25,43.86,5.84,,2,3.51,1.0,,,,,0,0,0,0,57,33.33,2.34,0.07,2.06,0.13,40.58,0.37,1.26,1.76,1.19,0.08,0.05,0.2,0.04,0.03,0.04,0.06,0.15,0.03,0.06,0.02,0.05,1.09,0.09,0.04,47.56
District,34,34,21251,45.05,14,24,28,32,,17,17.35,3.0,,4,4.08,5.5,,,,,0,0,1,1,98,33.33,1.25,0.03,2.74,0.1,26.17,0.72,0.04,2.23,1.5,0.04,0.03,0.19,0.03,0.04,0.03,0.05,0.72,0.02,0.03,0.05,0.56,2.06,0.02,0.04,61.19
District,35,35,20901,41.03,3,8,16,16,,23,53.49,7.78,,1,2.33,19.0,,,,,0,0,0,0,43,33.33,1.56,0.03,0.77,0.09,37.24,0.19,0.06,0.69,0.08,0.08,0.01,0.06,0.03,0.06,0.04,0.02,2.67,0.08,0.03,0.02,0.04,0.4,0.01,0.05,54.91
District,36,36,19443,42.92,2,5,12,25,,13,29.55,6.0,,3,6.82,2.33,,,,,1,0,0,1,44,33.33,4.52,0.06,1.69,0.08,46.59,0.27,0.12,0.87,0.63,0.08,0.02,0.11,0.05,0.06,0.14,0.05,1.57,0.05,0.07,0.01,0.03,0.93,0.01,0.06,41.57
District,37,37,25364,56.96,0,7,21,17,,12,26.67,3.67,,1,2.22,97.0,,,,,0,0,0,0,45,33.33,1.94,0.07,2.4,0.14,20.63,1.37,0.06,11.26,6.87,0.07,0.16,0.95,0.07,0.07,0.25,0.13,0.32,0.09,0.07,0.03,0.3,3.88,0.11,0.11,48.85
District,38,38,21326,50.17,6,38,24,13,,12,14.81,2.25,,0,0.0,,,,,,0,0,0,0,81,33.33,7.22,0.12,3.23,0.07,9.3,0.9,0.75,8.18,8.38,0.02,0.06,0.13,0.02,0.13,0.06,0.12,1.13,0.04,0.03,0.11,0.11,2.38,0.05,0.03,57.32
