shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Georgian Dream,Initiative Group
Precinct,14.04,25.14.04,737,59.58,,,,,2.25,,,,1,,,,0,1.0,1.12,0.99,,,,,,,2.71,0.0,1.49,0.0,26.19,1.9,0.0,6.51,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,5.16,0.14,54.41,0.0
Precinct,14.05,25.14.05,587,64.08,,,,,1.84,,,,4,,,,0,0.79,1.1,0.44,,,,,,,2.38,0.0,8.86,0.0,23.85,1.02,0.0,5.96,2.21,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.68,1.7,0.17,50.94,0.0
Precinct,14.06,25.14.06,562,49.87,,,,,1.92,,,,0,,,,0,0.79,0.82,0.77,,,,,,,2.49,0.0,0.89,0.0,18.33,2.14,0.0,7.12,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.89,2.67,0.18,62.28,0.0
Precinct,14.07,25.14.07,561,51.61,,,,,3.61,,,,2,,,,0,1.06,0.75,0.58,,,,,,,0.71,0.0,1.96,0.0,19.79,1.07,0.0,5.35,1.78,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,1.25,0.18,65.78,0.0
Precinct,14.08,25.14.08,585,60.19,,,,,1.68,,,,1,,,,0,1.05,0.9,0.41,,,,,,,1.71,0.0,0.85,0.0,17.27,22.74,0.0,5.3,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,2.74,0.17,46.67,0.0
Precinct,14.09,25.14.09,639,62.34,,,,,2.89,,,,2,,,,0,1.1,1.17,0.25,,,,,,,2.03,0.0,1.72,0.0,25.51,10.33,0.0,2.35,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.31,1.72,0.0,54.3,0.0
Precinct,14.10,25.14.10,349,70.65,,,,,1.97,,,,4,,,,0,0.62,0.5,0.32,,,,,,,1.72,0.0,1.15,0.0,14.33,3.44,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,3.15,0.0,72.78,0.0
Precinct,14.11,25.14.11,694,62.3,,,,,2.66,,,,3,,,,0,1.19,1.07,0.58,,,,,,,2.16,0.0,0.72,0.0,22.48,0.72,0.0,6.34,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.14,1.15,0.29,63.54,0.0
Precinct,14.12,25.14.12,596,49.09,,,,,1.81,,,,2,,,,0,0.99,0.93,0.51,,,,,,,1.68,0.0,1.51,0.0,21.64,0.67,0.0,8.05,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,2.85,1.01,0.0,59.56,0.0
Precinct,14.13,25.14.13,408,51.52,,,,,2.39,,,,6,,,,0,0.7,0.55,0.48,,,,,,,0.74,0.0,1.47,0.0,20.1,0.25,0.0,7.84,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.49,1.72,0.25,62.5,0.0
Precinct,14.14,25.14.14,504,48.79,,,,,3.08,,,,43,,,,0,0.8,0.87,0.38,,,,,,,2.78,0.0,3.17,0.0,1.79,1.19,0.0,9.52,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.79,2.78,0.4,65.48,0.0
Precinct,14.15,25.14.15,379,45.01,,,,,1.3,,,,9,,,,0,0.65,0.51,0.41,,,,,,,1.06,0.0,1.32,0.0,16.36,0.79,0.0,9.5,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.79,1.32,0.0,64.91,0.0
Precinct,14.16,25.14.16,520,46.51,,,,,4.06,,,,2,,,,0,1.01,0.76,0.39,,,,,,,0.58,0.0,5.58,0.0,37.69,0.38,0.0,5.58,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.38,2.5,0.0,45.0,0.0
Precinct,14.17,25.14.17,317,60.61,,,,,3.06,,,,0,,,,0,0.77,0.45,0.05,,,,,,,1.58,0.0,0.95,0.0,27.76,4.42,0.0,1.58,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.95,0.0,60.57,0.0
Precinct,14.18,25.14.18,252,68.48,,,,,2.33,,,,5,,,,0,0.4,0.43,0.18,,,,,,,0.79,0.0,0.0,0.0,29.37,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,65.87,0.0
Precinct,14.19,25.14.19,646,51.07,,,,,3.58,,,,1,,,,0,1.04,1.04,0.61,,,,,,,2.17,0.0,2.63,0.0,18.27,1.24,0.0,5.26,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.62,4.33,0.46,63.0,0.0
Precinct,14.20,25.14.20,457,55.39,,,,,3.38,,,,1,,,,0,0.84,0.59,0.53,,,,,,,1.75,0.0,2.19,0.0,23.85,1.75,0.0,5.03,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.22,1.09,0.22,61.05,0.0
Precinct,14.22,25.14.22,399,46.78,,,,,4.77,,,,11,,,,0,0.68,0.57,0.47,,,,,,,1.25,0.0,1.0,0.0,21.8,1.5,0.0,4.26,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,1.5,0.0,63.66,0.0
Precinct,14.23,25.14.23,239,36.66,,,,,2.85,,,,0,,,,0,0.5,0.24,0.29,,,,,,,0.42,0.0,2.93,0.0,25.1,0.42,0.0,12.55,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.84,0.0,52.72,0.0
Precinct,15.01,26.15.01,684,46.03,,,,,4.07,,,,4,,,,0,1.06,0.93,0.99,,,,,,,2.78,0.0,4.82,0.0,30.41,0.0,0.29,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,12.43,0.0,36.99,5.26
Precinct,15.02,26.15.02,802,50.86,,,,,3.95,,,,4,,,,0,1.24,1.12,1.12,,,,,,,1.75,0.0,4.74,0.0,21.32,0.0,0.12,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,23.57,0.0,34.79,7.98
Precinct,15.03,26.15.03,748,53.81,,,,,1.97,,,,0,,,,0,1.25,1.1,0.74,,,,,,,3.21,0.0,6.02,0.0,13.5,0.0,0.4,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.27,16.84,0.0,46.93,3.48
Precinct,15.04,26.15.04,456,64.77,,,,,2.56,,,,38,,,,0,0.9,0.63,0.35,,,,,,,0.44,0.0,5.04,0.0,31.14,0.0,0.22,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,23.46,0.0,22.15,7.24
Precinct,15.05,26.15.05,764,53.95,,,,,4.5,,,,3,,,,0,1.14,1.17,0.97,,,,,,,2.62,0.0,4.45,0.0,25.65,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.65,13.48,0.0,41.49,6.15
Precinct,15.06,26.15.06,542,49.86,,,,,3.04,,,,2,,,,0,0.92,0.86,0.45,,,,,,,2.03,0.0,3.51,0.0,21.22,0.0,0.18,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.21,22.88,0.0,29.7,14.58
Precinct,15.07,26.15.07,508,56.07,,,,,5.22,,,,0,,,,0,1.07,0.66,0.45,,,,,,,4.13,0.0,1.77,0.0,30.71,0.0,0.39,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39,24.21,0.0,29.72,7.68
Precinct,15.08,26.15.08,622,55.89,,,,,4.16,,,,9,,,,0,0.89,1.0,0.75,,,,,,,4.18,0.0,2.89,0.0,27.01,0.0,0.48,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.13,13.83,0.0,33.6,14.63
Precinct,15.09,26.15.09,542,70.85,,,,,4.75,,,,1,,,,0,1.08,0.73,0.5,,,,,,,0.92,0.0,0.74,0.0,3.32,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.29,4.98,0.0,18.08,69.93
Precinct,15.10,26.15.10,738,58.2,,,,,3.15,,,,4,,,,0,1.41,0.94,0.79,,,,,,,1.9,0.0,3.79,0.0,22.36,0.0,0.14,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,12.6,0.0,49.46,7.18
Precinct,15.11,26.15.11,421,48.78,,,,,4.54,,,,0,,,,0,0.9,0.62,0.23,,,,,,,2.14,0.0,4.28,0.0,33.73,0.0,0.48,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.48,16.39,0.0,27.32,10.69
Precinct,15.12,26.15.12,330,60.66,,,,,3.51,,,,1,,,,0,0.71,0.44,0.23,,,,,,,4.55,0.0,3.33,0.0,27.27,0.0,0.3,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,10.0,0.0,46.97,4.55
Precinct,15.13,26.15.13,531,54.24,,,,,4.15,,,,2,,,,0,0.63,1.02,0.55,,,,,,,3.39,0.0,5.65,0.0,16.2,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.56,11.49,0.0,43.69,15.44
Precinct,15.14,26.15.14,777,51.29,,,,,3.36,,,,0,,,,0,1.3,1.23,0.69,,,,,,,1.03,0.0,2.7,0.0,7.85,0.0,0.13,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.39,15.44,0.0,34.75,36.04
Precinct,15.15,26.15.15,691,55.77,,,,,4.43,,,,0,,,,0,1.12,0.97,0.92,,,,,,,3.47,0.0,1.74,0.0,14.33,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,15.2,0.0,36.47,27.79
Precinct,15.16,26.15.16,785,52.86,,,,,4.73,,,,1,,,,0,0.95,1.4,0.99,,,,,,,1.78,0.0,1.4,0.0,18.47,0.0,0.38,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,11.97,0.0,41.4,20.64
Precinct,15.17,26.15.17,478,63.31,,,,,2.65,,,,3,,,,0,0.83,0.75,0.37,,,,,,,1.26,0.0,0.63,0.0,13.18,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,12.55,0.0,30.96,38.91
Precinct,15.18,26.15.18,546,32.1,,,,,8.7,,,,5,,,,0,0.9,0.96,0.53,,,,,,,0.0,0.0,12.09,0.0,42.12,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,8.61,0.0,29.67,4.58
Precinct,15.19,26.15.19,529,41.65,,,,,7.03,,,,2,,,,0,1.0,0.86,0.4,,,,,,,0.76,0.0,6.62,0.0,37.81,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,10.02,0.0,39.89,3.59
Precinct,15.20,26.15.20,580,34.92,,,,,7.35,,,,0,,,,0,0.88,0.87,0.86,,,,,,,0.34,0.0,11.21,0.0,45.69,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.34,7.24,0.0,31.55,2.07
Precinct,15.21,26.15.21,484,34.85,,,,,10.87,,,,2,,,,0,1.01,0.76,0.4,,,,,,,0.41,0.0,7.44,0.0,44.21,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,5.79,0.0,35.95,3.31
Precinct,15.22,26.15.22,603,44.14,,,,,5.93,,,,4,,,,0,0.9,1.06,0.59,,,,,,,0.17,0.0,10.45,0.0,33.17,0.0,0.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,6.97,0.0,42.79,3.98
Precinct,15.23,26.15.23,175,40.7,,,,,7.41,,,,0,,,,0,0.32,0.28,0.16,,,,,,,4.0,0.0,6.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,52.57,4.0
Precinct,15.24,26.15.24,528,60.62,,,,,2.76,,,,3,,,,0,0.71,0.98,0.44,,,,,,,3.03,0.0,7.58,0.0,6.82,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,0.0,58.9,6.06
Precinct,15.25,26.15.25,932,60.17,,,,,2.61,,,,1,,,,0,1.75,1.33,0.77,,,,,,,1.18,0.0,8.91,0.0,8.15,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,29.83,0.0,44.42,6.44
Precinct,15.26,26.15.26,827,58.65,,,,,2.71,,,,0,,,,0,1.34,1.29,0.78,,,,,,,1.57,0.0,29.87,0.0,6.05,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,26.96,0.0,25.76,8.46
Precinct,15.27,26.15.27,490,58.68,,,,,4.11,,,,0,,,,0,0.82,0.8,0.42,,,,,,,0.82,0.0,13.88,0.0,9.59,0.0,0.2,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,33.88,0.0,30.82,9.8
Precinct,15.28,26.15.28,470,61.12,,,,,3.49,,,,2,,,,0,1.0,0.57,0.42,,,,,,,1.7,0.0,11.49,0.0,12.77,0.0,0.21,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,35.74,0.0,34.04,2.34
Precinct,15.29,26.15.29,711,58.04,,,,,4.82,,,,0,,,,0,1.22,1.02,0.82,,,,,,,1.13,0.0,10.13,0.0,14.35,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,21.24,0.0,42.05,9.42
Precinct,15.30,26.15.30,716,52.76,,,,,5.29,,,,0,,,,0,1.16,1.01,0.97,,,,,,,4.19,0.0,4.61,0.0,21.79,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,18.85,0.0,40.08,5.59
Precinct,15.31,26.15.31,256,58.18,,,,,4.12,,,,0,,,,0,0.42,0.48,0.12,,,,,,,3.52,0.0,1.95,0.0,26.56,0.0,0.39,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,23.83,0.0,35.55,4.69
Precinct,15.32,26.15.32,463,61.32,,,,,4.73,,,,0,,,,0,0.75,0.76,0.44,,,,,,,1.73,0.0,2.81,0.0,28.29,0.0,0.22,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,10.58,0.0,24.41,29.59
Precinct,15.33,26.15.33,341,65.96,,,,,2.85,,,,6,,,,0,0.54,0.6,0.23,,,,,,,0.59,0.0,19.35,0.0,14.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73,0.0,37.54,14.66
Precinct,15.34,26.15.34,459,62.53,,,,,3.77,,,,0,,,,0,0.87,0.68,0.36,,,,,,,0.22,0.0,8.28,0.0,16.56,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,18.95,0.0,41.18,11.11
Precinct,15.35,26.15.35,322,36.22,,,,,6.4,,,,1,,,,0,0.62,0.52,0.23,,,,,,,0.31,0.0,11.8,0.0,42.55,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,0.0,32.61,2.8
Precinct,15.36,26.15.36,276,44.3,,,,,10.97,,,,0,,,,0,0.46,0.53,0.22,,,,,,,0.36,0.0,13.04,0.0,38.04,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,0.0,34.42,1.81
Precinct,15.37,26.15.37,238,61.03,,,,,5.18,,,,0,,,,0,0.65,0.25,0.11,,,,,,,31.93,0.0,2.1,0.0,21.01,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,13.87,0.0,21.01,6.3
Precinct,16.06,26.16.06,474,67.14,,,,,4.24,,,,1,,,,0,1.04,0.71,0.18,,,,,,,1.05,0.0,3.59,0.0,35.44,0.0,0.42,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,36.5,14.35
Precinct,16.07,26.16.07,449,68.13,,,,,3.65,,,,2,,,,0,0.82,0.74,0.26,,,,,,,3.34,0.0,2.23,0.0,9.58,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,16.26,0.0,57.91,9.13
Precinct,16.08,26.16.08,816,55.17,,,,,4.0,,,,0,,,,0,1.21,1.3,0.95,,,,,,,1.96,0.0,2.82,0.0,31.37,0.0,0.37,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,19.49,0.0,33.58,5.27
Precinct,16.09,26.16.09,786,51.41,,,,,4.26,,,,2,,,,0,1.22,1.08,1.14,,,,,,,4.58,0.0,2.67,0.0,20.48,0.0,0.25,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,43.26,9.16
Precinct,16.10,26.16.10,647,51.47,,,,,3.0,,,,0,,,,0,0.93,0.9,0.97,,,,,,,3.09,0.0,3.09,0.0,30.6,0.0,0.31,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.77,18.39,0.0,25.35,10.51
Precinct,16.11,26.16.11,186,70.99,,,,,1.59,,,,0,,,,0,0.21,0.32,0.23,,,,,,,3.23,0.0,13.98,0.0,11.83,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,14.52,0.0,49.46,5.38
Precinct,16.12,26.16.12,159,44.17,,,,,7.02,,,,0,,,,0,0.39,0.22,0.07,,,,,,,0.63,0.0,6.92,0.0,7.55,0.0,0.63,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,61.01,11.32
Precinct,16.13,26.16.13,185,63.79,,,,,1.07,,,,0,,,,0,0.29,0.31,0.13,,,,,,,2.16,0.0,7.03,0.0,25.41,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,7.57,0.0,43.24,9.19
Precinct,16.14,26.16.14,467,60.97,,,,,4.11,,,,2,,,,0,0.84,0.72,0.39,,,,,,,2.36,0.0,6.85,0.0,37.47,0.0,0.64,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71,0.0,37.26,4.07
Precinct,16.15,26.16.15,269,66.75,,,,,3.93,,,,0,,,,0,0.39,0.49,0.22,,,,,,,1.49,0.0,19.7,0.0,20.82,0.0,0.37,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,36.8,6.69
Precinct,16.16,26.16.16,214,54.04,,,,,0.47,,,,3,,,,0,0.53,0.19,0.18,,,,,,,0.93,0.0,6.07,0.0,18.69,0.0,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,59.81,3.27
Precinct,16.17,26.16.17,313,67.75,,,,,2.19,,,,2,,,,0,0.5,0.48,0.32,,,,,,,1.28,0.0,1.28,0.0,38.66,0.0,0.0,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,9.27,0.0,39.62,2.24
Precinct,16.18,26.16.18,522,67.1,,,,,4.74,,,,0,,,,0,0.98,0.75,0.5,,,,,,,0.77,0.0,1.34,0.0,40.23,0.0,0.77,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,12.64,0.0,29.12,4.6
Precinct,16.19,26.16.19,876,59.43,,,,,4.68,,,,2,,,,0,1.2,1.51,0.98,,,,,,,1.37,0.0,1.71,0.0,26.14,0.0,0.11,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,7.99,0.0,36.3,23.06
Precinct,16.20,26.16.20,686,62.03,,,,,4.72,,,,0,,,,0,0.92,1.14,0.88,,,,,,,1.31,0.0,2.33,0.0,30.03,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.44,5.1,0.0,35.13,21.57
Precinct,16.30,26.16.30,636,57.77,,,,,4.65,,,,0,,,,0,1.02,1.0,0.68,,,,,,,0.79,0.0,7.7,0.0,37.58,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,12.11,0.0,27.67,11.48
Precinct,16.01,27.16.01,767,56.98,,,,,5.66,,,,0,,,,0,1.19,1.2,0.93,,,,,,,3.91,0.0,0.78,0.0,42.24,0.0,0.0,9.26,3.0,0.52,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.52,2.09,0.0,37.42,0.0
Precinct,16.02,27.16.02,755,54.04,,,,,4.67,,,,0,,,,0,1.18,1.13,0.94,,,,,,,4.11,0.0,1.32,0.0,32.85,0.0,0.0,4.64,2.25,0.4,0.26,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.26,2.25,0.0,51.26,0.0
Precinct,16.03,27.16.03,688,55.48,,,,,2.13,,,,0,,,,0,1.1,1.06,0.68,,,,,,,4.8,0.0,1.45,0.0,39.39,0.0,0.0,6.69,1.31,1.02,0.15,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.44,2.47,0.0,41.57,0.0
Precinct,16.04,27.16.04,653,53.13,,,,,5.23,,,,0,,,,0,1.06,1.01,0.72,,,,,,,2.91,0.0,1.99,0.0,46.25,0.0,0.0,5.05,2.3,0.31,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.61,1.38,0.0,38.9,0.0
Precinct,16.05,27.16.05,710,50.93,,,,,4.7,,,,0,,,,0,1.34,0.95,0.78,,,,,,,1.41,0.0,1.69,0.0,48.87,0.0,0.0,6.48,2.25,0.28,0.42,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.28,4.23,0.0,33.66,0.0
Precinct,16.21,27.16.21,788,51.1,,,,,3.31,,,,0,,,,0,1.03,1.18,1.19,,,,,,,3.55,0.0,1.02,0.0,33.63,0.0,0.0,4.57,1.65,0.25,0.51,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.76,2.03,0.0,51.27,0.0
Precinct,16.22,27.16.22,625,56.0,,,,,2.95,,,,10,,,,0,0.88,0.88,0.94,,,,,,,3.04,0.0,0.48,0.0,39.36,0.0,0.0,6.72,0.8,0.0,0.16,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,2.72,2.4,0.0,42.08,0.0
Precinct,16.23,27.16.23,661,54.36,,,,,2.94,,,,0,,,,0,1.0,1.0,0.78,,,,,,,3.48,0.0,1.97,0.0,28.44,0.0,0.0,5.3,2.42,0.61,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,1.36,3.78,0.0,51.74,0.0
Precinct,16.24,27.16.24,841,63.86,,,,,3.22,,,,2,,,,0,1.33,1.16,1.11,,,,,,,4.16,0.0,0.48,0.0,36.62,0.0,0.0,4.64,1.31,2.14,0.12,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.07,1.19,0.0,47.68,0.0
Precinct,16.25,27.16.25,658,57.22,,,,,4.36,,,,0,,,,0,1.02,1.09,0.65,,,,,,,6.08,0.0,1.52,0.0,37.99,0.0,0.0,3.5,1.52,0.15,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,1.06,2.43,0.0,44.38,0.0
Precinct,16.26,27.16.26,295,58.65,,,,,4.22,,,,0,,,,0,0.64,0.36,0.27,,,,,,,4.75,0.0,2.37,0.0,38.98,0.0,0.0,5.42,3.39,0.34,0.34,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,2.03,4.75,0.0,36.27,0.0
Precinct,16.27,27.16.27,488,61.93,,,,,4.13,,,,0,,,,0,0.92,0.62,0.57,,,,,,,8.4,0.0,0.82,0.0,45.08,0.0,0.0,3.07,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.82,0.0,38.52,0.0
Precinct,16.28,27.16.28,214,72.3,,,,,4.89,,,,2,,,,0,0.41,0.33,0.16,,,,,,,2.34,0.0,0.47,0.0,35.98,0.0,0.0,7.01,5.61,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,4.21,1.4,0.0,40.65,0.0
Precinct,16.29,27.16.29,661,50.38,,,,,4.76,,,,1,,,,0,1.15,0.95,0.75,,,,,,,1.97,0.0,1.06,0.0,43.27,0.0,0.0,11.2,1.51,0.45,0.15,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.15,3.18,0.0,36.61,0.0
Precinct,17.01,27.17.01,833,57.61,,,,,3.14,,,,1,,,,0,1.27,1.27,0.97,,,,,,,4.2,0.0,1.8,0.0,25.09,0.0,0.0,3.6,1.08,0.12,0.36,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.92,7.2,0.0,53.3,0.0
