region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,79,75,856,11,800,,,557,531,25,1,146,1,7,1,5,370
,,79,76,1475,8,1350,,,868,837,30,8,207,0,11,3,8,600
,,79,77,972,584,1550,,,1185,1148,30,6,731,2,11,0,11,387
,,79,78,1036,4,1000,,,612,601,11,3,174,3,24,2,10,385
,,79,79,1240,5,1150,,,770,741,28,5,244,5,21,3,10,453
,,79,80,828,13,750,,,73,72,1,3,20,0,3,1,3,42
,,79,81,1195,8,1100,,,694,660,29,12,207,2,12,0,7,420
,,79,82,648,7,600,,,380,373,7,5,89,2,9,0,8,260
,,79,83,1246,6,1150,,,641,615,19,7,154,0,13,4,4,433
,,79,84,890,11,800,,,513,496,16,3,151,2,12,0,8,320
,,79,85,1274,220,1450,,,795,751,32,3,301,1,25,5,9,407
,,79,86,748,11,700,,,496,479,12,3,148,0,13,5,2,308
,,79,87,1388,10,1300,,,903,864,19,5,339,5,10,4,7,494
,,79,88,1196,11,1100,,,683,650,28,2,204,2,13,1,6,422
,,79,89,1230,7,1150,,,807,779,26,5,228,5,13,2,9,517
,,79,90,1283,11,1150,,,661,639,20,2,167,2,12,0,7,449
,,79,91,1530,5,1450,,,1051,982,69,6,274,3,15,9,6,669
,,79,92,1329,1,1250,,,947,920,27,7,294,3,30,18,10,558
,,79,93,854,15,750,,,543,526,15,5,145,0,14,2,7,353
,,79,94,1166,9,1100,,,781,748,29,6,246,26,23,0,17,430
,,79,95,1128,4,1050,,,754,729,24,13,204,2,14,1,9,486
,,79,96,1474,5,1350,,,837,805,26,0,353,4,34,4,15,395
,,79,97,1463,6,1350,,,843,806,36,4,201,2,15,8,13,563
,,79,98,1196,13,1100,,,749,703,43,4,182,1,16,6,13,481
,,79,99,1231,5,1150,,,765,738,25,3,235,1,28,4,0,467
,,79,100,829,8,750,,,530,508,16,2,116,2,11,8,2,367
,,79,101,429,98,500,,,363,355,8,4,189,0,4,0,5,153
,,79,102,1539,8,1400,,,702,661,34,3,489,0,17,3,14,135
