region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,14 - Georgian Party,18 - Way of Georgia,41 - Georgian Dream
,18,,12,,1308,6,195,355,539,1200,9,,,,,,,,211,,,,,,319
,18,,13,,1072,0,240,482,640,1000,2,,,,,,,,263,,,,,,375
,18,,14,,134,10,36,54,87,150,2,,,,,,,,39,,,,,,46
,18,,15,,1093,1,198,416,620,1050,11,,,,,,,,321,,,,,,288
,18,,16,,437,4,106,0,220,450,3,,,,,,,,71,,,,,,146
,18,,17,,989,2,224,413,589,900,9,,,,,,,,29,,,,,,550
,18,,18,,1407,5,226,410,493,1200,7,,,,,,,,189,,,,,,297
,18,,19,,1256,6,178,306,417,1050,9,,,,,,,,178,,,,,,229
,18,,20,,1286,6,203,407,539,1200,13,,,,,,,,218,,,,,,308
,18,,21,,525,1,159,243,284,500,5,,,,,,,,123,,,,,,156
,18,,22,,233,6,71,128,152,250,1,,,,,,,,46,,,,,,105
,18,,23,,1263,1,200,507,648,1100,19,,,,,,,,196,,,,,,433
,18,,24,,745,4,188,382,475,650,9,,,,,,,,149,,,,,,317
,18,,25,,1556,4,276,608,797,1400,11,,,,,,,,316,,,,,,470
,18,,26,,1176,5,284,594,677,1050,19,,,,,,,,284,,,,,,374
,18,,27,,901,2,115,231,358,750,5,,,,,,,,141,,,,,,212
,18,,28,,1540,5,274,493,718,1450,10,,,,,,,,276,,,,,,432
,18,,29,,889,6,168,390,478,850,4,,,,,,,,252,,,,,,222
,19,,1,,1157,4,259,448,617,950,10,,,,,,,,300,,,,,,306
,19,,2,,1129,5,187,479,592,1000,12,,,,,,,,240,,,,,,340
,19,,3,,401,1,119,203,264,400,5,,,,,,,,117,,,,,,142
,19,,4,,252,3,59,151,166,250,4,,,,,,,,30,,,,,,132
,19,,5,,296,2,54,118,147,300,2,,,,,,,,29,,,,,,116
,19,,6,,197,4,71,121,134,200,1,,,,,,,,59,,,,,,74
,19,,7,,106,6,47,66,70,100,2,,,,,,,,13,,,,,,55
,19,,8,,577,0,118,229,320,500,6,,,,,,,,74,,,,,,240
,19,,9,,653,3,107,294,333,550,11,,,,,,,,118,,,,,,204
,19,,10,,221,4,48,100,122,250,2,,,,,,,,34,,,,,,86
,19,,11,,740,1,120,314,377,700,2,,,,,,,,167,,,,,,208
,19,,12,,921,2,161,374,514,800,11,,,,,,,,159,,,,,,344
,19,,13,,261,0,65,159,188,250,3,,,,,,,,39,,,,,,146
,19,,14,,320,2,58,176,208,350,1,,,,,,,,80,,,,,,127
,19,,15,,387,2,80,161,237,400,8,,,,,,,,65,,,,,,164
,19,,16,,591,3,146,253,368,500,6,,,,,,,,104,,,,,,258
,19,,17,,685,1,143,250,338,650,6,,,,,,,,114,,,,,,218
,19,,18,,232,1,47,93,149,250,1,,,,,,,,14,,,,,,134
,19,,19,,790,2,124,323,481,750,8,,,,,,,,166,,,,,,307
,19,,20,,990,7,169,405,500,850,6,,,,,,,,214,,,,,,280
,32,,25,,1254,3,168,382,545,1200,14,,,,,,,,,,,,195,,334
,32,,26,,401,4,63,94,156,400,0,,,,,,,,,,,,15,,141
,32,,27,,504,3,118,211,235,500,11,,,,,,,,,,,,63,,161
,32,,28,,1058,1,117,348,458,1000,14,,,,,,,,,,,,81,,362
,32,,29,,862,2,147,312,396,800,14,,,,,,,,,,,,240,,142
