"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Free Georgia","National Democratic Party of Georgia","United National Movement","Movement for Fair Georgia","Freedom Party","Merab Kostava Society","Labour Council of Georgia","Labour","Georgian Dream","Ioseb Manjavidze","Zviad Chitishvili","Roman Robakidze","Zurab Mskhvilidze"
"Precinct","24","52-24","389","47.4390","0.0000","0.2571","4.8843","1.0283","0.0000","0.0000","0.0000","0.0000","69.9229","0.0000","0.0000","2.5707","21.3368"
"Precinct","25","52-25","377","48.5825","0.0000","0.0000","29.9735","0.0000","0.0000","0.0000","0.0000","0.0000","46.6844","0.0000","0.0000","6.6313","16.7109"
"Precinct","26","52-26","410","50.4926","0.0000","0.0000","12.1951","0.0000","0.2439","0.0000","0.0000","0.0000","75.1220","0.0000","0.0000","4.1463","8.2927"
"Precinct","27","52-27","348","54.2056","0.0000","0.0000","21.2644","0.2874","0.0000","0.0000","0.0000","0.0000","70.6897","0.0000","0.0000","0.5747","7.1839"
"Precinct","28","52-28","265","50.3802","0.0000","0.0000","12.0755","0.0000","0.0000","0.0000","0.0000","0.0000","72.4528","0.0000","0.0000","5.2830","10.1887"
"Precinct","1","54-1","524","40.6517","0.0000","0.0000","10.6870","0.0000","0.0000","0.0000","0.1908","0.0000","89.1221","0.0000","0.0000","0.0000","0.0000"
"Precinct","2","54-2","388","38.7226","0.0000","0.0000","23.1959","0.2577","0.0000","0.0000","0.2577","0.0000","76.2887","0.0000","0.0000","0.0000","0.0000"
"Precinct","3","54-3","401","41.0861","0.0000","0.0000","13.7157","0.0000","0.0000","0.0000","0.0000","0.0000","86.2843","0.0000","0.0000","0.0000","0.0000"
"Precinct","4","54-4","496","37.1536","0.0000","0.0000","14.9194","0.0000","0.0000","0.0000","0.2016","0.0000","84.8790","0.0000","0.0000","0.0000","0.0000"
"Precinct","5","54-5","524","38.8724","0.0000","0.0000","18.7023","0.1908","0.1908","0.0000","0.0000","0.0000","80.9160","0.0000","0.0000","0.0000","0.0000"
"Precinct","6","54-6","514","38.1589","0.0000","0.0000","14.2023","0.0000","0.1946","0.0000","0.0000","0.0000","85.6031","0.0000","0.0000","0.0000","0.0000"
"Precinct","7","54-7","625","42.3155","0.0000","0.0000","15.5200","0.0000","0.0000","0.0000","0.1600","0.0000","84.3200","0.0000","0.0000","0.0000","0.0000"
"Precinct","8","54-8","487","33.9846","0.0000","0.0000","22.7926","0.4107","0.0000","0.0000","0.0000","0.0000","76.7967","0.0000","0.0000","0.0000","0.0000"
"Precinct","9","54-9","541","45.8475","0.0000","0.0000","33.8262","0.1848","0.0000","0.0000","0.0000","0.0000","65.9889","0.0000","0.0000","0.0000","0.0000"
"Precinct","10","54-10","616","43.8746","0.0000","0.0000","20.2922","0.0000","0.3247","0.0000","0.0000","0.0000","79.3831","0.0000","0.0000","0.0000","0.0000"
"Precinct","11","54-11","480","35.2682","0.0000","0.0000","14.1667","0.4167","0.0000","0.0000","0.4167","0.0000","85.0000","0.0000","0.0000","0.0000","0.0000"
"Precinct","12","54-12","394","42.6407","0.0000","0.0000","14.9746","0.2538","0.0000","0.0000","0.0000","0.0000","84.7716","0.0000","0.0000","0.0000","0.0000"
"Precinct","13","54-13","458","38.6498","0.0000","0.0000","13.5371","0.2183","0.0000","0.0000","0.2183","0.0000","86.0262","0.0000","0.0000","0.0000","0.0000"
"Precinct","14","54-14","435","30.3559","0.0000","0.0000","14.0230","0.0000","0.2299","0.0000","0.0000","0.0000","85.7471","0.0000","0.0000","0.0000","0.0000"
"Precinct","15","54-15","337","41.4514","0.0000","0.0000","18.1009","0.0000","0.2967","0.0000","0.2967","0.0000","81.3056","0.0000","0.0000","0.0000","0.0000"
"Precinct","16","54-16","416","56.4450","0.0000","0.0000","27.8846","0.0000","0.2404","0.0000","0.0000","0.0000","71.8750","0.0000","0.0000","0.0000","0.0000"
"Precinct","17","54-17","307","62.6531","0.0000","0.0000","21.1726","0.0000","0.0000","0.0000","0.0000","0.0000","78.8274","0.0000","0.0000","0.0000","0.0000"
"Precinct","18","54-18","493","50.2548","0.0000","0.0000","15.4158","0.0000","0.2028","0.0000","0.2028","0.0000","84.1785","0.0000","0.0000","0.0000","0.0000"
"Precinct","19","54-19","281","60.4301","0.0000","0.0000","17.7936","0.0000","0.0000","0.0000","0.0000","0.0000","82.2064","0.0000","0.0000","0.0000","0.0000"
"Precinct","20","54-20","344","46.4238","0.0000","0.0000","25.8721","0.0000","0.0000","0.0000","0.2907","0.0000","73.8372","0.0000","0.0000","0.0000","0.0000"
"Precinct","21","54-21","418","42.0523","0.0000","0.0000","22.7273","0.0000","0.0000","0.0000","0.0000","0.0000","77.2727","0.0000","0.0000","0.0000","0.0000"
"Precinct","22","54-22","619","54.9246","0.0000","0.0000","9.5315","0.3231","0.0000","0.0000","0.0000","0.0000","90.1454","0.0000","0.0000","0.0000","0.0000"
"Precinct","23","54-23","486","53.0568","0.0000","0.0000","24.8971","0.0000","0.2058","0.0000","0.0000","0.0000","74.8971","0.0000","0.0000","0.0000","0.0000"
"Precinct","24","54-24","346","57.8595","0.0000","0.0000","22.5434","0.0000","0.0000","0.0000","0.0000","0.0000","77.4566","0.0000","0.0000","0.0000","0.0000"
"Precinct","25","54-25","571","42.2963","0.0000","0.0000","11.5587","0.3503","0.0000","0.0000","0.3503","0.0000","87.7408","0.0000","0.0000","0.0000","0.0000"
