region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,79,77,972,584,1550,,,1185,,14,4,738,2,11,1,9,399
,,79,78,1036,4,1000,,,612,,10,0,171,1,20,1,7,402
,,79,79,1240,5,1150,,,770,,19,1,246,3,20,0,7,471
,,79,80,828,13,750,,,73,,0,1,20,0,3,1,1,47
,,79,81,1195,8,1100,,,694,,19,4,198,2,9,5,8,448
,,79,82,648,7,600,,,380,,9,0,87,0,10,0,6,268
,,79,83,1246,6,1150,,,641,,12,3,158,1,8,3,8,448
,,79,84,890,11,800,,,513,,11,0,150,0,7,2,6,337
,,79,85,1274,220,1450,,,795,,16,1,305,0,23,2,11,432
,,79,86,748,11,700,,,496,,6,2,147,0,14,4,2,321
,,79,87,1388,10,1300,,,903,,16,0,348,1,14,3,9,502
,,79,88,1196,11,1100,,,683,,11,0,219,0,8,0,8,436
,,79,89,1230,7,1150,,,807,,13,2,223,3,12,1,0,553
,,79,90,1283,11,1150,,,661,,8,0,158,2,13,0,9,471
,,79,91,1530,5,1450,,,1051,,48,3,271,3,12,4,7,703
,,79,92,1329,1,1250,,,947,,23,2,292,3,29,16,8,574
,,79,93,854,15,750,,,543,,12,5,146,0,9,1,9,361
,,79,94,1166,9,1100,,,781,,20,3,246,16,21,1,13,456
,,79,95,1128,4,1050,,,754,,19,7,200,1,12,0,8,507
,,79,96,1474,5,1350,,,837,,20,0,351,3,29,4,18,411
,,79,97,1463,6,1350,,,843,,29,4,191,4,14,6,10,583
,,79,98,1196,13,1100,,,749,,29,4,178,0,18,2,5,509
,,79,99,1231,5,1150,,,765,,14,1,228,2,20,1,4,492
,,79,100,829,8,750,,,530,,17,5,115,2,11,7,6,362
,,79,101,429,98,500,,,363,,7,3,188,1,3,0,5,156
,,79,102,1539,8,1400,,,702,,32,2,492,0,18,2,13,138
,,79,103,1514,13,1350,,,812,,36,1,270,5,19,6,7,467
,,79,104,1396,12,1250,,,797,,33,3,176,1,20,2,7,555
,,80,1,1311,28,1200,,,929,,31,1,425,2,26,13,5,426
,,80,2,829,9,800,,,587,,10,0,334,4,22,12,4,201
,,80,3,301,3,300,,,248,,7,0,124,2,11,1,3,100
