region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,9 - Self-governance to People,11 - Reformers,13 - Future Georgia,14 - Georgian Party,16 - Christian Democrats,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,41 - Georgian Dream
,12,,7,,1033,6,244,424,616,1000,37,,,,,,,,,,47,96,,,,,,,,,8,,,,428
,12,,8,,1030,6,162,399,527,1000,24,,,,,,,,,,66,101,,,,,,,,,36,,,,300
,12,,9,,1294,3,176,361,545,1250,18,,,,,,,,,,78,54,,,,,,,,,18,,,,377
,12,,10,,1493,2,255,352,545,1400,20,,,,,,,,,,60,129,,,,,,,,,26,,,,310
,12,,11,,1562,3,174,347,522,1500,17,,,,,,,,,,62,79,,,,,,,,,10,,,,349
,12,,12,,917,1,261,563,665,850,53,,,,,,,,,,107,106,,,,,,,,,9,,,,379
,12,,13,,348,5,97,193,230,350,7,,,,,,,,,,48,33,,,,,,,,,3,,,,139
,12,,14,,1493,5,237,424,668,1400,34,,,,,,,,,,66,204,,,,,,,,,15,,,,345
,12,,15,,1443,3,160,325,538,1400,26,,,,,,,,,,46,173,,,,,,,,,9,,,,283
,12,,16,,1517,8,157,356,570,1450,34,,,,,,,,,,33,218,,,,,,,,,3,,,,281
,12,,17,,1365,3,231,580,739,1300,44,,,,,,,,,,74,130,,,,,,,,,12,,,,479
,12,,18,,1105,2,171,387,609,1050,23,,,,,,,,,,60,91,,,,,,,,,7,,,,428
,12,,19,,1209,8,136,354,517,1150,32,,,,,,,,,,55,168,,,,,,,,,10,,,,252
,12,,20,,825,3,149,310,444,800,15,,,,,,,,,,102,112,,,,,,,,,2,,,,213
,12,,21,,265,4,51,92,116,300,2,,,,,,,,,,50,7,,,,,,,,,0,,,,57
,12,,22,,1309,8,176,322,491,1250,16,,,,,,,,,,54,134,,,,,,,,,10,,,,276
,12,,23,,1153,5,197,350,495,1100,21,,,,,,,,,,57,133,,,,,,,,,8,,,,263
,12,,24,,807,4,133,326,425,750,18,,,,,,,,,,67,74,,,,,,,,,4,,,,261
,12,,25,,982,4,166,349,516,950,28,,,,,,,,,,164,71,,,,,,,,,5,,,,248
,12,,26,,1482,1,260,502,717,1400,25,,,,,,,,,,87,188,,,,,,,,,10,,,,404
,12,,27,,1504,4,195,470,672,1450,37,,,,,,,,,,104,149,,,,,,,,,6,,,,376
,12,,28,,1036,2,182,461,671,1000,35,,,,,,,,,,75,154,,,,,,,,,6,,,,401
,12,,29,,1419,4,207,397,562,1350,24,,,,,,,,,,58,109,,,,,,,,,4,,,,364
,12,,30,,1083,6,163,409,552,1050,25,,,,,,,,,,66,113,,,,,,,,,2,,,,346
,12,,31,,1251,4,138,272,440,1200,26,,,,,,,,,,30,126,,,,,,,,,3,,,,254
,12,,32,,1402,8,161,343,493,1350,33,,,,,,,,,,41,140,,,,,,,,,6,,,,272
,12,,33,,1421,5,159,371,504,1350,26,,,,,,,,,,59,158,,,,,,,,,8,,,,250
