region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,14 - Georgian Party,18 - Way of Georgia,41 - Georgian Dream
,2,,43,,1402,7,250,397,527,1350,20,,,,,,,,,119,,,,,385
,2,,44,,1279,9,209,406,517,1200,16,,,,,,,,,139,,,,,361
,2,,45,,1400,9,192,424,543,1350,38,,,,,,,,,152,,,,,353
,2,,46,,1153,12,211,382,500,1100,28,,,,,,,,,101,,,,,371
,2,,47,,1277,8,206,371,463,1200,18,,,,,,,,,82,,,,,363
,2,,48,,1432,7,207,414,521,1350,10,,,,,,,,,132,,,,,379
,2,,49,,1384,11,171,435,536,1300,18,,,,,,,,,118,,,,,399
,2,,50,,1499,7,177,441,582,1450,24,,,,,,,,,130,,,,,428
,2,,51,,1355,8,165,431,555,1250,14,,,,,,,,,114,,,,,427
,2,,52,,1145,10,194,430,512,1050,19,,,,,,,,,127,,,,,366
,2,,53,,1392,6,157,320,437,1350,12,,,,,,,,,89,,,,,336
,2,,54,,1050,9,197,376,445,950,17,,,,,,,,,131,,,,,297
,2,,55,,1387,8,176,397,501,1300,16,,,,,,,,,142,,,,,343
,2,,56,,1187,8,150,270,357,1150,3,,,,,,,,,84,,,,,270
,2,,57,,1164,6,182,343,429,1100,18,,,,,,,,,97,,,,,314
,2,,58,,1288,7,222,374,479,1200,10,,,,,,,,,136,,,,,333
,2,,59,,1389,7,212,420,529,1300,19,,,,,,,,,116,,,,,394
,2,,60,,1484,7,240,521,641,1400,24,,,,,,,,,125,,,,,492
,2,,61,,1341,10,233,449,545,1250,19,,,,,,,,,119,,,,,407
,2,,62,,1195,2,193,367,449,1100,26,,,,,,,,,125,,,,,298
,2,,63,,1169,12,191,359,447,1100,15,,,,,,,,,133,,,,,299
,2,,64,,1299,7,212,376,509,1250,21,,,,,,,,,133,,,,,355
,2,,65,,690,7,100,187,216,650,6,,,,,,,,,63,,,,,147
,2,,66,,1207,6,204,400,493,1150,16,,,,,,,,,95,,,,,382
,2,,67,,995,5,157,328,438,950,12,,,,,,,,,88,,,,,338
,2,,68,,1244,4,250,480,551,1200,9,,,,,,,,,118,,,,,424
,2,,69,,1033,8,257,432,533,1000,11,,,,,,,,,214,,,,,308
,2,,70,,940,10,154,296,396,900,11,,,,,,,,,118,,,,,267
,2,,71,,1443,4,142,352,462,1350,14,,,,,,,,,109,,,,,339
,2,,72,,849,13,130,263,347,800,13,,,,,,,,,71,,,,,263
,2,,73,,996,10,201,332,390,950,10,,,,,,,,,88,,,,,292
,2,,74,,856,7,144,280,336,800,12,,,,,,,,,85,,,,,239
,2,,75,,891,8,138,247,337,850,10,,,,,,,,,49,,,,,278
,2,,76,,1187,8,153,343,458,1100,19,,,,,,,,,108,,,,,331
,2,,78,,1085,13,146,312,385,1000,8,,,,,,,,,93,,,,,284
,2,,79,,940,4,114,223,275,900,24,,,,,,,,,63,,,,,188
,2,,80,,995,11,158,345,431,950,18,,,,,,,,,93,,,,,320
,3,,1,,1579,9,213,465,571,1500,20,,,,,,,,,153,,,,,397
,3,,2,,1352,9,211,469,557,1250,17,,,,,,,,,147,,,,,393
,3,,3,,1246,8,218,432,536,1150,27,,,,,,,,,135,,,,,374
,3,,4,,1482,9,226,432,498,1400,16,,,,,,,,,122,,,,,360
,3,,5,,1536,5,235,464,572,1450,24,,,,,,,,,132,,,,,415
,3,,6,,1215,8,169,332,436,1150,16,,,,,,,,,130,,,,,290
,3,,7,,1474,10,219,476,592,1400,16,,,,,,,,,158,,,,,418
,3,,8,,1545,8,220,401,500,1450,15,,,,,,,,,118,,,,,367
,3,,9,,1505,7,264,533,658,1400,28,,,,,,,,,179,,,,,451
,3,,10,,1380,8,217,483,561,1300,15,,,,,,,,,134,,,,,412
,3,,11,,1328,6,188,403,510,1250,16,,,,,,,,,132,,,,,361
,3,,12,,1577,5,178,417,557,1500,16,,,,,,,,,163,,,,,378
,3,,13,,1503,8,223,462,562,1400,24,,,,,,,,,136,,,,,402
,3,,14,,1467,5,249,523,628,1400,24,,,,,,,,,138,,,,,466
,3,,15,,1404,6,194,426,516,1300,8,,,,,,,,,129,,,,,379
,3,,16,,1541,9,192,421,544,1450,19,,,,,,,,,125,,,,,400
,3,,17,,1261,7,186,404,479,1200,22,,,,,,,,,114,,,,,343
,3,,18,,1445,7,263,492,604,1350,26,,,,,,,,,111,,,,,467
,3,,19,,1296,9,233,449,560,1250,26,,,,,,,,,121,,,,,413
,3,,20,,1322,10,173,362,461,1250,15,,,,,,,,,125,,,,,321
,3,,21,,1213,10,175,365,455,1150,17,,,,,,,,,134,,,,,304
,3,,22,,1284,7,171,359,439,1200,19,,,,,,,,,111,,,,,309
,3,,23,,1517,6,190,391,497,1400,10,,,,,,,,,125,,,,,362
,3,,24,,1637,9,246,422,557,1500,31,,,,,,,,,161,,,,,365
,3,,25,,1335,11,177,344,440,1250,21,,,,,,,,,111,,,,,308
,3,,26,,1144,7,152,352,439,1050,18,,,,,,,,,119,,,,,302
,3,,27,,1425,10,200,415,510,1300,17,,,,,,,,,127,,,,,366
,3,,28,,1308,7,205,410,535,1250,19,,,,,,,,,141,,,,,375
,3,,29,,1346,7,220,425,525,1300,19,,,,,,,,,102,,,,,404
,3,,30,,1238,11,169,359,436,1150,18,,,,,,,,,125,,,,,293
,3,,31,,1434,7,220,434,543,1350,33,,,,,,,,,128,,,,,382
,3,,32,,1395,2,224,440,563,1300,14,,,,,,,,,173,,,,,376
,3,,33,,1416,10,236,379,455,1350,10,,,,,,,,,92,,,,,353
,3,,34,,1240,100,286,473,570,1250,16,,,,,,,,,148,,,,,406
,3,,35,,1594,8,195,352,443,1500,18,,,,,,,,,89,,,,,335
,3,,36,,1403,8,226,441,559,1300,18,,,,,,,,,118,,,,,423
,3,,37,,1417,7,260,455,573,1350,24,,,,,,,,,153,,,,,396
,3,,38,,1334,10,180,366,467,1250,11,,,,,,,,,110,,,,,346
,3,,39,,1183,7,167,353,442,1100,18,,,,,,,,,90,,,,,334
,3,,40,,1399,10,247,450,570,1300,22,,,,,,,,,140,,,,,407
,3,,41,,1172,10,167,293,383,1100,19,,,,,,,,,81,,,,,283
,3,,42,,1324,10,177,350,438,1250,19,,,,,,,,,89,,,,,330
,3,,43,,1263,10,137,345,434,1200,15,,,,,,,,,95,,,,,324
,3,,44,,1412,7,163,374,500,1350,15,,,,,,,,,121,,,,,364
,3,,45,,1065,5,209,400,471,1000,13,,,,,,,,,117,,,,,341
,3,,46,,1093,9,149,288,354,1000,11,,,,,,,,,120,,,,,223
,3,,47,,1423,7,207,426,546,1350,17,,,,,,,,,149,,,,,380
,3,,48,,1597,5,225,428,562,1500,13,,,,,,,,,133,,,,,416
,3,,49,,1450,10,230,377,489,1350,18,,,,,,,,,69,,,,,402
,3,,50,,1286,7,226,406,504,1200,21,,,,,,,,,102,,,,,381
,3,,51,,1429,12,225,407,535,1350,22,,,,,,,,,117,,,,,396
,3,,52,,1343,9,190,345,435,1250,22,,,,,,,,,73,,,,,340
,3,,53,,1455,7,249,398,514,1350,17,,,,,,,,,133,,,,,364
,3,,54,,1327,6,228,465,576,1250,13,,,,,,,,,140,,,,,423
,3,,55,,1562,9,115,346,452,1500,8,,,,,,,,,61,,,,,383
,3,,56,,1587,12,220,378,467,1500,7,,,,,,,,,53,,,,,407
,3,,57,,1458,5,225,400,499,1400,18,,,,,,,,,80,,,,,400
,3,,58,,1476,9,154,304,394,1400,9,,,,,,,,,52,,,,,333
,3,,59,,1636,10,266,465,578,1500,20,,,,,,,,,76,,,,,482
,3,,60,,1409,7,128,288,338,1300,46,,,,,,,,,81,,,,,211
,3,,61,,1425,8,190,414,512,1350,18,,,,,,,,,110,,,,,384
,3,,62,,1376,8,236,452,556,1300,29,,,,,,,,,139,,,,,388
,3,,63,,1442,11,211,409,540,1350,22,,,,,,,,,122,,,,,396
,3,,64,,1319,8,270,454,559,1250,25,,,,,,,,,133,,,,,401
,3,,65,,1340,9,155,366,448,1250,20,,,,,,,,,118,,,,,310
,3,,66,,1343,9,194,364,472,1250,14,,,,,,,,,116,,,,,342
,3,,67,,1058,6,133,285,352,1000,11,,,,,,,,,90,,,,,251
,3,,68,,1572,7,137,269,329,1450,15,,,,,,,,,84,,,,,230
,3,,69,,1444,11,221,483,569,1350,20,,,,,,,,,135,,,,,414
,3,,70,,1410,5,196,367,444,1300,18,,,,,,,,,121,,,,,305
,3,,71,,1124,9,215,412,497,1050,18,,,,,,,,,126,,,,,353
,3,,72,,1312,7,199,404,518,1250,14,,,,,,,,,147,,,,,357
,3,,73,,1385,10,234,448,547,1300,22,,,,,,,,,147,,,,,378
,3,,74,,1418,6,236,364,472,1350,22,,,,,,,,,109,,,,,341
,3,,75,,1307,7,230,353,451,1250,16,,,,,,,,,72,,,,,363
,3,,76,,1390,11,210,383,467,1300,24,,,,,,,,,94,,,,,349
,3,,77,,1584,6,178,371,495,1500,15,,,,,,,,,105,,,,,375
,3,,78,,1374,12,221,409,522,1300,27,,,,,,,,,130,,,,,365
,3,,79,,1487,8,221,462,596,1400,26,,,,,,,,,140,,,,,430
,3,,80,,1541,8,230,429,513,1500,9,,,,,,,,,79,,,,,425
,3,,81,,1218,6,175,290,390,1200,10,,,,,,,,,98,,,,,281
,3,,83,,1399,6,246,534,630,1300,24,,,,,,,,,172,,,,,434
,3,,84,,1306,7,147,319,397,1200,11,,,,,,,,,81,,,,,305
,3,,85,,1275,11,177,352,457,1200,12,,,,,,,,,113,,,,,332
,3,,87,,1405,10,239,361,435,1350,11,,,,,,,,,105,,,,,319
,4,,1,,1540,4,217,477,627,1450,36,,,,,,,,,160,,,,,431
,4,,2,,1353,9,162,331,443,1250,13,,,,,,,,,99,,,,,330
,4,,3,,1451,7,170,345,424,1350,12,,,,,,,,,138,,,,,274
,4,,4,,1336,9,166,333,424,1200,18,,,,,,,,,107,,,,,298
,4,,5,,1245,9,114,255,337,1150,21,,,,,,,,,100,,,,,216
,4,,6,,1336,8,154,346,436,1200,14,,,,,,,,,113,,,,,309
,4,,7,,1275,10,186,330,417,1150,11,,,,,,,,,103,,,,,303
,4,,8,,1301,6,180,340,406,1150,14,,,,,,,,,121,,,,,271
,4,,9,,988,9,115,215,270,900,7,,,,,,,,,38,,,,,225
,4,,10,,1251,6,170,361,437,1150,12,,,,,,,,,157,,,,,268
,4,,11,,983,11,158,264,320,850,9,,,,,,,,,122,,,,,189
,4,,12,,1492,6,156,413,520,1400,10,,,,,,,,,229,,,,,281
,4,,13,,1464,8,185,347,466,1350,11,,,,,,,,,128,,,,,327
,4,,14,,1585,23,315,571,676,1500,13,,,,,,,,,156,,,,,507
,4,,15,,1385,5,193,394,514,1300,12,,,,,,,,,129,,,,,373
,4,,16,,1358,4,220,390,572,1250,22,,,,,,,,,142,,,,,409
,4,,17,,1371,12,218,414,502,1250,22,,,,,,,,,154,,,,,326
,4,,18,,1126,7,176,344,440,1050,15,,,,,,,,,150,,,,,275
,4,,19,,1274,10,213,397,516,1150,9,,,,,,,,,172,,,,,335
,4,,20,,1207,7,185,324,396,1100,13,,,,,,,,,124,,,,,259
,4,,21,,1193,8,193,365,457,1100,14,,,,,,,,,175,,,,,268
,4,,22,,958,10,140,258,314,900,8,,,,,,,,,104,,,,,202
,4,,23,,1386,7,235,395,497,1300,13,,,,,,,,,126,,,,,358
,4,,24,,1299,9,111,180,230,1150,6,,,,,,,,,84,,,,,140
,4,,25,,1296,6,192,305,399,1200,9,,,,,,,,,133,,,,,257
,4,,26,,1237,9,234,376,444,1150,16,,,,,,,,,135,,,,,293
,4,,27,,1315,6,227,344,447,1200,6,,,,,,,,,132,,,,,309
,4,,28,,1374,9,244,464,571,1300,25,,,,,,,,,110,,,,,436
,4,,29,,1343,9,212,379,460,1150,7,,,,,,,,,111,,,,,342
,4,,30,,1377,10,203,360,452,1200,20,,,,,,,,,138,,,,,294
,4,,31,,1237,7,137,240,306,1050,4,,,,,,,,,100,,,,,202
,4,,32,,916,8,152,310,393,850,12,,,,,,,,,142,,,,,239
,4,,33,,0,,,,,,,,,,,,,,,,,,,,
,5,,1,,1358,11,178,280,352,1250,2,,,,,,,,,87,,,,,263
,5,,2,,1613,6,192,410,526,1500,23,,,,,,,,,175,,,,,328
,5,,3,,1452,10,147,263,342,1300,13,,,,,,,,,161,,,,,168
,5,,4,,1420,7,145,306,376,1250,12,,,,,,,,,102,,,,,262
,5,,5,,1431,7,178,328,426,1350,6,,,,,,,,,149,,,,,271
,5,,6,,1488,7,183,324,386,1400,13,,,,,,,,,110,,,,,263
,5,,7,,1581,7,168,329,459,1450,12,,,,,,,,,194,,,,,253
,5,,8,,1403,8,176,323,434,1250,12,,,,,,,,,140,,,,,282
,5,,9,,1337,11,149,320,387,1250,10,,,,,,,,,107,,,,,269
,5,,10,,1347,9,168,349,449,1250,14,,,,,,,,,153,,,,,282
,5,,11,,1458,5,212,405,497,1350,12,,,,,,,,,196,,,,,289
,5,,12,,1552,8,188,357,466,1400,17,,,,,,,,,149,,,,,300
,5,,13,,1561,7,192,384,500,1450,21,,,,,,,,,166,,,,,313
,5,,14,,1300,6,184,344,414,1200,15,,,,,,,,,151,,,,,248
,5,,15,,1334,6,161,298,365,1200,6,,,,,,,,,140,,,,,219
,5,,16,,1256,2,154,314,408,1150,13,,,,,,,,,102,,,,,292
,5,,17,,1340,12,161,321,384,1200,11,,,,,,,,,87,,,,,286
,5,,18,,1355,6,184,351,435,1250,18,,,,,,,,,145,,,,,272
,5,,19,,1348,5,184,377,481,1250,11,,,,,,,,,149,,,,,321
,5,,20,,1256,7,155,319,406,1150,15,,,,,,,,,134,,,,,257
,5,,21,,1497,8,161,338,435,1400,14,,,,,,,,,121,,,,,300
,5,,22,,1431,11,246,453,553,1350,31,,,,,,,,,140,,,,,382
,5,,23,,1301,6,138,286,347,1200,10,,,,,,,,,93,,,,,244
,5,,24,,1354,11,196,401,479,1250,15,,,,,,,,,142,,,,,322
,5,,25,,1468,7,234,432,525,1350,20,,,,,,,,,205,,,,,300
,5,,26,,1387,8,155,327,400,1300,11,,,,,,,,,120,,,,,269
,5,,27,,1510,6,215,386,467,1400,7,,,,,,,,,113,,,,,347
,5,,28,,1498,8,175,321,415,1400,7,,,,,,,,,132,,,,,276
,5,,29,,1465,7,184,321,386,1400,9,,,,,,,,,67,,,,,310
,5,,30,,1315,8,184,319,393,1200,14,,,,,,,,,133,,,,,246
,5,,31,,1557,9,215,369,509,1450,13,,,,,,,,,119,,,,,377
,5,,32,,1646,8,171,275,353,1500,1,,,,,,,,,140,,,,,212
,5,,33,,1371,8,173,335,396,1300,16,,,,,,,,,104,,,,,276
,5,,34,,1291,8,173,363,487,1200,15,,,,,,,,,116,,,,,356
,5,,35,,1558,9,225,350,473,1500,10,,,,,,,,,137,,,,,326
,5,,36,,1375,6,205,400,550,1300,15,,,,,,,,,165,,,,,370
,5,,37,,1354,6,200,330,421,1250,11,,,,,,,,,107,,,,,303
,5,,38,,1663,6,262,521,661,1450,19,,,,,,,,,289,,,,,353
,5,,39,,1387,5,191,310,406,1250,12,,,,,,,,,107,,,,,287
,5,,40,,1534,10,98,312,395,1400,6,,,,,,,,,117,,,,,272
,5,,41,,1460,8,137,261,329,1350,10,,,,,,,,,99,,,,,220
,5,,42,,1551,8,196,358,442,1400,10,,,,,,,,,169,,,,,263
