"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts Reported (#)","Precincts Reported (%)","Free Georgia","United National Movement","Movement for Fair Georgia","Christian-Democratic Movement","New Rights","Labour","Georgian Dream"
"Precinct","4","83-4","455","50.9518",\N,\N,\N,\N,"1.7279",\N,\N,"1.5385","19.3407","0.6593","4.1758","0.4396","0.0000","72.5275"
"Precinct","5","83-5","844","54.2068",\N,\N,\N,\N,"6.0134",\N,\N,"0.9479","23.3412","1.6588","1.6588","0.9479","0.0000","71.3270"
"Precinct","6","83-6","472","62.1871",\N,\N,\N,\N,"5.7884",\N,\N,"0.6356","29.8729","1.2712","2.3305","0.4237","0.0000","64.6186"
"Precinct","7","83-7","438","60.8333",\N,\N,\N,\N,"4.1575",\N,\N,"0.2283","30.1370","0.6849","1.5982","0.9132","0.0000","66.4384"
"Precinct","8","83-8","638","55.0475",\N,\N,\N,\N,"3.1866",\N,\N,"0.0000","29.9373","0.3135","2.1944","0.7837","0.0000","66.1442"
"Precinct","9","83-9","397","32.7558",\N,\N,\N,\N,"2.9340",\N,\N,"0.0000","35.7683","0.5038","4.5340","0.0000","0.0000","58.9421"
"Precinct","10","83-10","602","60.2603",\N,\N,\N,\N,"1.4730",\N,\N,"0.1661","28.4053","0.1661","4.3189","0.1661","0.0000","65.9468"
"Precinct","11","83-11","362","61.7747",\N,\N,\N,\N,"3.7234",\N,\N,"0.0000","27.0718","0.0000","1.6575","0.0000","0.0000","69.0608"
"Precinct","12","83-12","748","53.6201",\N,\N,\N,\N,"1.5789",\N,\N,"0.8021","24.5989","0.2674","2.0053","0.1337","0.0000","70.8556"
"Precinct","13","83-13","656","48.5566",\N,\N,\N,\N,"10.8696",\N,\N,"3.2012","23.4756","0.0000","2.4390","0.3049","0.0000","70.2744"
"Precinct","14","83-14","567","54.0515",\N,\N,\N,\N,"3.5714",\N,\N,"0.8818","32.0988","0.1764","3.1746","0.7055","0.0000","62.7866"
"Precinct","15","83-15","781","54.7302",\N,\N,\N,\N,"4.1718",\N,\N,"0.5122","41.6133","0.8963","4.2254","1.0243","0.0000","50.5762"
"Precinct","16","83-16","721","56.4605",\N,\N,\N,\N,"3.9947",\N,\N,"4.9931","31.4840","0.6935","1.9417","1.1096","0.0000","59.3620"
"Precinct","17","83-17","849","54.9515",\N,\N,\N,\N,"5.2455",\N,\N,"0.3534","32.7444","0.1178","1.6490","0.3534","0.0000","64.5465"
