"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts Reported (#)","Precincts Reported (%)","Free Georgia","United National Movement","Movement for Fair Georgia","Christian-Democratic Movement","New Rights","Labour","Georgian Dream"
"Precinct","7","79-7","701","57.5534",\N,\N,\N,\N,"3.7088",\N,\N,"1.2839","20.1141","0.5706","2.4251","1.2839","1.2839","72.7532"
"Precinct","8","79-8","754","62.1087",\N,\N,\N,\N,"3.4571",\N,\N,"0.7958","29.7082","0.1326","2.3873","1.0610","0.9284","64.4562"
"Precinct","9","79-9","769","57.9940",\N,\N,\N,\N,"3.2704",\N,\N,"0.6502","21.3264","0.1300","1.8205","4.0312","1.4304","70.4811"
"Precinct","10","79-10","866","59.3557",\N,\N,\N,\N,"3.0235",\N,\N,"1.1547","27.0208","0.1155","1.3857","0.2309","1.2702","68.0139"
"Precinct","11","79-11","864","57.7154",\N,\N,\N,\N,"3.3557",\N,\N,"1.6204","24.3056","0.1157","3.1250","0.3472","1.5046","68.6343"
"Precinct","12","79-12","763","56.6024",\N,\N,\N,\N,"4.1457",\N,\N,"0.9174","25.9502","0.3932","3.0144","1.3106","1.7038","66.4482"
"Precinct","13","79-13","809","54.8475",\N,\N,\N,\N,"5.7110",\N,\N,"0.9889","20.5192","0.4944","1.4833","0.7417","1.8541","73.9184"
"Precinct","14","79-14","790","54.9374",\N,\N,\N,\N,"11.4350",\N,\N,"1.0127","29.3671","0.2532","3.0380","0.5063","1.2658","63.7975"
"Precinct","15","79-15","1804","122.8883",\N,\N,\N,\N,"2.1161",\N,\N,"0.6098","61.5854","0.0554","1.9401","0.4435","0.4435","34.8670"
"Precinct","16","79-16","956","64.6383",\N,\N,\N,\N,"2.1494",\N,\N,"1.7782","28.2427","0.5230","3.6611","0.3138","1.8828","63.1799"
"Precinct","17","79-17","852","59.7057",\N,\N,\N,\N,"2.8506",\N,\N,"0.5869","25.5869","0.1174","3.9906","0.7042","1.6432","67.2535"
"Precinct","18","79-18","845","56.2958",\N,\N,\N,\N,"2.4249",\N,\N,"1.6568","29.9408","0.7101","2.2485","0.4734","1.3018","63.5503"
"Precinct","19","79-19","776","54.0390",\N,\N,\N,\N,"5.3659",\N,\N,"1.0309","27.7062","0.2577","3.2216","1.1598","1.0309","65.5928"
"Precinct","20","79-20","773","51.0905",\N,\N,\N,\N,"2.5221",\N,\N,"1.1643","30.5304","0.0000","1.5524","0.2587","2.4580","60.0259"
"Precinct","21","79-21","804","53.0343",\N,\N,\N,\N,"2.5455",\N,\N,"1.6169","25.8706","0.2488","3.7313","0.0000","0.8706","67.0398"
"Precinct","22","79-22","730","57.0758",\N,\N,\N,\N,"2.7963",\N,\N,"1.6438","33.2877","0.2740","3.5616","0.4110","0.2740","60.0000"
"Precinct","23","79-23","669","54.3461",\N,\N,\N,\N,"2.9028",\N,\N,"0.5979","31.9880","0.4484","4.1854","0.7474","2.5411","59.1928"
"Precinct","24","79-24","741","52.2936",\N,\N,\N,\N,"3.3898",\N,\N,"0.5398","32.2537","0.2699","2.2942","0.4049","1.6194","62.0783"
"Precinct","25","79-25","771","53.6161",\N,\N,\N,\N,"3.7453",\N,\N,"1.0376","25.9403","0.2594","5.9663","0.5188","1.5564","64.5914"
"Precinct","26","79-26","739","50.7207",\N,\N,\N,\N,"3.2723",\N,\N,"0.2706","32.6116","0.8119","6.7659","0.2706","1.3532","57.9161"
"Precinct","27","79-27","720","55.4700",\N,\N,\N,\N,"2.0408",\N,\N,"1.5278","32.6389","0.6944","2.7778","0.2778","1.5278","57.5000"
"Precinct","28","79-28","707","57.5264",\N,\N,\N,\N,"1.9417",\N,\N,"1.5559","31.8246","0.5658","2.4045","0.7072","1.5559","60.5375"
"Precinct","29","79-29","859","59.2414",\N,\N,\N,\N,"2.6077",\N,\N,"1.7462","20.8382","0.0000","3.2596","0.2328","4.0745","69.8487"
"Precinct","30","79-30","811","55.2076",\N,\N,\N,\N,"4.1371",\N,\N,"1.4797","24.6609","0.3699","3.2059","0.9864","1.4797","67.4476"
"Precinct","31","79-31","815","55.7075",\N,\N,\N,\N,"3.8915",\N,\N,"0.3681","27.3620","0.1227","3.3129","0.3681","1.2270","66.9939"
"Precinct","32","79-32","714","54.9231",\N,\N,\N,\N,"3.1208",\N,\N,"0.9804","28.4314","0.2801","1.8207","0.9804","0.9804","66.2465"
"Precinct","33","79-33","809","55.1090",\N,\N,\N,\N,"5.3801",\N,\N,"0.9889","26.8232","0.4944","2.2250","0.3708","1.8541","66.9963"
"Precinct","34","79-34","835","55.0066",\N,\N,\N,\N,"4.1332",\N,\N,"2.0359","28.6228","0.2395","2.2754","0.4790","1.4371","64.5509"
"Precinct","35","79-35","799","54.5765",\N,\N,\N,\N,"3.5024",\N,\N,"1.0013","29.4118","0.3755","2.3780","0.7509","1.5019","64.2053"
"Precinct","36","79-36","825","59.2672",\N,\N,\N,\N,"3.3958",\N,\N,"0.6061","32.3636","0.3636","2.4242","0.8485","1.8182","61.0909"
"Precinct","37","79-37","770","59.3678",\N,\N,\N,\N,"2.2843",\N,\N,"0.2597","22.9870","0.1299","2.9870","0.2597","1.4286","71.8182"
"Precinct","38","79-38","841","62.4350",\N,\N,\N,\N,"3.4443",\N,\N,"0.1189","21.1653","0.1189","1.7836","1.0702","2.0214","73.3650"
"Precinct","39","79-39","811","56.5551",\N,\N,\N,\N,"4.3632",\N,\N,"1.4797","26.5105","0.6165","3.0826","0.4932","2.0962","65.7213"
"Precinct","40","79-40","839","61.1071",\N,\N,\N,\N,"3.7844",\N,\N,"0.5959","26.6985","0.0000","2.3838","0.7151","8.3433","61.2634"
"Precinct","41","79-41","710","58.0540",\N,\N,\N,\N,"3.6635",\N,\N,"0.8451","31.4085","0.2817","2.9577","2.5352","3.0986","58.8732"
"Precinct","42","79-42","799","59.0540",\N,\N,\N,\N,"2.5610",\N,\N,"0.7509","32.7910","0.3755","2.6283","0.5006","1.6270","61.3267"
"Precinct","43","79-43","533","57.7465",\N,\N,\N,\N,"2.2018",\N,\N,"0.9381","34.7092","0.1876","2.4390","1.5009","2.0638","57.7861"
"Precinct","44","79-44","771","52.2004",\N,\N,\N,\N,"4.3424",\N,\N,"1.1673","29.0532","0.3891","2.8534","0.1297","1.4267","64.9805"
"Precinct","45","79-45","781","55.8256",\N,\N,\N,\N,"2.6185",\N,\N,"0.6402","25.4802","0.0000","2.3047","0.5122","1.5365","67.6056"
"Precinct","46","79-46","740","53.2757",\N,\N,\N,\N,"4.5161",\N,\N,"0.5405","24.1892","0.2703","2.7027","1.2162","1.2162","69.3243"
"Precinct","47","79-47","612","56.3017",\N,\N,\N,\N,"3.0111",\N,\N,"0.9804","25.3268","0.8170","3.2680","0.6536","0.8170","67.9739"
"Precinct","48","79-48","695","51.0279",\N,\N,\N,\N,"3.7396",\N,\N,"0.2878","23.8849","0.5755","1.1511","1.1511","1.2950","70.7914"
"Precinct","49","79-49","733","56.0826",\N,\N,\N,\N,"6.7430",\N,\N,"3.4106","25.5116","0.1364","1.6371","0.5457","1.9100","66.7121"
"Precinct","50","79-50","864","58.0255",\N,\N,\N,\N,"2.8121",\N,\N,"1.3889","33.3333","0.4630","2.6620","0.5787","1.7361","59.1435"
"Precinct","51","79-51","728","54.5318",\N,\N,\N,\N,"3.4483",\N,\N,"0.9615","28.9835","0.1374","2.4725","1.9231","1.5110","64.0110"
"Precinct","52","79-52","847","59.8587",\N,\N,\N,\N,"4.2938",\N,\N,"1.0626","22.3140","0.4723","4.1322","0.7084","1.7710","69.1854"
"Precinct","53","79-53","1368","80.4706",\N,\N,\N,\N,"3.1161",\N,\N,"0.8772","52.0468","0.3655","1.2427","0.7310","1.5351","42.9825"
"Precinct","54","79-54","837","61.6802",\N,\N,\N,\N,"2.7875",\N,\N,"1.1947","24.4922","0.4779","2.5090","0.4779","1.7921","68.9367"
"Precinct","55","79-55","545","57.3684",\N,\N,\N,\N,"3.1972",\N,\N,"2.0183","37.6147","0.1835","3.1193","0.3670","1.4679","55.0459"
"Precinct","56","79-56","874","58.7366",\N,\N,\N,\N,"3.8504",\N,\N,"1.1442","28.9474","0.3432","2.2883","0.2288","1.4874","65.4462"
"Precinct","57","79-57","829","58.0532",\N,\N,\N,\N,"2.0095",\N,\N,"0.3619","23.0398","0.1206","3.1363","0.1206","2.1713","70.9288"
"Precinct","58","79-58","768","57.0156",\N,\N,\N,\N,"4.4776",\N,\N,"0.7813","26.0417","0.2604","5.0781","0.2604","1.4323","66.1458"
"Precinct","59","79-59","772","58.9313",\N,\N,\N,\N,"3.3792",\N,\N,"0.6477","33.6788","0.2591","2.4611","4.5337","1.0363","56.9948"
"Precinct","60","79-60","760","54.8341",\N,\N,\N,\N,"3.6755",\N,\N,"0.7895","30.0000","0.2632","1.9737","1.5789","1.5789","63.5526"
"Precinct","61","79-61","597","50.1259",\N,\N,\N,\N,"4.0193",\N,\N,"0.5025","38.6935","0.1675","3.8526","0.5025","1.1725","55.1089"
"Precinct","62","79-62","702","52.9811",\N,\N,\N,\N,"4.0984",\N,\N,"1.1396","30.0570","0.1425","2.5641","0.2849","1.5670","64.2450"
"Precinct","63","79-63","813","53.9841",\N,\N,\N,\N,"5.3551",\N,\N,"0.9840","23.9852","0.8610","2.4600","0.3690","2.2140","68.7577"
"Precinct","64","79-64","838","57.6738",\N,\N,\N,\N,"2.5581",\N,\N,"1.4320","31.6229","0.1193","2.6253","1.4320","1.1933","61.3365"
"Precinct","65","79-65","896","60.1746",\N,\N,\N,\N,"2.2901",\N,\N,"1.0045","32.5893","0.5580","3.3482","0.4464","1.2277","60.8259"
"Precinct","66","79-66","619","53.7326",\N,\N,\N,\N,"3.8820",\N,\N,"0.6462","27.4637","0.4847","2.4233","1.2924","2.1002","65.2666"
"Precinct","67","79-67","726","51.1989",\N,\N,\N,\N,"4.0951",\N,\N,"0.8264","32.9201","0.9642","5.6474","1.9284","1.1019","56.4738"
"Precinct","68","79-68","868","60.6145",\N,\N,\N,\N,"3.4483",\N,\N,"0.8065","29.2627","0.3456","2.7650","1.4977","1.0369","63.9401"
"Precinct","69","79-69","574","61.4561",\N,\N,\N,\N,"2.7119",\N,\N,"1.2195","26.8293","0.0000","4.1812","0.0000","1.7422","65.3310"
"Precinct","70","79-70","446","56.1006",\N,\N,\N,\N,"3.6717",\N,\N,"2.2422","30.4933","0.8969","3.8117","0.8969","1.3453","59.8655"
"Precinct","71","79-71","793","53.6899",\N,\N,\N,\N,"3.6452",\N,\N,"1.2610","25.8512","0.2522","1.3871","1.2610","1.2610","68.6003"
"Precinct","72","79-72","783","52.9770",\N,\N,\N,\N,"3.4525",\N,\N,"1.5326","21.2005","0.7663","2.0434","2.6820","1.5326","69.8595"
"Precinct","73","79-73","791","54.8544",\N,\N,\N,\N,"4.4686",\N,\N,"1.1378","22.7560","0.0000","1.8963","0.1264","1.3906","72.6928"
"Precinct","74","79-74","55","7.0694",\N,\N,\N,\N,"3.5088",\N,\N,"1.8182","30.9091","0.0000","7.2727","0.0000","3.6364","52.7273"
"Precinct","75","79-75","532","62.1495",\N,\N,\N,\N,"4.4883",\N,\N,"0.1880","27.4436","0.1880","1.3158","0.1880","0.9398","69.5489"
"Precinct","76","79-76","838","56.8136",\N,\N,\N,\N,"3.4562",\N,\N,"0.9547","24.7017","0.0000","1.3126","0.3580","0.9547","71.5990"
"Precinct","77","79-77","1155","118.8272",\N,\N,\N,\N,"2.5316",\N,\N,"0.5195","63.2900","0.1732","0.9524","0.0000","0.9524","33.5065"
"Precinct","78","79-78","601","58.0116",\N,\N,\N,\N,"1.7974",\N,\N,"0.4992","28.9517","0.4992","3.9933","0.3328","1.6639","64.0599"
"Precinct","79","79-79","742","59.8387",\N,\N,\N,\N,"3.6364",\N,\N,"0.6739","32.8841","0.6739","2.8302","0.4043","1.3477","61.0512"
"Precinct","80","79-80","72","8.6957",\N,\N,\N,\N,"1.3699",\N,\N,"4.1667","27.7778","0.0000","4.1667","1.3889","4.1667","58.3333"
"Precinct","81","79-81","665","55.6485",\N,\N,\N,\N,"4.1787",\N,\N,"1.8045","31.1278","0.3008","1.8045","0.0000","1.0526","63.1579"
"Precinct","82","79-82","373","57.5617",\N,\N,\N,\N,"1.8421",\N,\N,"1.3405","23.8606","0.5362","2.4129","0.0000","2.1448","69.7051"
"Precinct","83","79-83","622","49.9197",\N,\N,\N,\N,"2.9641",\N,\N,"1.1254","24.7588","0.0000","2.0900","0.6431","0.6431","69.6141"
"Precinct","84","79-84","497","55.8427",\N,\N,\N,\N,"3.1189",\N,\N,"0.6036","30.3823","0.4024","2.4145","0.0000","1.6097","64.3863"
"Precinct","85","79-85","763","59.8901",\N,\N,\N,\N,"4.0252",\N,\N,"0.3932","39.4495","0.1311","3.2765","0.6553","1.1796","53.3421"
"Precinct","86","79-86","484","64.7059",\N,\N,\N,\N,"2.4194",\N,\N,"0.6198","30.5785","0.0000","2.6860","1.0331","0.4132","63.6364"
"Precinct","87","79-87","884","63.6888",\N,\N,\N,\N,"2.1041",\N,\N,"0.5656","38.3484","0.5656","1.1312","0.4525","0.7919","55.8824"
"Precinct","88","79-88","655","54.7659",\N,\N,\N,\N,"4.0996",\N,\N,"0.3053","31.1450","0.3053","1.9847","0.1527","0.9160","64.4275"
"Precinct","89","79-89","781","63.4959",\N,\N,\N,\N,"3.2218",\N,\N,"0.6402","29.1933","0.6402","1.6645","0.2561","1.1524","66.1972"
"Precinct","90","79-90","641","49.9610",\N,\N,\N,\N,"3.0257",\N,\N,"0.3120","26.0530","0.3120","1.8721","0.0000","1.0920","70.0468"
"Precinct","91","79-91","982","64.1830",\N,\N,\N,\N,"6.5652",\N,\N,"0.6110","27.9022","0.3055","1.5275","0.9165","0.6110","68.1263"
"Precinct","92","79-92","920","69.2250",\N,\N,\N,\N,"2.8511",\N,\N,"0.7609","31.9565","0.3261","3.2609","1.9565","1.0870","60.6522"
"Precinct","93","79-93","528","61.8267",\N,\N,\N,\N,"2.7624",\N,\N,"0.9470","27.4621","0.0000","2.6515","0.3788","1.3258","66.8561"
"Precinct","94","79-94","752","64.4940",\N,\N,\N,\N,"3.7132",\N,\N,"0.7979","32.7128","3.4574","3.0585","0.0000","2.2606","57.1809"
"Precinct","95","79-95","730","64.7163",\N,\N,\N,\N,"3.1830",\N,\N,"1.7808","27.9452","0.2740","1.9178","0.1370","1.2329","66.5753"
"Precinct","96","79-96","811","55.0204",\N,\N,\N,\N,"3.1063",\N,\N,"0.0000","43.5265","0.4932","4.1924","0.4932","1.8496","48.7053"
"Precinct","97","79-97","807","55.1606",\N,\N,\N,\N,"4.2705",\N,\N,"0.4957","24.9071","0.2478","1.8587","0.9913","1.6109","69.7646"
"Precinct","98","79-98","706","59.0301",\N,\N,\N,\N,"5.7410",\N,\N,"0.5666","25.7790","0.1416","2.2663","0.8499","1.8414","68.1303"
"Precinct","99","79-99","740","60.1137",\N,\N,\N,\N,"3.2680",\N,\N,"0.4054","31.7568","0.1351","3.7838","0.5405","0.0000","63.1081"
"Precinct","100","79-100","514","62.0024",\N,\N,\N,\N,"3.0189",\N,\N,"0.3891","22.5681","0.3891","2.1401","1.5564","0.3891","71.4008"
"Precinct","101","79-101","355","82.7506",\N,\N,\N,\N,"2.2039",\N,\N,"1.1268","53.2394","0.0000","1.1268","0.0000","1.4085","43.0986"
"Precinct","102","79-102","668","43.4048",\N,\N,\N,\N,"4.8433",\N,\N,"0.4491","73.2036","0.0000","2.5449","0.4491","2.0958","20.2096"
"Precinct","103","79-103","780","51.5192",\N,\N,\N,\N,"3.9409",\N,\N,"0.7692","36.1538","0.2564","3.7179","1.6667","1.4103","56.0256"
"Precinct","104","79-104","755","54.0831",\N,\N,\N,\N,"5.2698",\N,\N,"0.9272","23.3113","0.1325","3.4437","0.3974","0.6623","70.7285"
"Precinct","1","80-1","886","67.5820",\N,\N,\N,\N,"4.6286",\N,\N,"0.2257","44.9210","0.7901","5.8691","3.2731","0.4515","44.2438"
"Precinct","2","80-2","576","69.4813",\N,\N,\N,\N,"1.8739",\N,\N,"0.1736","57.6389","1.3889","5.3819","2.4306","0.5208","31.7708"
"Precinct","3","80-3","238","79.0698",\N,\N,\N,\N,"4.0323",\N,\N,"0.0000","46.6387","0.0000","5.0420","0.4202","0.8403","47.0588"
"Precinct","4","80-4","338","70.7113",\N,\N,\N,\N,"2.5937",\N,\N,"0.5917","46.4497","0.2959","10.9467","1.1834","1.7751","38.7574"
"Precinct","5","80-5","215","75.7042",\N,\N,\N,\N,"4.4444",\N,\N,"0.4651","45.1163","2.3256","3.7209","2.3256","0.9302","45.1163"
"Precinct","6","80-6","253","59.3897",\N,\N,\N,\N,"2.6923",\N,\N,"0.0000","44.6640","0.7905","5.5336","1.5810","1.1858","46.2451"
"Precinct","7","80-7","234","70.4819",\N,\N,\N,\N,"2.5000",\N,\N,"0.0000","44.8718","0.0000","9.4017","0.0000","0.8547","44.8718"
"Precinct","8","80-8","202","70.3833",\N,\N,\N,\N,"4.7170",\N,\N,"0.0000","48.0198","2.4752","3.4653","2.4752","0.0000","42.5743"
"Precinct","9","80-9","198","64.4951",\N,\N,\N,\N,"3.8835",\N,\N,"0.0000","58.5859","0.0000","4.0404","0.0000","1.5152","35.8586"
"Precinct","10","80-10","407","65.5395",\N,\N,\N,\N,"2.8640",\N,\N,"0.0000","48.6486","1.7199","3.9312","1.7199","0.4914","43.2432"
"Precinct","11","80-11","283","79.7183",\N,\N,\N,\N,"4.3919",\N,\N,"0.0000","33.2155","0.7067","2.8269","12.3675","1.7668","49.1166"
"Precinct","12","80-12","293","71.2895",\N,\N,\N,\N,"7.5710",\N,\N,"0.0000","45.0512","1.7065","6.1433","2.0478","1.0239","44.0273"
"Precinct","13","80-13","315","67.1642",\N,\N,\N,\N,"5.1205",\N,\N,"0.0000","33.3333","5.7143","7.9365","0.9524","0.6349","51.4286"
"Precinct","14","80-14","468","69.3333",\N,\N,\N,\N,"4.6843",\N,\N,"0.6410","42.9487","0.2137","4.0598","1.4957","1.7094","48.9316"
"Precinct","15","80-15","360","63.6042",\N,\N,\N,\N,"4.0000",\N,\N,"11.6667","39.7222","0.0000","5.2778","1.6667","0.5556","40.8333"
"Precinct","16","80-16","506","66.9312",\N,\N,\N,\N,"4.7081",\N,\N,"0.0000","26.8775","0.3953","14.4269","1.1858","0.5929","56.3241"
"Precinct","17","80-17","384","71.1111",\N,\N,\N,\N,"3.5176",\N,\N,"0.7813","34.8958","0.0000","7.8125","7.5521","0.5208","47.6563"
"Precinct","18","80-18","637","70.7778",\N,\N,\N,\N,"3.1915",\N,\N,"0.6279","60.4396","0.4710","4.0816","0.6279","0.4710","33.2810"
"Precinct","19","80-19","139","78.0899",\N,\N,\N,\N,"0.7143",\N,\N,"0.0000","67.6259","1.4388","2.1583","0.7194","0.7194","26.6187"
"Precinct","20","80-20","364","73.0924",\N,\N,\N,\N,"3.4483",\N,\N,"0.5495","64.5604","1.0989","3.2967","0.0000","1.0989","29.3956"
"Precinct","21","80-21","219","79.6364",\N,\N,\N,\N,"1.7937",\N,\N,"0.0000","61.1872","0.4566","2.7397","0.0000","1.8265","33.7900"
"Precinct","22","80-22","364","70.4062",\N,\N,\N,\N,"5.9432",\N,\N,"0.0000","50.5495","0.0000","4.3956","1.0989","0.5495","43.4066"
"Precinct","23","80-23","305","71.2617",\N,\N,\N,\N,"4.3887",\N,\N,"0.9836","43.9344","0.6557","8.5246","0.9836","1.3115","42.6230"
"Precinct","24","80-24","175","72.3140",\N,\N,\N,\N,"0.0000",\N,\N,"0.5714","58.2857","0.0000","2.2857","2.2857","1.1429","35.4286"
"Precinct","25","80-25","373","71.4559",\N,\N,\N,\N,"2.3560",\N,\N,"0.2681","50.4021","1.0724","3.4853","0.0000","0.8043","43.9678"
"Precinct","26","80-26","373","68.1901",\N,\N,\N,\N,"3.6176",\N,\N,"0.2681","31.0992","0.2681","3.2172","5.6300","0.5362","58.7131"
"Precinct","27","80-27","351","62.7907",\N,\N,\N,\N,"3.0387",\N,\N,"0.0000","51.2821","1.1396","2.2792","0.8547","0.8547","43.5897"
"Precinct","28","80-28","297","76.5464",\N,\N,\N,\N,"2.6230",\N,\N,"0.0000","54.8822","2.0202","5.0505","1.6835","1.0101","34.6801"
"Precinct","29","80-29","553","60.7692",\N,\N,\N,\N,"3.8261",\N,\N,"0.0000","50.6329","0.3617","2.7125","2.1700","0.9042","42.8571"
"Precinct","30","80-30","213","66.3551",\N,\N,\N,\N,"3.6199",\N,\N,"0.0000","61.9718","0.4695","1.4085","0.9390","1.8779","33.3333"
"Precinct","31","80-31","343","66.2162",\N,\N,\N,\N,"1.7192",\N,\N,"0.0000","48.1050","1.4577","6.4140","2.6239","1.4577","39.9417"
"Precinct","1","81-1","443","58.1365",\N,\N,\N,\N,"3.9046",\N,\N,"0.4515","40.8578","0.2257","2.2573","0.0000","0.9029","55.3047"
"Precinct","2","81-2","580","52.7273",\N,\N,\N,\N,"2.0270",\N,\N,"0.8621","30.8621","0.3448","2.2414","1.0345","0.8621","63.6207"
"Precinct","3","81-3","535","51.3929",\N,\N,\N,\N,"6.1404",\N,\N,"0.5607","31.0280","0.1869","1.6822","0.1869","1.3084","65.0467"
"Precinct","4","81-4","666","63.8543",\N,\N,\N,\N,"3.1977",\N,\N,"0.9009","21.3213","0.9009","0.9009","0.7508","1.0511","72.2222"
"Precinct","5","81-5","679","59.1463",\N,\N,\N,\N,"2.3022",\N,\N,"1.1782","32.1060","1.9146","1.9146","0.2946","1.0309","61.5611"
"Precinct","6","81-6","474","67.2340",\N,\N,\N,\N,"2.0661",\N,\N,"1.8987","31.2236","0.0000","2.3207","0.4219","0.4219","63.5021"
"Precinct","7","81-7","699","57.2951",\N,\N,\N,\N,"3.8514",\N,\N,"2.1459","26.4664","0.0000","1.7167","0.2861","1.2876","68.0973"
"Precinct","8","81-8","458","56.5432",\N,\N,\N,\N,"3.9832",\N,\N,"1.0917","26.2009","0.4367","1.0917","0.0000","0.6550","70.5240"
"Precinct","9","81-9","855","65.7692",\N,\N,\N,\N,"2.5086",\N,\N,"0.5848","30.6433","0.2339","1.4035","0.0000","0.4678","65.4971"
"Precinct","10","81-10","902","65.0794",\N,\N,\N,\N,"3.2189",\N,\N,"0.5543","35.0333","0.5543","2.7716","0.2217","0.4435","60.1996"
"Precinct","11","81-11","617","52.1555",\N,\N,\N,\N,"3.2915",\N,\N,"0.1621","62.8849","0.3241","4.0519","0.1621","1.4587","30.6321"
"Precinct","12","81-12","889","59.3854",\N,\N,\N,\N,"2.7352",\N,\N,"0.5624","60.7424","0.3375","2.9246","1.7998","1.3498","32.2835"
"Precinct","13","81-13","552","56.9072",\N,\N,\N,\N,"4.0000",\N,\N,"0.7246","31.3406","0.3623","5.4348","0.3623","1.6304","60.1449"
"Precinct","14","81-14","670","52.7144",\N,\N,\N,\N,"2.7576",\N,\N,"0.5970","40.4478","0.0000","4.0299","0.4478","2.2388","52.0896"
"Precinct","15","81-15","761","49.6089",\N,\N,\N,\N,"2.3107",\N,\N,"0.0000","36.7937","0.5256","2.8909","0.0000","1.1827","58.2129"
"Precinct","16","81-16","159","50.9615",\N,\N,\N,\N,"4.2169",\N,\N,"0.0000","38.9937","0.0000","1.8868","1.2579","0.0000","52.2013"
"Precinct","17","81-17","727","54.9509",\N,\N,\N,\N,"2.2849",\N,\N,"0.0000","45.6671","0.0000","3.9890","0.5502","1.3755","48.4182"
"Precinct","18","81-18","471","68.1621",\N,\N,\N,\N,"3.6810",\N,\N,"0.4246","46.9214","0.2123","3.3970","0.2123","1.4862","47.3461"
"Precinct","19","81-19","852","64.4966",\N,\N,\N,\N,"2.8506",\N,\N,"1.0563","29.8122","0.2347","2.1127","0.1174","0.3521","66.1972"
"Precinct","20","81-20","736","65.6557",\N,\N,\N,\N,"4.4156",\N,\N,"0.2717","49.1848","0.1359","2.9891","0.0000","1.0870","46.3315"
"Precinct","21","81-21","788","51.2354",\N,\N,\N,\N,"1.7456",\N,\N,"0.5076","33.1218","1.1421","3.5533","0.8883","2.2843","58.3756"
"Precinct","22","81-22","647","53.5596",\N,\N,\N,\N,"3.7202",\N,\N,"0.0000","39.1036","0.1546","2.3184","0.0000","0.9274","57.4961"
"Precinct","23","81-23","900","66.8151",\N,\N,\N,\N,"2.2801",\N,\N,"1.1111","50.1111","0.1111","1.6667","0.3333","1.2222","45.3333"
"Precinct","24","81-24","562","41.2326",\N,\N,\N,\N,"3.6021",\N,\N,"0.1779","52.6690","0.3559","2.8470","0.5338","1.4235","41.8149"
"Precinct","25","81-25","493","68.1881",\N,\N,\N,\N,"2.5692",\N,\N,"0.8114","47.2617","0.4057","3.6511","0.2028","0.6085","47.0588"
"Precinct","26","81-26","655","51.4533",\N,\N,\N,\N,"3.6765",\N,\N,"2.5954","38.0153","0.1527","1.0687","0.4580","1.8321","55.4198"
"Precinct","27","81-27","685","45.5452",\N,\N,\N,\N,"7.1816",\N,\N,"0.5839","43.7956","0.7299","1.4599","0.2920","1.8978","50.9489"
"Precinct","28","81-28","278","48.0969",\N,\N,\N,\N,"1.0676",\N,\N,"0.7194","53.2374","0.3597","4.6763","0.0000","0.7194","40.2878"
"Precinct","29","81-29","877","55.2963",\N,\N,\N,\N,"3.0939",\N,\N,"0.3421","47.2064","0.4561","2.0525","0.6842","1.8244","47.4344"
"Precinct","30","81-30","664","45.0475",\N,\N,\N,\N,"4.0462",\N,\N,"0.9036","40.3614","0.4518","1.9578","0.1506","1.0542","55.1205"
"Precinct","31","81-31","658","62.0170",\N,\N,\N,\N,"2.6627",\N,\N,"0.7599","45.4407","0.3040","0.6079","0.0000","1.5198","51.3678"
"Precinct","32","81-32","793","68.0103",\N,\N,\N,\N,"2.4600",\N,\N,"0.3783","43.3796","0.1261","2.6482","0.3783","1.1349","51.7024"
"Precinct","33","81-33","370","55.1416",\N,\N,\N,\N,"17.5947",\N,\N,"0.2703","56.7568","0.0000","3.7838","0.0000","1.3514","37.2973"
"Precinct","34","81-34","495","42.3801",\N,\N,\N,\N,"2.1739",\N,\N,"0.0000","51.5152","0.2020","1.8182","0.2020","2.2222","43.8384"
"Precinct","35","81-35","522","55.8887",\N,\N,\N,\N,"4.7445",\N,\N,"0.0000","36.9732","0.0000","1.7241","0.0000","1.5326","59.7701"
"Precinct","36","81-36","751","60.3698",\N,\N,\N,\N,"0.3979",\N,\N,"0.1332","43.4088","0.1332","2.7963","0.1332","13.8482","39.2810"
"Precinct","37","81-37","153","72.1698",\N,\N,\N,\N,"0.6494",\N,\N,"0.0000","52.9412","0.0000","1.3072","0.0000","1.9608","43.7908"
"Precinct","38","81-38","753","61.8735",\N,\N,\N,\N,"2.7132",\N,\N,"0.2656","26.9588","0.0000","1.5936","0.3984","0.9296","69.8539"
"Precinct","39","81-39","347","66.6027",\N,\N,\N,\N,"2.2535",\N,\N,"0.0000","35.1585","0.2882","3.1700","0.8646","1.4409","58.7896"
"Precinct","40","81-40","379","67.0796",\N,\N,\N,\N,"2.5707",\N,\N,"0.7916","27.1768","0.0000","5.2770","0.0000","1.5831","65.1715"
"Precinct","41","81-41","731","54.7566",\N,\N,\N,\N,"4.3194",\N,\N,"0.5472","46.5116","0.0000","3.0096","0.5472","1.2312","48.0164"
"Precinct","42","81-42","652","51.3386",\N,\N,\N,\N,"3.5503",\N,\N,"0.0000","30.5215","0.0000","5.9816","0.0000","1.6871","61.8098"
"Precinct","43","81-43","833","55.6446",\N,\N,\N,\N,"3.4762",\N,\N,"0.7203","37.9352","0.4802","1.3205","0.2401","1.9208","56.9028"
