shape,common_id,common_name,Total Turnout (#),Total Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Free Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,New Rights,Labour,Georgian Dream
Precinct,41,84-41,290,51.5098,\N,\N,\N,\N,4.918,0.6897,61.3793,0.3448,3.1034,0.3448,0.3448,33.7931
Precinct,42,84-42,353,55.8544,\N,\N,\N,\N,1.3966,0.5666,55.8074,0,3.6827,3.6827,1.983,34.2776
Precinct,43,84-43,104,58.7571,\N,\N,\N,\N,6.3063,1.9231,56.7308,0,5.7692,5.7692,0,29.8077
Precinct,44,84-44,107,51.6908,\N,\N,\N,\N,6.9565,1.8692,57.0093,0,8.4112,3.7383,0.9346,28.0374
Precinct,45,84-45,186,69.145,\N,\N,\N,\N,3.6269,0.5376,74.7312,0,2.6882,0.5376,2.6882,18.8172
Precinct,46,84-46,179,60.473,\N,\N,\N,\N,3.7634,1.676,75.9777,0.5587,3.352,0,1.1173,17.3184
Precinct,47,84-47,102,76.6917,\N,\N,\N,\N,1.9231,0,75.4902,0,8.8235,0,1.9608,13.7255
Precinct,48,84-48,95,60.5096,\N,\N,\N,\N,2.0619,0,61.0526,0,6.3158,0,2.1053,30.5263
Precinct,49,84-49,269,68.9744,\N,\N,\N,\N,1.8248,0,62.0818,0,6.3197,1.8587,0.7435,28.9963
Precinct,50,84-50,246,72.7811,\N,\N,\N,\N,2.381,0.4065,61.7886,0,3.6585,0,0,33.7398
Precinct,51,84-51,180,67.1642,\N,\N,\N,\N,2.7027,1.6667,43.3333,1.1111,2.7778,0.5556,1.1111,49.4444
Precinct,52,84-52,130,64.0394,\N,\N,\N,\N,1.5152,0,73.8462,0.7692,2.3077,0,0,23.0769
Precinct,53,84-53,177,69.685,\N,\N,\N,\N,2.7473,0,49.1525,0,2.2599,0.565,0,48.0226
Precinct,54,84-54,231,69.1617,\N,\N,\N,\N,2.5316,0.4329,41.5584,0,3.8961,1.2987,0,52.8139
