shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Tbilisi Precinct,22,6-22,818,54.3883,\N,\N,\N,\N,3.7647,\N,\N,\N,3,\N,\N,\N,0,1.6792,1.07,0.7,\N,\N,\N,\N,\N,\N,0.2445,0,25.9169,0,3.3007,0,0,0,0,0,0,0,0,1.1002,0,69.0709
Tbilisi Precinct,23,6-23,724,56.1676,\N,\N,\N,\N,2.2942,\N,\N,\N,0,\N,\N,\N,0,1.4958,1.06,0.3556,\N,\N,\N,\N,\N,\N,0.5525,0,32.1823,0,2.7624,0,0,0,0,0,0,0,0,1.3812,0,63.1215
Tbilisi Precinct,24,6-24,711,52.784,\N,\N,\N,\N,3.7889,\N,\N,\N,6,\N,\N,\N,0,0,0,4.1056,\N,\N,\N,\N,\N,\N,0.2813,0,24.0506,0,3.6568,0,0,0,0,0,0,0,0,0.9845,0,70.1828
Tbilisi Precinct,25,6-25,672,56.0935,\N,\N,\N,\N,2.6087,\N,\N,\N,0,\N,\N,\N,0,1.2167,1.1233,0.3389,\N,\N,\N,\N,\N,\N,0.744,0,25.4464,0,3.2738,0,0,0,0,0,0,0,0,1.6369,0,68.8988
Tbilisi Precinct,26,6-26,799,53.4448,\N,\N,\N,\N,2.442,\N,\N,\N,3,\N,\N,\N,0,1.4958,1.1667,0.6111,\N,\N,\N,\N,\N,\N,0.5006,0,25.9074,0,2.7534,0,0,0,0,0,0,0,0,1.5019,0,68.9612
Tbilisi Precinct,27,6-27,853,56.0815,\N,\N,\N,\N,2.4027,\N,\N,\N,0,\N,\N,\N,0,1.825,1.1567,0.4944,\N,\N,\N,\N,\N,\N,0.3517,0,30.4807,0,2.8136,0,0,0,0,0,0,0,0,0.9379,0,65.4162
Tbilisi Precinct,28,6-28,792,53.8409,\N,\N,\N,\N,3.6496,\N,\N,\N,4,\N,\N,\N,0,1.4708,1.1567,0.6778,\N,\N,\N,\N,\N,\N,0.3788,0,30.4293,0,3.2828,0,0,0,0,0,0,0,0,1.2626,0,64.1414
Tbilisi Precinct,29,6-29,673,54.8046,\N,\N,\N,\N,2.886,\N,\N,\N,4,\N,\N,\N,0,1.3375,0.99,0.4167,\N,\N,\N,\N,\N,\N,0.2972,0,26.5973,0,6.0921,0,0,0,0,0,0,0,0,1.4859,0,64.9331
Tbilisi Precinct,30,6-30,835,57.3883,\N,\N,\N,\N,2.907,\N,\N,\N,1,\N,\N,\N,0,1.6292,1.1867,0.6278,\N,\N,\N,\N,\N,\N,0.2395,0,25.3892,0,4.1916,0,0,0,0,0,0,0,0,1.5569,0,68.503
Tbilisi Precinct,31,6-31,825,55.7056,\N,\N,\N,\N,2.019,\N,\N,\N,3,\N,\N,\N,0,1.5792,1.2633,0.4667,\N,\N,\N,\N,\N,\N,0.4848,0,20.3636,0,4.6061,0,0,0,0,0,0,0,0,1.4545,0,72.7273
Tbilisi Precinct,32,6-32,687,51.1161,\N,\N,\N,\N,2.1368,\N,\N,\N,2,\N,\N,\N,0,1.3333,1.2133,0.1,\N,\N,\N,\N,\N,\N,0.5822,0,29.9854,0,2.6201,0,0,0,0,0,0,0,0,1.1645,0,65.3566
Tbilisi Precinct,33,6-33,634,54.8443,\N,\N,\N,\N,2.0093,\N,\N,\N,1,\N,\N,\N,0,1.1667,1.01,0.3556,\N,\N,\N,\N,\N,\N,1.1041,0,26.3407,0,4.8896,0,0,0,0,0,0,0,0,0.1577,0,67.3502
Tbilisi Precinct,34,6-34,571,50.1317,\N,\N,\N,\N,2.8912,\N,\N,\N,7,\N,\N,\N,0,1.2583,0.8067,0.2444,\N,\N,\N,\N,\N,\N,0.5254,0,24.3433,0,2.627,0,0,0,0,0,0,0,0,1.7513,0,69.5271
Tbilisi Precinct,35,6-35,640,50.9149,\N,\N,\N,\N,3.0303,\N,\N,\N,3,\N,\N,\N,0,1.3,0.96,0.3333,\N,\N,\N,\N,\N,\N,0.1563,0,27.8125,0,2.5,0,0,0,0,0,0,0,0,1.25,0,67.8125
