region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,2 - European Georgia,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,10 - Labour,11 - National Democratic Party of Georgia,14 - Georgian Unity and Development Party,17 - Georgia,18 - Union of Georgian Traditionalists,20 - National Forum,23 - New Christian Democrats,27 - Unity - New Georgia,28 - Lord Our Righteousness,38 - Party of People,39 - Progressive Democratic Movement,41 - Georgian Dream,42 - Initiative Group
,2,,10,,1312,6,155,541,664,1200,12,651,,,,,,,34,11,80,14,3,0,,1,1,2,,14,,,1,362,128
,2,,11,,1296,10,183,515,656,1200,25,630,,,,,,,46,4,87,10,3,2,,1,0,3,,17,,,1,319,137
,2,,12,,1397,8,198,583,773,1300,23,749,,,,,,,59,10,66,10,6,0,,0,1,1,,24,,,1,397,174
,2,,13,,1473,7,252,614,775,1400,22,743,,,,,,,36,9,98,19,3,0,,1,0,0,,20,,,0,407,150
,2,,14,,1488,12,215,643,782,1400,19,762,,,,,,,34,6,112,17,4,0,,1,0,4,,27,,,1,397,159
,2,,15,,1424,8,0,0,727,1350,21,705,,,,,,,49,9,66,27,2,0,,0,0,2,,20,,,1,370,159
,2,,16,,1215,10,126,379,509,1150,9,498,,,,,,,30,3,70,16,2,0,,3,12,1,,14,,,0,224,123
,2,,17,,1149,6,163,430,530,1050,24,506,,,,,,,61,5,84,6,3,0,,0,0,3,,22,,,1,217,104
,2,,18,,1421,9,231,574,698,1350,23,674,,,,,,,42,13,100,16,9,0,,0,0,7,,17,,,1,329,140
,2,,19,,758,8,127,301,328,700,6,322,,,,,,,12,2,87,9,2,0,,1,2,0,,4,,,1,165,37
,2,,20,,380,3,73,168,208,400,7,201,,,,,,,25,3,37,8,1,1,,1,0,0,,8,,,0,94,23
,2,,22,,1103,9,141,351,471,1000,8,463,,,,,,,17,9,64,12,1,1,,1,0,3,,11,,,2,255,87
,2,,23,,1463,7,225,571,725,1400,16,707,,,,,,,28,5,96,19,2,0,,0,0,2,,12,,,0,359,184
,2,,24,,1610,9,281,627,776,1500,13,757,,,,,,,35,3,118,14,10,0,,2,1,2,,30,,,0,397,145
,2,,25,,1428,11,230,572,738,1350,15,723,,,,,,,39,11,92,17,6,0,,0,1,5,,21,,,0,375,156
,2,,26,,847,7,131,335,437,750,20,411,,,,,,,27,4,65,16,3,0,,0,0,0,,16,,,0,191,89
,2,,27,,1342,12,203,543,666,1250,20,645,,,,,,,38,11,97,23,8,0,,1,0,2,,19,,,1,291,154
,2,,28,,1351,7,203,525,700,1300,20,680,,,,,,,38,7,100,12,8,0,,1,0,1,,19,,,0,359,135
,2,,29,,1309,8,204,525,671,1250,17,654,,,,,,,41,14,100,14,5,0,,0,0,2,,16,,,1,321,140
,2,,30,,1297,6,185,487,617,1200,19,598,,,,,,,38,8,97,10,4,0,,0,0,2,,23,,,0,295,121
,2,,31,,1168,8,211,497,603,1100,16,588,,,,,,,35,6,76,11,8,1,,3,0,2,,20,,,0,319,107
,2,,32,,1203,8,168,466,587,1100,12,575,,,,,,,42,5,99,12,3,0,,0,0,4,,16,,,0,242,152
