shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Democratic Movement - Free Georgia,United National Movement,Alliance of Patriots,Georgian Dream,Initiative Group
Precinct,23,60-23,870,57.43,,,,,2.03,,,,0,,,,0,1.46,1.34,0.76,,,,,,,,,,49.54,50.46
Precinct,24,60-24,696,58.29,,,,,1.69,,,,0,,,,0,0.98,1.14,0.73,,,,,,,,,,52.87,46.98
Precinct,25,60-25,673,60.3,,,,,2.32,,,,0,,,,0,1.02,1.12,0.61,,,,,,,,,,33.14,66.86
Precinct,26,60-26,474,54.67,,,,,2.67,,,,0,,,,0,0.69,0.82,0.43,,,,,,,,,,39.03,60.97
Precinct,27,60-27,446,57.33,,,,,1.76,,,,0,,,,0,0.7,0.79,0.28,,,,,,,,,,46.64,53.36
Precinct,28,60-28,228,70.81,,,,,0.44,,,,0,,,,0,0.51,0.29,0.11,,,,,,,,,,58.33,41.67
Precinct,29,60-29,438,58.87,,,,,1.35,,,,0,,,,0,0.73,0.61,0.47,,,,,,,,,,50.23,49.77
Precinct,30,60-30,737,59.87,,,,,1.73,,,,0,,,,0,1.15,1.18,0.66,,,,,,,,,,78.29,21.71
Precinct,31,60-31,664,58.5,,,,,2.21,,,,0,,,,0,0.9,1.07,0.79,,,,,,,,,,51.81,48.19
Precinct,32,60-32,588,59.39,,,,,2.33,,,,0,,,,0,0.86,0.97,0.58,,,,,,,,,,53.91,46.09
Precinct,33,60-33,870,57.09,,,,,1.14,,,,0,,,,0,1.53,1.26,0.75,,,,,,,,,,34.94,64.83
Precinct,34,60-34,746,61.35,,,,,2.36,,,,0,,,,0,1.14,1.12,0.85,,,,,,,,,,48.66,51.34
Precinct,35,60-35,693,50.62,,,,,3.08,,,,0,,,,0,1.05,1.06,0.8,,,,,,,,,,45.31,54.69
Precinct,36,60-36,380,49.87,,,,,1.81,,,,0,,,,0,0.59,0.57,0.41,,,,,,,,,,49.47,50.53
Precinct,37,60-37,411,56.22,,,,,0.72,,,,0,,,,0,0.85,0.46,0.4,,,,,,,,,,43.31,56.69
Precinct,38,60-38,452,66.96,,,,,1.31,,,,0,,,,0,0.58,0.83,0.38,,,,,,,,,,52.43,47.57
Precinct,39,60-39,508,57.01,,,,,0.97,,,,0,,,,0,0.75,0.79,0.53,,,,,,,,,,54.72,45.28
Precinct,40,60-40,595,48.37,,,,,2.14,,,,0,,,,0,0.96,0.94,0.54,,,,,,,,,,45.55,54.45
Precinct,41,60-41,553,56.43,,,,,2.47,,,,0,,,,0,0.86,0.85,0.59,,,,,,,,,,48.82,51.18
Precinct,42,60-42,639,53.21,,,,,1.99,,,,0,,,,0,1.0,1.0,0.62,,,,,,,,,,47.26,52.58
Precinct,43,60-43,729,50.94,,,,,2.8,,,,0,,,,0,0.95,1.26,0.81,,,,,,,,,,47.74,52.26
Precinct,44,60-44,486,58.77,,,,,2.21,,,,0,,,,0,0.87,0.63,0.56,,,,,,,,,,59.26,40.74
Precinct,45,60-45,825,55.04,,,,,2.94,,,,0,,,,0,1.4,1.25,0.77,,,,,,,,,,52.0,48.0
Precinct,46,60-46,282,66.51,,,,,2.76,,,,0,,,,0,0.51,0.39,0.28,,,,,,,,,,56.03,43.97
Precinct,47,60-47,374,59.74,,,,,2.09,,,,0,,,,0,0.61,0.61,0.29,,,,,,,,,,51.07,48.93
Precinct,48,60-48,524,37.19,,,,,1.5,,,,0,,,,0,0.86,0.68,0.68,,,,,,,,,,43.32,56.68
Precinct,49,60-49,709,46.55,,,,,0.7,,,,0,,,,0,1.27,0.92,0.73,,,,,,,,,,46.83,53.17
