shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
District,65,Martvili,21109,62.75,1,14,18,6,,0,0.0,,,0,0.0,,,,,,0,0,0,0,39,100.0,5.41,,23.28,,19.44,,,,,,,,,,,,,0.48,,,,,43.67
District,47,Mestia,4843,58.76,12,15,8,5,,0,0.0,,,0,0.0,,,,,,0,0,0,0,40,100.0,0.17,,9.5,,4.52,10.37,,4.21,,,,,,,0.72,,4.96,,,,,,59.26
District,70,Poti,16840,41.42,0,5,22,5,,0,0.0,,,0,0.0,,,,,,0,0,0,0,32,100.0,2.91,5.07,9.79,,15.35,,,14.47,,,,,,,,0.02,2.24,,,,,,26.6
District,64,Senaki,19101,46.67,1,7,14,21,,0,0.0,,,0,0.0,,,,,,1,1,0,2,44,100.0,,,11.18,,17.3,,,,,,,,,,,,1.86,,0.8,,,,39.51
District,68,Tsalenjikha,14220,46.8,1,11,14,2,,0,0.0,,,0,0.0,,,,,,0,0,1,1,28,100.0,0.27,,5.16,,28.66,,,,,,,,,,,,,,1.22,4.35,,,56.5
District,67,Zugdidi,46060,38.37,3,35,49,19,,0,0.0,,,0,0.0,,,,,,0,0,0,0,107,100.0,3.07,,1.79,,38.02,,,,,,,,,,1.04,,0.88,,0.2,,,,50.36
District,38,Adigeni,8434,54.67,0,7,9,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,18,100.0,1.27,2.64,11.1,,19.5,,,,,,,,,,,,,,,,,,56.36
District,40,Akhalkalaki,17783,46.78,8,17,16,29,,0,0.0,,,0,0.0,,,,,,0,0,0,0,70,100.0,32.15,1.0,2.21,,2.72,,,,,,,,,,,,,,,,,,55.13
District,37,Akhaltsikhe,16855,48.9,2,12,12,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,35,100.0,2.2,,3.59,,28.52,,,3.32,,,,,,,,,1.83,,,,,,55.86
District,39,Aspindza,6614,68.12,5,10,6,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,23,100.0,2.12,,8.81,,22.1,,,12.04,0.32,,,,,,,,,,,,,,42.41
District,36,Borjomi,11627,43.58,0,3,14,13,,0,0.0,,,0,0.0,,,,,,0,0,0,0,30,100.0,,2.76,13.83,,6.85,,,8.04,2.37,,1.26,,,,,,,,4.52,,,,38.32
District,41,Ninotsminda,10208,48.7,4,11,6,15,,0,0.0,,,0,0.0,,,,,,0,0,0,0,36,100.0,7.86,12.74,,,4.55,,,,2.86,,,,,,,,,,,,,,69.4
District,32,Gori,42924,39.19,1,33,49,21,,0,0.0,,,0,0.0,,,,,,0,0,1,1,107,100.0,1.47,,7.26,,13.45,,,0.59,0.29,,,,,21.98,,1.25,1.03,,1.84,,,,34.98
District,33,Kareli,17324,46.62,1,17,13,8,,0,0.0,,,0,0.0,,,,,,0,0,0,0,39,100.0,2.25,,8.51,,11.98,,,,,,,,,,,0.12,14.92,,0.64,,,,48.67
