shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Majoritarian Precinct,28,15-28,439,55.5,,,,,4.98,,,,0,,,,0,0.92,0.53,0.47,,,,,,,,,43.51,,12.3,,,,,,,,,,,,,,,,,,18.91
Majoritarian Precinct,25,15-25,721,45.72,,,,,3.99,,,,0,,,,0,1.08,1.03,1.03,,,,,,,,,24.69,,6.24,,,,,,,,,,,,,,,,,,41.47
Majoritarian Precinct,26,15-26,790,55.13,,,,,3.19,,,,0,,,,0,1.62,0.72,1.17,,,,,,,,,56.33,,3.8,,,,,,,,,,,,,,,,,,27.09
Majoritarian Precinct,27,15-27,362,44.31,,,,,2.69,,,,0,,,,0,0.48,0.46,0.66,,,,,,,,,40.61,,9.94,,,,,,,,,,,,,,,,,,20.99
Majoritarian Precinct,33,15-33,280,51.85,,,,,4.44,,,,0,,,,0,0.48,0.45,0.23,,,,,,,,,46.43,,7.14,,,,,,,,,,,,,,,,,,34.29
Majoritarian Precinct,16,15-16,778,51.9,,,,,4.07,,,,0,,,,0,1.21,1.13,1.01,,,,,,,,0.26,7.07,,18.77,,,,,,,,,,,,,,,,,,34.45
Majoritarian Precinct,17,15-17,409,52.3,,,,,2.85,,,,0,,,,0,0.27,0.94,0.42,,,,,,,,0.98,2.69,,28.85,,,,,,,,,,,,,,,,,,43.28
Majoritarian Precinct,24,15-24,523,58.57,,,,,3.33,,,,0,,,,0,0.85,0.89,0.39,,,,,,,,,15.68,,3.44,,,,,,,,,,,,,,,,,,45.51
Majoritarian Precinct,10,15-10,690,54.46,,,,,2.95,,,,0,,,,0,1.2,0.86,0.92,,,,,,,,,6.38,,18.99,,,,0.14,,,,,,,,,,,,,,51.88
Majoritarian Precinct,11,15-11,419,48.44,,,,,3.01,,,,0,,,,0,0.86,0.49,0.43,,,,,,,,,2.86,,7.16,,,,0.0,,,,,,,,,,,,,,31.98
Majoritarian Precinct,18,15-18,420,32.61,,,,,10.26,,,,0,,,,0,0.56,0.8,0.53,,,,,,,,,39.52,,,,,,1.9,,,,2.62,,,,,,0.24,,,,53.81
Majoritarian Precinct,19,15-19,449,36.68,,,,,5.47,,,,0,,,,0,0.76,0.65,0.54,,,,,,,,,28.29,,,,,,0.89,,,,2.9,,,,,,0.45,,,,66.37
Majoritarian Precinct,20,15-20,428,28.34,,,,,1.38,,,,0,,,,0,0.53,0.6,0.7,,,,,,,,,24.77,,,,,,1.64,,,,3.5,,,,,,0.23,,,,66.82
Majoritarian Precinct,21,15-21,385,27.21,,,,,9.2,,,,0,,,,0,0.51,0.74,0.44,,,,,,,,,29.35,,,,,,1.3,,,,4.16,,,,,,0.0,,,,63.12
Majoritarian Precinct,22,15-22,497,35.81,,,,,8.64,,,,0,,,,0,0.71,0.85,0.66,,,,,,,,,25.75,,,,,,1.21,,,,9.05,,,,,,0.2,,,,62.37
Majoritarian Precinct,35,15-35,283,31.1,,,,,9.0,,,,0,,,,0,0.38,0.37,0.62,,,,,,,,,53.36,,,,,,3.18,,,,4.24,,,,,,0.35,,,,38.87
Majoritarian Precinct,36,15-36,236,41.26,,,,,7.45,,,,0,,,,0,0.33,0.4,0.31,,,,,,,,,41.53,,,,,,1.69,,,,2.54,,,,,,0.0,,,,52.54
Majoritarian Precinct,14,15-14,815,51.48,,,,,2.63,,,,0,,,,0,1.13,1.16,1.21,,,,,,,,,15.34,,4.91,,,,,,,,,,,,,,,,,,45.03
Majoritarian Precinct,15,15-15,626,52.21,,,,,2.95,,,,0,,,,0,1.0,0.85,0.84,,,,,,,,,8.15,,25.4,,,,,,,,,,,,,,,,,,34.35
Majoritarian Precinct,29,15-29,680,51.24,,,,,2.58,,,,0,,,,0,0.86,1.07,0.96,,,,,,,,,23.09,,7.79,,,,,,,,,,,,,,,,,,60.29
Majoritarian Precinct,34,15-34,356,50.86,,,,,5.57,,,,0,,,,0,0.35,0.66,0.53,,,,,,,,,23.6,,8.71,,,,,,,,,,,,,,,,,,45.79
Majoritarian Precinct,4,15-4,463,65.03,,,,,1.28,,,,0,,,,0,0.84,0.59,0.51,,,,,,,0.65,,9.29,,41.68,,,,0.22,,,,,,,,,,,,,,44.06
Majoritarian Precinct,6,15-6,482,44.18,,,,,3.41,,,,0,,,,0,0.95,0.62,0.47,,,,,,,0.21,1.45,25.31,,3.32,,,,,,,,,,,,,,,,,,22.61
Majoritarian Precinct,7,15-7,390,41.89,,,,,2.99,,,,0,,,,0,0.68,0.58,0.37,,,,,,,0.77,2.31,15.9,,22.31,,,,,,,,,,,,,,,,,,16.41
Majoritarian Precinct,12,15-12,322,60.19,,,,,1.53,,,,0,,,,0,0.55,0.51,0.24,,,,,,,,,2.17,,10.56,,,,,,,,,,,,,,,,,,78.57
Majoritarian Precinct,13,15-13,478,49.28,,,,,2.65,,,,0,,,,0,0.58,0.77,0.67,,,,,,,,,13.18,,10.88,,,,,,,,,,,,,,,,,,9.21
Majoritarian Precinct,37,15-37,210,54.69,,,,,7.49,,,,0,,,,0,0.62,0.24,0.03,,,,,,,,,34.29,,11.43,,,,,,,,,,,,,,,,,,35.71
Majoritarian Precinct,23,15-23,177,38.48,,,,,2.21,,,,0,,,,0,0.35,0.28,0.08,,,,,,,0.56,3.95,30.51,,4.52,,,,,,,,,,,,,,,,,,57.06
Majoritarian Precinct,5,15-5,757,52.68,,,,,4.66,,,,0,,,,0,1.4,0.99,0.88,,,,,,,,,13.21,,10.17,,,,0.13,,,,,,,,,,,,,,24.7
Majoritarian Precinct,31,15-31,246,56.42,,,,,3.91,,,,0,,,,0,0.51,0.29,0.26,,,,,,,,,8.13,,6.91,,,,0.0,,,,,,,,,,,,,,28.46
Majoritarian Precinct,8,15-8,599,52.92,,,,,4.47,,,,0,,,,0,1.05,0.97,0.48,,,,,,,,,25.54,,29.22,,,,,,,,,,,,,,,,,,35.06
Majoritarian Precinct,9,15-9,582,73.67,,,,,2.68,,,,0,,,,0,1.11,0.78,0.54,,,,,,,,,4.12,,4.12,,,,,,,,,,,,,,,,,,7.56
Majoritarian Precinct,32,15-32,385,51.33,,,,,1.53,,,,0,,,,0,0.61,0.56,0.43,,,,,,,,,17.4,,24.16,,,,,,,,,,,,,,,,,,40.0
Majoritarian Precinct,1,16-1,672,50.6,,,,,3.03,,,,0,,,,0,0.93,0.92,1.08,,,,,,,3.87,0.45,3.42,,7.14,2.68,,5.21,0.15,,,,,,,,,,,0.0,,,40.03
Majoritarian Precinct,2,16-2,688,49.18,,,,,4.18,,,,0,,,,0,1.19,1.0,0.74,,,,,,,2.62,0.15,3.78,,7.41,2.62,,3.63,0.15,,,,,,,,,,,0.73,,,31.25
Majoritarian Precinct,3,16-3,635,49.96,,,,,3.05,,,,0,,,,0,1.3,0.54,1.01,,,,,,,2.36,0.0,4.41,,8.35,2.99,,5.98,1.26,,,,,,,,,,,1.73,,,33.07
Majoritarian Precinct,4,16-4,569,46.26,,,,,4.53,,,,0,,,,0,0.81,0.75,0.97,,,,,,,5.45,0.0,5.45,,11.07,4.75,,5.98,0.88,,,,,,,,,,,1.05,,,36.03
Majoritarian Precinct,5,16-5,614,44.43,,,,,4.66,,,,0,,,,0,1.05,0.84,0.79,,,,,,,4.4,0.49,10.26,,16.94,2.28,,7.98,1.14,,,,,,,,,,,0.65,,,26.71
Majoritarian Precinct,29,16-29,613,47.01,,,,,6.55,,,,0,,,,0,1.0,1.0,0.64,,,,,,,3.59,0.49,6.69,,7.18,3.43,,6.53,0.49,,,,,,,,,,,1.31,,,30.83
Majoritarian Precinct,6,16-6,507,69.93,,,,,1.93,,,,0,,,,0,0.89,0.72,0.48,,,,,,,4.14,,1.58,,32.74,,,,,,,,,,,,,,,,,,20.12
Majoritarian Precinct,7,16-7,419,63.68,,,,,3.01,,,,0,,,,0,0.65,0.7,0.37,,,,,,,2.86,,30.55,,17.9,,,,,,,,,,,,,,,,,,48.69
Majoritarian Precinct,8,16-8,742,49.53,,,,,4.01,,,,0,,,,0,1.14,0.84,1.37,,,,,,,7.82,0.13,4.58,,2.83,8.09,,7.41,,,,,,,,,,,,,,,19.0
Majoritarian Precinct,9,16-9,728,46.91,,,,,4.21,,,,0,,,,0,1.0,0.87,1.44,,,,,,,2.61,0.82,5.22,,3.57,9.62,,16.9,,,,,,,,,,,,,,,31.59
Majoritarian Precinct,10,16-10,552,43.74,,,,,5.48,,,,0,,,,0,1.06,0.58,0.87,,,,,,,2.9,0.36,11.23,,5.98,10.69,,9.42,,,,,,,,,,,,,,,28.8
Majoritarian Precinct,11,16-11,162,61.36,,,,,5.26,,,,0,,,,0,0.16,0.27,0.28,,,,,,,2.47,0.0,5.56,,3.09,4.32,,4.32,,,,,,,,,,,,,,,26.54
Majoritarian Precinct,12,16-12,126,32.98,,,,,11.27,,,,0,,,,0,0.28,0.17,0.13,,,,,,,4.76,0.79,14.29,,7.14,3.17,,2.38,,,,,,,,,,,,,,,34.13
Majoritarian Precinct,13,16-13,162,57.24,,,,,5.81,,,,0,,,,0,0.34,0.23,0.12,,,,,,,6.79,6.79,10.49,,20.37,1.85,,,,,,,,,,,,,,,,,51.85
Majoritarian Precinct,14,16-14,453,56.48,,,,,1.74,,,,0,,,,0,0.67,0.7,0.5,,,,,,,1.1,2.43,29.58,,15.89,0.88,,,,,,,,,,,,,,,,,50.11
Majoritarian Precinct,15,16-15,216,53.6,,,,,6.09,,,,0,,,,0,0.21,0.45,0.24,,,,,,,0.93,6.02,35.65,,12.5,0.46,,,,,,,,,,,,,,,,,44.44
Majoritarian Precinct,30,16-30,612,54.26,,,,,3.16,,,,0,,,,0,0.9,1.01,0.63,,,,,,,2.45,5.72,22.39,,19.12,0.49,,,,,,,,,,,,,,,,,49.84
Majoritarian Precinct,16,16-16,212,53.13,,,,,3.64,,,,0,,,,0,0.53,0.14,0.29,,,,,,,1.89,,3.77,,30.19,5.66,,26.42,,,,,,,,,,,1.89,,,,28.77
Majoritarian Precinct,17,16-17,321,67.72,,,,,4.46,,,,0,,,,0,0.43,0.55,0.38,,,,,,,1.87,,3.12,,34.27,7.48,,2.18,,,,,,,,,,,0.62,,,,50.47
Majoritarian Precinct,18,16-18,498,64.68,,,,,1.39,,,,0,,,,0,0.69,0.88,0.42,,,,,,,5.02,,7.63,,43.98,17.67,,1.2,,,,,,,,,,,5.22,,,,19.08
Majoritarian Precinct,19,16-19,864,59.88,,,,,3.57,,,,0,,,,0,1.13,1.24,1.41,,,,,,,0.69,0.81,1.39,,6.6,,,,0.46,,,,,,,,6.13,,2.66,,,,24.42
Majoritarian Precinct,20,16-20,764,63.93,,,,,4.86,,,,0,,,,0,1.08,1.21,1.01,,,,,,,0.0,0.26,1.18,,5.76,,,,0.79,,,,,,,,7.33,,4.58,,,,17.28
Majoritarian Precinct,21,16-21,566,38.77,,,,,2.92,,,,0,,,,0,0.78,0.82,0.84,,,,,,,3.18,0.35,17.84,,12.37,9.19,,7.42,,,,,,,,,1.06,,,,,,36.04
Majoritarian Precinct,22,16-22,450,38.33,,,,,5.86,,,,0,,,,0,0.57,0.59,0.91,,,,,,,2.0,0.67,12.89,,12.22,21.56,,14.67,,,,,,,,,2.67,,,,,,26.67
Majoritarian Precinct,23,16-23,549,42.36,,,,,3.85,,,,0,,,,0,0.79,0.76,0.86,,,,,,,1.82,0.55,34.24,,16.58,6.01,,3.28,,,,,,,,,0.36,,,,,,26.05
Majoritarian Precinct,24,16-24,815,60.06,,,,,3.55,,,,0,,,,0,0.93,1.11,1.6,,,,,,,,3.44,23.68,,29.08,3.93,,,,,,,,,,,5.77,,1.1,,,,33.01
Majoritarian Precinct,25,16-25,667,55.96,,,,,5.92,,,,0,,,,0,0.88,1.2,0.77,,,,,,,0.9,,2.7,,14.99,1.5,,5.85,,,,,,,,,0.3,,,,,,19.19
Majoritarian Precinct,26,16-26,289,57.46,,,,,3.67,,,,0,,,,0,0.5,0.44,0.27,,,,,,,0.35,,4.15,,26.3,25.26,,1.73,,,,,,,,,0.69,,,,,,14.19
Majoritarian Precinct,27,16-27,543,71.07,,,,,2.16,,,,0,,,,0,0.88,0.85,0.49,,,,,,,2.95,,9.39,,25.6,1.11,,,,,,,,,,,,,,,,,45.12
Majoritarian Precinct,28,16-28,222,74.75,,,,,6.72,,,,0,,,,0,0.36,0.38,0.21,,,,,,,1.8,,0.9,,10.36,0.45,,,,,,,,,,,,,,,,,2.7
Majoritarian Precinct,1,17-1,671,47.89,,,,,2.33,,,,0,,,,0,0.88,1.11,0.79,,,,,,,8.05,1.94,10.73,,15.65,0.89,,16.1,,,,,,,,,,,5.22,,,,41.28
Majoritarian Precinct,2,17-2,592,45.71,,,,,4.05,,,,0,,,,0,0.78,0.89,0.92,,,,,,,8.28,3.72,23.82,,13.34,1.35,,7.94,,,,,,,,,,,2.2,,,,38.34
Majoritarian Precinct,3,17-3,463,51.85,,,,,4.14,,,,0,,,,0,0.68,0.78,0.48,,,,,,,8.42,2.81,13.17,,9.5,2.16,,7.99,,,,,,,,,,,3.24,,,,52.27
Majoritarian Precinct,4,17-4,589,42.4,,,,,5.15,,,,0,,,,0,0.8,0.87,0.94,,,,,,,11.38,,8.66,,10.87,,,,,,,,,,,,,,,,,,34.8
Majoritarian Precinct,5,17-5,481,43.06,,,,,3.99,,,,0,,,,0,0.65,0.65,0.83,,,,,,,14.55,,13.93,,16.42,,,,,,,,,,,,,,,,,,28.48
Majoritarian Precinct,44,17-44,263,49.34,,,,,2.59,,,,0,,,,0,0.28,0.38,0.5,,,,,,,12.55,,10.27,,20.53,,,,,,,,,,,,,,,,,,37.64
Majoritarian Precinct,6,17-6,466,40.81,,,,,4.12,,,,0,,,,0,0.6,0.63,0.86,,,,,,,7.73,0.64,36.27,,19.31,3.22,,,,,,,,,,,,,1.29,,2.15,,27.47
Majoritarian Precinct,7,17-7,396,32.92,,,,,5.26,,,,0,,,,0,0.55,0.6,0.58,,,,,,,7.07,1.77,22.98,,15.4,1.77,,,,,,,,,,,,,2.27,,3.79,,43.69
Majoritarian Precinct,10,17-10,398,41.33,,,,,5.01,,,,0,,,,0,0.59,0.56,0.61,,,,,,,5.78,2.51,18.09,,22.11,2.26,,,,,,,,,,,,,2.51,,0.5,,44.97
Majoritarian Precinct,46,17-46,330,35.52,,,,,5.71,,,,0,,,,0,0.4,0.54,0.51,,,,,,,5.76,0.3,23.64,,20.61,2.12,,,,,,,,,,,,,2.73,,1.21,,39.39
Majoritarian Precinct,8,17-8,504,33.71,,,,,2.14,,,,0,,,,0,0.61,0.73,0.83,,,,,,,3.77,0.2,8.13,,33.53,2.38,,,,,,,,,,,0.2,,3.37,,,,45.24
Majoritarian Precinct,9,17-9,551,38.37,,,,,3.16,,,,0,,,,0,0.79,0.72,0.9,,,,,,,2.9,0.36,12.34,,32.12,4.72,,,,,,,,,,,0.0,,2.54,,,,37.75
Majoritarian Precinct,45,17-45,306,31.88,,,,,2.24,,,,0,,,,0,0.49,0.37,0.47,,,,,,,10.46,0.0,2.94,,22.22,3.92,,,,,,,,,,,0.0,,6.21,,,,43.14
Majoritarian Precinct,11,17-11,389,41.25,,,,,3.23,,,,0,,,,0,0.55,0.52,0.62,,,,,,,16.97,,21.59,,19.02,0.51,,,,,,,,,,,,,2.31,,,,39.33
Majoritarian Precinct,12,17-12,708,44.06,,,,,3.54,,,,0,,,,0,0.95,0.99,1.17,,,,,,,18.08,,10.03,,25.28,1.41,,,,,,,,,,,,,1.69,,,,30.37
Majoritarian Precinct,13,17-13,508,34.3,,,,,4.69,,,,0,,,,0,0.67,0.77,0.79,,,,,,,5.12,,13.98,,26.77,1.97,,,,,,,,,,,,,4.13,,,,47.44
Majoritarian Precinct,14,17-14,405,46.61,,,,,3.8,,,,0,,,,0,0.47,0.62,0.68,,,,,,,1.73,,29.38,,36.79,,,,,,,,,,,,0.99,,,,,,30.86
Majoritarian Precinct,15,17-15,396,48.53,,,,,4.12,,,,0,,,,0,0.44,0.61,0.69,,,,,,,2.02,,15.66,,14.9,,,,,,,,,,,,1.01,,,,,,66.41
Majoritarian Precinct,52,17-52,422,45.33,,,,,1.86,,,,0,,,,0,0.49,0.52,0.87,,,,,,,2.84,,27.49,,27.01,,,,,,,,,,,,0.71,,,,,,40.76
Majoritarian Precinct,16,17-16,646,62.18,,,,,3.73,,,,0,,,,0,0.75,0.82,1.37,,,,,,,,,23.53,,31.73,,,4.49,,,,,,,,,0.46,,0.77,,,,38.85
Majoritarian Precinct,17,17-17,571,41.41,,,,,3.87,,,,0,,,,0,0.61,0.82,1.13,,,,,,,,,29.42,,22.07,,,,,,,,,,,,1.93,,,,,,46.58
Majoritarian Precinct,18,17-18,395,37.62,,,,,3.42,,,,0,,,,0,0.41,0.51,0.87,,,,,,,,,12.91,,30.38,,,,,,,,,,,,5.06,,,,,,51.14
Majoritarian Precinct,19,17-19,206,70.79,,,,,2.37,,,,0,,,,0,0.4,0.28,0.18,,,,,,,,,28.64,,5.83,,,,,,,,,,,,0.0,,0.0,,,,65.05
Majoritarian Precinct,20,17-20,375,46.18,,,,,5.54,,,,0,,,,0,0.53,0.47,0.71,,,,,,,6.93,,20.53,,16.0,1.33,,,,,,,,,,,2.13,,0.27,,,,52.8
Majoritarian Precinct,51,17-51,552,50.09,,,,,2.47,,,,0,,,,0,0.68,0.76,0.98,,,,,,,3.99,,9.24,,21.56,9.42,,,,,,,,,,,1.99,,2.54,,,,51.27
Majoritarian Precinct,21,17-21,397,47.32,,,,,2.93,,,,0,,,,0,0.4,0.56,0.81,,,,,,,,,29.22,,38.04,,,,,,,,,,,,4.28,,0.5,,,,27.71
Majoritarian Precinct,22,17-22,190,42.32,,,,,4.04,,,,0,,,,0,0.33,0.15,0.41,,,,,,,,,47.37,,20.53,,,,,,,,,,,,1.05,,3.68,,,,25.26
Majoritarian Precinct,53,17-53,439,48.72,,,,,2.23,,,,0,,,,0,0.41,0.64,0.88,,,,,,,,,23.23,,37.13,,,,,,,,,,,,1.37,,2.28,,,,35.31
Majoritarian Precinct,23,17-23,543,54.25,,,,,3.72,,,,0,,,,0,0.65,0.71,1.08,,,,,,,,,48.99,,5.89,,,,,,,,,,,,0.18,,0.0,,,,36.65
Majoritarian Precinct,48,17-48,519,53.34,,,,,1.89,,,,0,,,,0,0.6,0.68,1.02,,,,,,,,,69.17,,3.66,,,,,,,,,,,,0.0,,0.0,,,,21.0
Majoritarian Precinct,24,17-24,303,33.44,,,,,2.88,,,,0,,,,0,0.38,0.42,0.53,,,,,,,,,20.13,,20.46,,,0.99,,,,,,,,,0.0,,2.97,,,,55.12
Majoritarian Precinct,25,17-25,298,25.06,,,,,1.65,,,,0,,,,0,0.33,0.41,0.56,,,,,,,,,14.43,,22.48,,,2.68,,,,,,,,,0.0,,1.01,,,,58.05
Majoritarian Precinct,49,17-49,336,24.22,,,,,3.45,,,,0,,,,0,0.5,0.38,0.63,,,,,,,,,18.15,,30.06,,,0.89,,,,,,,,,0.6,,4.17,,,,45.54
Majoritarian Precinct,26,17-26,360,41.81,,,,,2.97,,,,0,,,,0,0.52,0.55,0.45,,,,,,,0.28,,40.56,,9.17,,,6.11,,,,,,,,,,,3.06,,,,40.28
Majoritarian Precinct,27,17-27,314,50.73,,,,,4.85,,,,0,,,,0,0.65,0.32,0.44,,,,,,,0.0,,3.82,,1.27,,,0.96,,,,,,,,,,,68.15,,,,26.43
Majoritarian Precinct,50,17-50,461,41.01,,,,,2.54,,,,0,,,,0,0.54,0.66,0.81,,,,,,,1.74,,26.9,,21.04,,,4.77,,,,,,,,,,,5.86,,,,39.7
Majoritarian Precinct,28,17-28,509,43.84,,,,,4.32,,,,0,,,,0,0.63,0.7,0.94,,,,,,,0.39,,11.79,,15.91,,,,,,,,,,,,5.3,,0.79,,,,24.95
Majoritarian Precinct,43,17-43,533,44.2,,,,,1.84,,,,0,,,,0,0.6,0.69,1.07,,,,,,,3.19,,2.63,,22.33,,,,,,,,,,,,1.31,,1.5,,,,38.46
Majoritarian Precinct,29,17-29,426,58.36,,,,,3.4,,,,0,,,,0,0.65,0.61,0.56,,,,,,,,,40.14,,15.73,,,,,,,,,,,,,,2.11,,,,42.02
Majoritarian Precinct,31,17-31,56,52.34,,,,,0.0,,,,0,,,,0,0.15,0.05,0.03,,,,,,,,,10.71,,8.93,,,,,,,,,,,,,,3.57,,,,73.21
Majoritarian Precinct,32,17-32,687,45.05,,,,,2.69,,,,0,,,,0,0.79,1.1,1.04,,,,,,,,,15.87,,28.82,,,,,,,,,,,,0.58,,0.73,,,,53.71
Majoritarian Precinct,33,17-33,176,35.41,,,,,3.3,,,,0,,,,0,0.34,0.21,0.21,,,,,,,,,8.52,,31.25,,,,,,,,,,,,12.5,,0.57,,,,46.02
Majoritarian Precinct,34,17-34,50,45.05,,,,,0.0,,,,0,,,,0,0.12,0.05,0.03,,,,,,,,,6.0,,12.0,,,,,,,,,,,,2.0,,4.0,,,,74.0
Majoritarian Precinct,35,17-35,641,52.98,,,,,3.9,,,,0,,,,0,0.74,0.93,1.17,,,,,,,,,31.51,,13.73,,,,,,,,,,,,1.4,,2.5,,,,46.65
Majoritarian Precinct,36,17-36,569,57.71,,,,,3.07,,,,0,,,,0,0.71,0.74,1.08,,,,,,,,,2.11,,31.81,,,,,,,,,,,,0.0,,0.18,,,,45.52
Majoritarian Precinct,37,17-37,400,29.46,,,,,4.53,,,,0,,,,0,0.53,0.55,0.71,,,,,,,,,7.0,,21.5,,,,,,,,,,,,,,1.75,,,,69.0
Majoritarian Precinct,38,17-38,335,24.24,,,,,5.9,,,,0,,,,0,0.52,0.5,0.46,,,,,,,,,14.03,,10.15,,,,,,,,,,,,,,0.3,,,,74.93
Majoritarian Precinct,39,17-39,266,17.86,,,,,12.79,,,,0,,,,0,0.39,0.37,0.56,,,,,,,,,10.53,,38.72,,,,,,,,,,,,,,0.75,,,,49.25
Majoritarian Precinct,54,17-54,298,20.78,,,,,5.4,,,,0,,,,0,0.43,0.41,0.49,,,,,,,,,6.71,,46.64,,,,,,,,,,,,,,1.34,,,,43.96
Majoritarian Precinct,40,17-40,665,54.24,,,,,3.34,,,,0,,,,0,0.76,0.99,1.16,,,,,,,,,16.24,,8.57,,,,,,,,,,,,,,1.05,,,,23.01
Majoritarian Precinct,47,17-47,369,52.41,,,,,3.66,,,,0,,,,0,0.79,0.31,0.57,,,,,,,,,5.15,,14.91,,,,,,,,,,,,,,0.54,,,,47.43
Majoritarian Precinct,41,17-41,445,41.47,,,,,1.11,,,,0,,,,0,0.65,0.65,0.56,,,,,,,,,14.61,,31.91,,,,,,,,,,,,0.67,,,,,,52.36
Majoritarian Precinct,42,17-42,614,40.16,,,,,3.15,,,,0,,,,0,0.77,0.88,1.03,,,,,,,,,16.12,,25.24,,,,,,,,,,,,0.49,,,,,,57.33
Majoritarian Precinct,30,17-30,512,59.6,,,,,3.21,,,,0,,,,0,0.73,0.76,0.71,,,,,,,,,37.5,,14.06,,,,,,,,,,,,0.59,,1.95,,,,40.82
Majoritarian Precinct,1,18-1,802,52.01,,,,,5.09,,,,0,,,,0,1.21,1.11,1.23,,,,,,,,0.37,36.53,,20.57,,,,,,,,,,,,1.0,,10.6,,,,30.55
Majoritarian Precinct,2,18-2,742,48.72,,,,,3.76,,,,0,,,,0,1.11,1.02,1.1,,,,,,,,0.94,15.5,,31.54,,,,,,,,,,,,2.29,,2.7,,,,46.23
Majoritarian Precinct,3,18-3,585,45.38,,,,,4.88,,,,0,,,,0,1.07,0.76,0.73,,,,,,,,7.69,27.52,,22.74,,,,,,,,,,,,2.05,,3.25,,,,36.24
Majoritarian Precinct,4,18-4,546,44.28,,,,,4.55,,,,0,,,,0,0.9,1.0,0.31,,,,,,,,1.83,30.22,,25.09,,,,,,,,,,,,1.1,,3.85,,,,37.73
Majoritarian Precinct,25,18-25,776,50.03,,,,,3.84,,,,0,,,,0,1.19,1.11,1.05,,,,,,,,0.64,11.21,,37.24,,,,,,,,,,,,0.52,,2.96,,,,47.42
Majoritarian Precinct,5,18-5,474,45.36,,,,,1.66,,,,0,,,,0,0.65,0.67,0.69,,,,,,,,0.63,22.36,,1.48,,,,,,,,,,,,,,,,,,75.53
Majoritarian Precinct,26,18-26,537,46.05,,,,,3.76,,,,0,,,,0,0.82,0.62,0.98,,,,,,,,0.37,34.26,,2.42,,,,,,,,,,,,,,,,,,62.94
Majoritarian Precinct,6,18-6,434,36.2,,,,,1.59,,,,0,,,,0,0.51,0.55,0.84,,,,,,,4.84,0.0,17.05,,22.58,,,,,,,,,,,,,,4.61,,,,42.4
Majoritarian Precinct,7,18-7,480,34.38,,,,,3.03,,,,0,,,,0,0.69,0.57,0.88,,,,,,,6.46,0.63,37.08,,20.42,,,,,,,,,,,,,,9.17,,,,23.33
Majoritarian Precinct,27,18-27,355,39.4,,,,,2.74,,,,0,,,,0,0.48,0.45,0.64,,,,,,,3.1,0.0,16.9,,27.89,,,,,,,,,,,,,,3.66,,,,38.87
Majoritarian Precinct,8,18-8,178,56.15,,,,,2.2,,,,0,,,,0,0.27,0.34,0.08,,,,,,,2.25,0.0,28.65,,3.37,,,,,,,,,,,,,,,,,,44.38
Majoritarian Precinct,24,18-24,426,57.41,,,,,4.48,,,,0,,,,0,0.76,0.56,0.53,,,,,,,4.46,0.0,11.97,,7.04,,,,,,,,,,,,,,,,,,51.17
Majoritarian Precinct,9,18-9,697,50.25,,,,,3.19,,,,0,,,,0,0.95,1.04,1.01,,,,,,,7.17,0.29,4.16,,25.97,,,,,,,,,,,,,,,,,,47.92
Majoritarian Precinct,16,18-16,236,53.88,,,,,4.84,,,,0,,,,0,0.46,0.33,0.21,,,,,,,2.97,0.0,8.9,,16.53,,,,,,,,,,,,,,,,,,58.47
Majoritarian Precinct,10,18-10,138,50.74,,,,,0.0,,,,0,,,,0,0.3,0.17,0.09,,,,,,,,,18.84,,24.64,,,,,,,,,,,,,,,,,,51.45
Majoritarian Precinct,11,18-11,664,45.57,,,,,3.21,,,,0,,,,0,0.82,0.97,1.09,,,,,,,2.41,0.6,18.98,,35.09,,,,,,,,,,,,,,,,,,42.77
Majoritarian Precinct,12,18-12,558,42.69,,,,,2.62,,,,0,,,,0,0.65,0.79,1.0,,,,,,,1.25,1.43,24.19,,35.66,,,,,,,,,,,,,,,,,,37.1
Majoritarian Precinct,28,18-28,746,48.35,,,,,2.1,,,,0,,,,0,1.13,0.93,1.18,,,,,,,3.49,1.34,23.06,,37.94,,,,,,,,,,,,,,,,,,34.18
Majoritarian Precinct,13,18-13,733,68.5,,,,,1.87,,,,0,,,,0,1.43,1.14,0.33,,,,,,,,0.27,0.55,,,,,,,,,,,,,,,,,,,,52.66
