shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,In the Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,People's Movement,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Precinct,3,15-3,551,40.19,,,,,4.84,,,,0,,,,0,0.94,0.67,0.84,,,,,,,1.45,2.36,14.7,12.34,,,4.72,0.73,,,,,,,,,,,2.54,,,,61.16
Precinct,4,15-4,459,64.47,,,,,2.13,,,,0,,,,0,0.84,0.59,0.51,,,,,,,0.44,1.31,17.43,34.42,,,1.09,0.22,,,,,,,,,,,3.7,,,,41.39
Precinct,5,15-5,726,50.52,,,,,8.56,,,,0,,,,0,1.4,0.99,0.88,,,,,,,0.28,1.52,17.08,20.94,,,3.03,0.69,,,,,,,,,,,5.37,,,,50.69
Precinct,6,15-6,467,42.8,,,,,6.41,,,,0,,,,0,0.95,0.62,0.47,,,,,,,0.64,1.07,29.34,15.42,,,1.93,0.21,,,,,,,,,,,5.57,,,,45.82
Precinct,7,15-7,382,41.03,,,,,4.98,,,,0,,,,0,0.68,0.58,0.37,,,,,,,0.0,2.09,14.66,35.6,,,4.45,0.0,,,,,,,,,,,4.71,,,,38.48
Precinct,8,15-8,604,53.36,,,,,3.67,,,,0,,,,0,1.05,0.97,0.48,,,,,,,0.17,0.33,25.5,30.79,,,6.62,0.17,,,,,,,,,,,2.81,,,,33.44
Precinct,9,15-9,520,65.82,,,,,13.04,,,,0,,,,0,1.11,0.78,0.54,,,,,,,0.38,3.27,17.88,20.77,,,16.54,0.58,,,,,,,,,,,5.19,,,,35.38
Precinct,10,15-10,674,53.2,,,,,5.2,,,,0,,,,0,1.2,0.86,0.92,,,,,,,0.15,0.15,9.64,20.77,,,3.71,0.0,,,,,,,,,,,2.37,,,,63.2
Precinct,11,15-11,397,45.9,,,,,8.1,,,,0,,,,0,0.86,0.49,0.43,,,,,,,0.5,0.5,7.3,27.96,,,3.27,0.0,,,,,,,,,,,6.8,,,,53.65
Precinct,12,15-12,318,59.44,,,,,2.75,,,,0,,,,0,0.55,0.51,0.24,,,,,,,0.31,0.31,5.03,16.04,,,0.63,0.0,,,,,,,,,,,3.77,,,,73.9
Precinct,13,15-13,461,47.53,,,,,6.11,,,,0,,,,0,0.58,0.77,0.67,,,,,,,0.43,1.3,19.09,15.4,,,2.17,0.43,,,,,,,,,,,2.17,,,,58.79
Precinct,14,15-14,794,50.16,,,,,5.14,,,,0,,,,0,1.13,1.16,1.21,,,,,,,1.51,0.13,16.75,12.85,,,4.16,0.13,,,,,,,,,,,5.16,,,,59.32
Precinct,15,15-15,618,51.54,,,,,4.19,,,,0,,,,0,1.0,0.85,0.84,,,,,,,0.81,0.32,12.46,23.46,,,2.1,0.32,,,,,,,,,,,6.31,,,,54.21
Precinct,16,15-16,756,50.43,,,,,6.78,,,,0,,,,0,1.21,1.13,1.01,,,,,,,0.26,1.06,10.19,17.2,,,7.8,0.79,,,,,,,,,,,3.7,,,,58.86
Precinct,17,15-17,400,51.15,,,,,4.99,,,,0,,,,0,0.27,0.94,0.42,,,,,,,0.25,1.0,8.0,22.0,,,4.75,2.0,,,,,,,,,,,5.0,,,,57.25
Precinct,18,15-18,417,32.38,,,,,10.9,,,,0,,,,0,0.56,0.8,0.53,,,,,,,0.0,0.48,42.69,3.12,,,0.24,0.0,,,,,,,,,,,0.48,,,,53.0
Precinct,19,15-19,447,36.52,,,,,5.89,,,,0,,,,0,0.76,0.65,0.54,,,,,,,0.45,0.45,26.4,4.25,,,0.45,0.0,,,,,,,,,,,0.0,,,,67.79
Precinct,20,15-20,421,27.88,,,,,3.0,,,,0,,,,0,0.53,0.6,0.7,,,,,,,0.24,0.48,25.65,2.61,,,0.48,0.24,,,,,,,,,,,0.24,,,,70.07
Precinct,21,15-21,389,27.49,,,,,8.25,,,,0,,,,0,0.51,0.74,0.44,,,,,,,0.77,0.26,29.05,2.83,,,0.0,0.26,,,,,,,,,,,0.51,,,,66.84
Precinct,22,15-22,499,35.95,,,,,8.27,,,,0,,,,0,0.71,0.85,0.66,,,,,,,0.0,0.6,30.06,1.4,,,0.2,0.2,,,,,,,,,,,0.0,,,,69.34
Precinct,23,15-23,172,37.39,,,,,4.97,,,,0,,,,0,0.35,0.28,0.08,,,,,,,1.16,4.65,29.07,4.65,,,0.0,0.0,,,,,,,,,,,0.0,,,,60.47
Precinct,24,15-24,520,58.23,,,,,3.88,,,,0,,,,0,0.85,0.89,0.39,,,,,,,1.54,3.65,22.12,11.35,,,3.08,0.19,,,,,,,,,,,2.31,,,,55.77
Precinct,25,15-25,729,46.23,,,,,2.93,,,,0,,,,0,1.08,1.03,1.03,,,,,,,0.14,0.69,25.93,10.84,,,2.06,0.14,,,,,,,,,,,3.98,,,,55.14
Precinct,26,15-26,792,55.27,,,,,2.94,,,,0,,,,0,1.62,0.72,1.17,,,,,,,0.0,0.38,54.42,5.43,,,1.39,0.38,,,,,,,,,,,2.4,,,,35.35
Precinct,27,15-27,357,43.7,,,,,4.03,,,,0,,,,0,0.48,0.46,0.66,,,,,,,0.56,0.28,51.82,10.64,,,0.0,0.0,,,,,,,,,,,3.64,,,,33.05
Precinct,28,15-28,443,56.01,,,,,4.11,,,,0,,,,0,0.92,0.53,0.47,,,,,,,0.23,1.13,58.69,10.16,,,0.0,0.68,,,,,,,,,,,1.58,,,,27.09
Precinct,29,15-29,671,50.57,,,,,3.87,,,,0,,,,0,0.86,1.07,0.96,,,,,,,0.15,0.15,31.45,12.07,,,0.75,0.15,,,,,,,,,,,1.79,,,,53.35
Precinct,30,15-30,567,41.81,,,,,3.41,,,,0,,,,0,0.93,0.64,0.96,,,,,,,1.23,3.7,10.23,17.28,,,4.06,0.18,,,,,,,,,,,2.12,,,,61.2
Precinct,31,15-31,239,54.82,,,,,6.64,,,,0,,,,0,0.51,0.29,0.26,,,,,,,0.0,1.26,14.23,18.41,,,0.84,1.26,,,,,,,,,,,2.93,,,,61.09
Precinct,32,15-32,382,50.93,,,,,2.3,,,,0,,,,0,0.61,0.56,0.43,,,,,,,0.0,1.31,17.28,30.63,,,1.83,0.26,,,,,,,,,,,3.93,,,,44.76
Precinct,33,15-33,288,53.33,,,,,1.71,,,,0,,,,0,0.48,0.45,0.23,,,,,,,0.69,1.04,36.46,8.33,,,3.13,0.0,,,,,,,,,,,3.82,,,,46.53
Precinct,34,15-34,348,49.71,,,,,7.69,,,,0,,,,0,0.35,0.66,0.53,,,,,,,0.29,0.86,32.76,11.78,,,0.86,0.0,,,,,,,,,,,5.46,,,,47.99
Precinct,35,15-35,290,31.87,,,,,6.75,,,,0,,,,0,0.38,0.37,0.62,,,,,,,0.34,0.69,45.17,3.1,,,0.34,0.0,,,,,,,,,,,0.34,,,,49.31
Precinct,36,15-36,240,41.96,,,,,5.88,,,,0,,,,0,0.33,0.42,0.28,,,,,,,0.0,0.0,43.75,2.5,,,0.0,0.0,,,,,,,,,,,0.0,,,,53.75
Precinct,37,15-37,220,57.29,,,,,3.08,,,,0,,,,0,0.62,0.24,0.03,,,,,,,0.45,1.36,38.64,11.36,,,0.91,0.0,,,,,,,,,,,0.45,,,,46.82
Precinct,1,16-1,646,48.64,,,,,6.78,,,,0,,,,0,0.93,0.92,1.08,,,,,,,4.33,0.77,9.13,21.36,1.39,,8.98,0.15,,,,,,0.0,,,0.62,,5.42,0.46,,,47.37
Precinct,2,16-2,656,46.89,,,,,8.64,,,,0,,,,0,1.19,1.0,0.74,,,,,,,3.2,0.15,9.76,20.27,1.52,,10.52,0.3,,,,,,0.46,,,1.07,,4.88,0.46,,,47.41
Precinct,3,16-3,616,48.47,,,,,5.95,,,,0,,,,0,1.3,0.54,1.01,,,,,,,2.44,0.81,8.28,21.75,1.62,,13.64,2.27,,,,,,0.16,,,1.14,,6.17,1.79,,,39.94
Precinct,4,16-4,565,45.94,,,,,5.2,,,,0,,,,0,0.81,0.75,0.97,,,,,,,3.19,0.18,6.02,24.96,2.83,,11.15,0.53,,,,,,0.18,,,0.18,,3.36,1.24,,,46.02
Precinct,5,16-5,591,42.76,,,,,8.23,,,,0,,,,0,1.05,0.84,0.79,,,,,,,3.89,0.51,9.14,32.15,1.86,,10.32,0.68,,,,,,0.34,,,1.02,,3.89,0.34,,,35.87
Precinct,6,16-6,475,65.52,,,,,8.12,,,,0,,,,0,0.89,0.72,0.48,,,,,,,4.84,0.0,4.0,38.11,0.63,,3.58,0.84,,,,,,0.63,,,0.84,,3.37,0.63,,,42.53
Precinct,7,16-7,413,62.77,,,,,4.4,,,,0,,,,0,0.65,0.7,0.37,,,,,,,3.39,0.73,16.95,15.25,1.45,,1.94,3.87,,,,,,0.0,,,0.0,,5.33,0.24,,,50.61
Precinct,8,16-8,723,48.26,,,,,6.59,,,,0,,,,0,1.14,0.84,1.38,,,,,,,3.73,0.41,8.58,22.68,7.88,,8.02,0.69,,,,,,0.83,,,1.66,,8.99,0.69,,,35.82
Precinct,9,16-9,712,45.88,,,,,6.32,,,,0,,,,0,1.0,0.87,1.44,,,,,,,1.83,0.84,9.41,15.17,10.96,,11.94,0.56,,,,,,0.28,,,1.26,,5.48,0.7,,,41.57
Precinct,10,16-10,542,42.95,,,,,7.19,,,,0,,,,0,1.06,0.58,0.87,,,,,,,2.77,1.11,13.65,21.59,10.89,,8.67,0.0,,,,,,0.92,,,0.37,,6.46,0.18,,,33.58
Precinct,11,16-11,166,62.88,,,,,2.92,,,,0,,,,0,0.16,0.27,0.28,,,,,,,3.01,0.0,20.48,22.89,6.63,,1.2,0.0,,,,,,0.0,,,0.0,,1.2,0.0,,,44.58
Precinct,12,16-12,131,34.29,,,,,7.75,,,,0,,,,0,0.28,0.17,0.13,,,,,,,4.58,0.76,10.69,12.98,3.05,,1.53,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,64.89
Precinct,13,16-13,168,59.36,,,,,2.33,,,,0,,,,0,0.34,0.23,0.12,,,,,,,2.38,14.29,10.12,21.43,0.6,,2.38,0.0,,,,,,0.0,,,1.79,,4.17,0.0,,,42.86
Precinct,14,16-14,448,55.86,,,,,3.03,,,,0,,,,0,0.67,0.7,0.51,,,,,,,0.89,0.45,17.86,22.54,1.79,,2.46,0.0,,,,,,0.0,,,0.22,,4.24,0.45,,,48.88
Precinct,15,16-15,225,55.83,,,,,2.17,,,,0,,,,0,0.21,0.45,0.24,,,,,,,0.0,6.22,23.56,13.78,4.0,,3.56,0.0,,,,,,0.0,,,0.0,,0.44,0.0,,,48.0
Precinct,16,16-16,204,51.13,,,,,7.27,,,,0,,,,0,0.53,0.14,0.29,,,,,,,2.45,0.98,6.37,34.8,4.41,,11.27,0.0,,,,,,0.0,,,0.0,,1.96,0.98,,,36.76
Precinct,17,16-17,325,68.57,,,,,3.27,,,,0,,,,0,0.43,0.55,0.38,,,,,,,0.92,0.0,6.15,31.69,6.77,,1.23,0.31,,,,,,0.0,,,0.0,,0.92,0.31,,,51.69
Precinct,18,16-18,492,63.9,,,,,2.57,,,,0,,,,0,0.69,0.88,0.42,,,,,,,4.27,0.81,6.3,43.7,8.33,,1.63,0.41,,,,,,0.0,,,0.41,,4.67,3.05,,,26.22
Precinct,19,16-19,842,58.35,,,,,6.03,,,,0,,,,0,1.13,1.24,1.41,,,,,,,1.07,0.95,12.59,18.05,1.66,,2.38,0.59,,,,,,0.24,,,0.59,,12.47,0.71,,,48.34
Precinct,20,16-20,740,61.92,,,,,7.85,,,,0,,,,0,1.08,1.21,1.01,,,,,,,0.95,0.14,7.97,18.65,1.76,,1.89,0.81,,,,,,0.81,,,1.76,,17.7,2.03,,,45.54
Precinct,21,16-21,548,37.53,,,,,6.0,,,,0,,,,0,0.78,0.82,0.84,,,,,,,2.01,2.55,10.22,19.34,3.1,,8.39,1.82,,,,,,0.0,,,1.28,,4.01,0.0,,,47.26
Precinct,22,16-22,438,37.31,,,,,8.37,,,,0,,,,0,0.57,0.59,0.91,,,,,,,1.6,0.46,8.9,21.92,7.53,,13.7,2.05,,,,,,0.0,,,2.05,,4.11,1.6,,,35.84
Precinct,23,16-23,529,40.82,,,,,7.36,,,,0,,,,0,0.79,0.76,0.86,,,,,,,1.89,0.95,18.9,16.26,2.46,,4.91,1.51,,,,,,0.0,,,1.13,,2.84,0.19,,,48.96
