shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,In the Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,People's Movement,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Precinct,34,21-34,308,36.32,,,,,2.53,,,,0,,,,0,0.48,0.44,0.38,,,,,,,0.97,2.6,,9.42,,,,0.32,,,0.97,,,,,,0.65,,13.96,,,,71.1
Precinct,35,21-35,560,38.97,,,,,6.04,,,,0,,,,0,1.13,0.71,0.63,,,,,,,0.71,9.11,,13.57,,,,0.54,,,1.07,,,,,,0.54,,7.68,,,,66.79
Precinct,36,21-36,400,29.41,,,,,9.3,,,,0,,,,0,0.67,0.67,0.43,,,,,,,1.25,5.25,,11.25,,,,0.5,,,0.75,,,,,,0.25,,10.5,,,,70.25
Precinct,37,21-37,100,41.84,,,,,5.66,,,,0,,,,0,0.21,0.11,0.12,,,,,,,2.0,4.0,,37.0,,,,1.0,,,1.0,,,,,,2.0,,10.0,,,,43.0
Precinct,38,21-38,273,45.05,,,,,4.88,,,,0,,,,0,0.55,0.35,0.28,,,,,,,1.1,3.3,,20.88,,,,0.0,,,0.73,,,,,,0.0,,4.4,,,,69.6
Precinct,39,21-39,240,32.52,,,,,6.25,,,,0,,,,0,0.34,0.38,0.33,,,,,,,1.67,9.17,,16.67,,,,0.0,,,1.67,,,,,,0.42,,9.17,,,,61.25
Precinct,40,21-40,441,27.41,,,,,13.19,,,,0,,,,0,0.9,0.6,0.63,,,,,,,0.45,2.04,,38.32,,,,0.91,,,1.13,,,,,,1.59,,0.0,,,,54.65
Precinct,41,21-41,543,37.6,,,,,10.1,,,,0,,,,0,1.19,0.67,0.66,,,,,,,0.37,1.11,,43.28,,,,0.18,,,0.0,,,,,,0.37,,0.0,,,,54.7
Precinct,42,21-42,539,37.64,,,,,9.41,,,,0,,,,0,1.02,0.68,0.82,,,,,,,0.37,1.3,,42.49,,,,0.19,,,0.37,,,,,,0.37,,0.19,,,,54.73
Precinct,43,21-43,602,42.31,,,,,4.6,,,,0,,,,0,0.77,1.01,0.79,,,,,,,2.33,4.65,,20.43,,,,0.66,,,1.33,,,,,,0.33,,9.8,,,,59.97
Precinct,44,21-44,610,44.79,,,,,4.39,,,,0,,,,0,0.68,1.07,0.86,,,,,,,1.48,2.62,,21.97,,,,0.98,,,1.15,,,,,,0.66,,6.39,,,,64.59
Precinct,45,21-45,45,75.0,,,,,0.0,,,,0,,,,0,0.13,0.04,0.02,,,,,,,0.0,0.0,,17.78,,,,0.0,,,2.22,,,,,,0.0,,6.67,,,,73.33
Precinct,46,21-46,534,43.91,,,,,9.49,,,,0,,,,0,0.92,0.76,0.78,,,,,,,2.43,2.43,,13.67,,,,1.69,,,2.43,,,,,,1.12,,16.1,,,,60.11
Precinct,47,21-47,719,48.13,,,,,11.45,,,,0,,,,0,1.12,1.09,1.21,,,,,,,1.25,0.7,,17.66,,,,0.83,,,2.23,,,,,,0.83,,13.91,,,,62.59
Precinct,48,21-48,437,42.76,,,,,11.54,,,,0,,,,0,0.66,0.68,0.73,,,,,,,1.6,1.14,,22.65,,,,1.14,,,1.83,,,,,,1.6,,18.31,,,,51.03
Precinct,49,21-49,311,20.23,,,,,26.82,,,,0,,,,0,0.86,0.4,0.54,,,,,,,1.61,0.32,,35.37,,,,0.64,,,0.96,,,,,,0.32,,3.86,,,,56.91
Precinct,50,21-50,337,21.76,,,,,21.81,,,,0,,,,0,0.78,0.6,0.36,,,,,,,0.59,1.48,,40.65,,,,0.3,,,0.0,,,,,,0.0,,2.08,,,,54.9
Precinct,51,21-51,533,45.25,,,,,9.97,,,,0,,,,0,0.98,0.66,0.89,,,,,,,1.13,1.31,,12.2,,,,1.31,,,2.81,,,,,,0.75,,22.51,,,,57.97
Precinct,52,21-52,282,16.95,,,,,17.78,,,,0,,,,0,0.66,0.4,0.36,,,,,,,1.06,12.77,,49.29,,,,0.71,,,0.71,,,,,,1.06,,0.0,,,,34.4
Precinct,53,21-53,330,23.49,,,,,16.03,,,,0,,,,0,0.73,0.37,0.61,,,,,,,0.61,5.15,,44.85,,,,0.61,,,0.61,,,,,,0.61,,1.21,,,,46.06
Precinct,54,21-54,364,25.24,,,,,14.35,,,,0,,,,0,0.7,0.47,0.64,,,,,,,3.02,17.58,,40.93,,,,0.55,,,0.55,,,,,,0.0,,0.82,,,,36.54
Precinct,55,21-55,333,31.24,,,,,5.67,,,,0,,,,0,0.69,0.41,0.35,,,,,,,3.0,0.0,,5.11,,,,25.53,,,0.9,,,,,,0.0,,0.0,,,,65.17
Precinct,56,21-56,329,37.82,,,,,6.53,,,,0,,,,0,0.55,0.56,0.29,,,,,,,4.86,0.61,,6.38,,,,41.64,,,0.0,,,,,,0.0,,0.0,,,,46.5
Precinct,57,21-57,808,53.97,,,,,8.6,,,,0,,,,0,1.25,1.29,1.08,,,,,,,2.1,12.5,,14.36,,,,1.36,,,1.24,,,,,,0.87,,9.28,,,,58.29
Precinct,58,21-58,601,39.0,,,,,12.39,,,,0,,,,0,1.23,0.88,0.71,,,,,,,3.16,20.13,,24.29,,,,0.0,,,0.17,,,,,,0.33,,0.67,,,,51.25
Precinct,59,21-59,700,41.52,,,,,9.21,,,,0,,,,0,1.38,0.87,1.01,,,,,,,2.14,24.71,,13.71,,,,0.57,,,1.43,,,,,,0.43,,0.14,,,,56.57
Precinct,60,21-60,323,35.77,,,,,5.83,,,,0,,,,0,0.77,0.32,0.34,,,,,,,0.0,0.62,,16.1,,,,0.0,,,1.24,,,,,,0.0,,0.0,,,,82.04
Precinct,61,21-61,403,38.86,,,,,2.89,,,,0,,,,0,0.97,0.49,0.21,,,,,,,0.5,0.0,,11.66,,,,0.25,,,0.5,,,,,,0.0,,0.25,,,,86.85
Precinct,62,21-62,155,15.75,,,,,9.36,,,,0,,,,0,0.32,0.19,0.2,,,,,,,1.29,5.16,,54.19,,,,3.23,,,0.65,,,,,,0.0,,0.65,,,,34.84
Precinct,63,21-63,327,26.29,,,,,4.39,,,,0,,,,0,0.66,0.43,0.3,,,,,,,8.26,6.12,,19.57,,,,0.0,,,0.92,,,,,,0.0,,3.06,,,,62.08
Precinct,1,22-1,219,16.01,,,,,7.98,,,,0,,,,0,0.42,0.15,0.51,,,,,,,0.91,1.37,5.48,44.29,,,0.91,2.74,,,,,,,,,,,0.0,,10.05,,34.25
Precinct,2,22-2,279,20.65,,,,,4.45,,,,0,,,,0,0.42,0.43,0.34,,,,,,,0.36,0.36,3.94,38.71,,,2.51,1.08,,,,,,,,,,,1.79,,5.02,,46.24
Precinct,3,22-3,343,27.64,,,,,8.53,,,,0,,,,0,0.55,0.46,0.58,,,,,,,0.0,7.87,3.21,49.85,,,1.75,0.58,,,,,,,,,,,0.0,,0.87,,35.86
Precinct,4,22-4,209,17.61,,,,,9.52,,,,0,,,,0,0.39,0.29,0.29,,,,,,,0.48,0.48,7.18,33.01,,,1.44,0.0,,,,,,,,,,,0.0,,17.22,,40.19
Precinct,5,22-5,294,22.27,,,,,8.98,,,,0,,,,0,0.44,0.39,0.56,,,,,,,0.68,1.02,2.04,57.48,,,2.72,0.68,,,,,,,,,,,0.0,,2.72,,28.57
Precinct,6,22-6,188,19.87,,,,,6.0,,,,0,,,,0,0.28,0.27,0.29,,,,,,,0.0,0.0,7.98,45.21,,,1.06,0.53,,,,,,,,,,,0.0,,2.13,,43.09
Precinct,7,22-7,339,28.8,,,,,6.87,,,,0,,,,0,0.54,0.52,0.44,,,,,,,0.59,0.59,0.59,70.8,,,0.89,0.89,,,,,,,,,,,0.3,,0.0,,25.37
Precinct,8,22-8,327,38.79,,,,,4.66,,,,0,,,,0,0.51,0.45,0.47,,,,,,,0.0,0.92,3.36,5.2,,,0.31,0.31,,,,,,,,,,,0.0,,2.14,,87.46
Precinct,9,22-9,370,32.01,,,,,4.15,,,,0,,,,0,0.63,0.58,0.33,,,,,,,0.0,0.0,1.08,7.03,,,0.81,0.0,,,,,,,,,,,0.0,,0.0,,91.08
Precinct,10,22-10,411,29.25,,,,,11.04,,,,0,,,,0,1.0,0.52,0.37,,,,,,,0.73,0.49,22.63,44.53,,,0.97,0.0,,,,,,,,,,,0.49,,2.68,,27.25
Precinct,11,22-11,430,28.59,,,,,8.7,,,,0,,,,0,0.81,0.63,0.48,,,,,,,0.0,0.0,16.51,52.33,,,1.86,0.23,,,,,,,,,,,0.47,,0.7,,27.67
Precinct,12,22-12,311,26.13,,,,,15.03,,,,0,,,,0,0.61,0.55,0.31,,,,,,,0.32,0.64,31.19,28.62,,,1.61,0.64,,,,,,,,,,,0.64,,0.64,,35.37
Precinct,13,22-13,466,27.87,,,,,19.52,,,,0,,,,0,1.1,0.71,0.57,,,,,,,0.64,1.93,29.18,33.91,,,1.07,0.43,,,,,,,,,,,0.43,,0.64,,31.76
Precinct,14,22-14,312,22.76,,,,,11.11,,,,0,,,,0,0.67,0.47,0.28,,,,,,,0.32,1.28,58.01,20.19,,,3.21,0.32,,,,,,,,,,,0.0,,0.32,,16.35
Precinct,15,22-15,274,19.77,,,,,22.38,,,,0,,,,0,0.88,0.32,0.26,,,,,,,0.0,0.37,36.5,27.74,,,1.09,0.0,,,,,,,,,,,0.0,,0.73,,33.58
Precinct,16,22-16,271,52.42,,,,,9.67,,,,0,,,,0,0.65,0.34,0.23,,,,,,,0.37,33.95,0.0,0.37,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,65.31
Precinct,17,22-17,109,53.96,,,,,1.8,,,,0,,,,0,0.33,0.08,0.04,,,,,,,0.92,11.01,0.92,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,87.16
Precinct,18,22-18,768,50.0,,,,,2.91,,,,0,,,,0,1.6,1.01,0.59,,,,,,,0.0,0.0,0.78,34.9,,,0.39,0.0,,,,,,,,,,,0.0,,0.13,,63.67
Precinct,19,22-19,291,41.34,,,,,8.49,,,,0,,,,0,0.44,0.57,0.23,,,,,,,0.0,0.34,4.47,26.46,,,12.37,0.34,,,,,,,,,,,0.0,,0.0,,56.01
Precinct,20,22-20,126,49.22,,,,,3.82,,,,0,,,,0,0.26,0.19,0.07,,,,,,,0.0,1.59,14.29,26.98,,,14.29,0.0,,,,,,,,,,,0.0,,0.0,,42.86
Precinct,21,22-21,658,49.66,,,,,4.64,,,,0,,,,0,0.95,0.83,1.19,,,,,,,0.3,0.46,16.87,9.42,,,3.95,0.0,,,,,,,,,,,3.19,,1.06,,64.74
Precinct,22,22-22,296,26.36,,,,,6.62,,,,0,,,,0,0.71,0.27,0.37,,,,,,,0.0,0.68,7.09,39.53,,,1.01,0.0,,,,,,,,,,,0.68,,0.34,,50.68
Precinct,23,22-23,312,25.47,,,,,7.14,,,,0,,,,0,0.46,0.47,0.48,,,,,,,0.0,0.0,8.97,31.73,,,0.96,0.0,,,,,,,,,,,0.0,,0.32,,58.01
Precinct,24,22-24,363,49.79,,,,,3.46,,,,0,,,,0,0.79,0.37,0.41,,,,,,,0.0,0.0,2.48,41.6,,,0.28,0.0,,,,,,,,,,,0.28,,0.0,,55.1
Precinct,25,22-25,0,0.0,,,,,,,,,0,,,,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,26,22-26,547,35.66,,,,,4.04,,,,0,,,,0,0.88,0.73,0.79,,,,,,,0.37,3.47,2.56,11.88,,,10.42,0.37,,,,,,,,,,,3.84,,1.83,,65.08
Precinct,27,22-27,465,41.63,,,,,3.33,,,,0,,,,0,0.6,0.64,0.8,,,,,,,0.22,3.66,16.56,6.02,,,3.66,0.0,,,,,,,,,,,2.15,,0.43,,67.1
Precinct,28,22-28,114,32.29,,,,,1.72,,,,0,,,,0,0.28,0.11,0.08,,,,,,,0.0,24.56,0.0,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,75.44
Precinct,29,22-29,536,30.54,,,,,5.13,,,,0,,,,0,1.08,0.57,0.75,,,,,,,1.49,0.19,0.56,33.77,,,0.93,0.75,,,,,,,,,,,0.75,,2.05,,58.96
Precinct,30,22-30,453,27.36,,,,,5.82,,,,0,,,,0,0.79,0.53,0.73,,,,,,,0.88,0.0,1.1,43.05,,,0.66,0.88,,,,,,,,,,,0.44,,2.65,,50.33
Precinct,31,22-31,507,29.22,,,,,9.63,,,,0,,,,0,1.0,0.65,0.71,,,,,,,0.2,0.39,1.18,37.28,,,0.59,0.39,,,,,,,,,,,0.39,,0.79,,57.0
Precinct,32,22-32,571,34.15,,,,,3.71,,,,0,,,,0,1.25,0.59,0.64,,,,,,,0.18,0.35,0.53,66.55,,,0.88,0.35,,,,,,,,,,,0.0,,0.18,,31.0
Precinct,33,22-33,179,36.31,,,,,1.11,,,,0,,,,0,0.29,0.21,0.27,,,,,,,0.56,1.12,3.35,15.08,,,0.0,0.0,,,,,,,,,,,0.56,,0.0,,79.33
Precinct,34,22-34,241,23.65,,,,,0.0,,,,0,,,,0,0.44,0.38,0.12,,,,,,,0.41,4.56,3.32,24.07,,,2.07,0.0,,,,,,,,,,,0.0,,0.83,,58.51
Precinct,35,22-35,193,16.19,,,,,12.67,,,,0,,,,0,0.42,0.29,0.18,,,,,,,1.04,10.36,6.74,21.24,,,0.52,0.0,,,,,,,,,,,0.52,,5.7,,53.89
Precinct,36,22-36,470,38.49,,,,,6.0,,,,0,,,,0,0.69,0.83,0.47,,,,,,,0.21,10.64,1.7,7.87,,,14.04,0.43,,,,,,,,,,,0.43,,9.15,,55.53
Precinct,37,22-37,276,18.92,,,,,7.69,,,,0,,,,0,0.58,0.42,0.18,,,,,,,0.72,7.25,9.06,46.01,,,1.81,0.0,,,,,,,,,,,0.36,,1.09,,32.97
Precinct,38,22-38,442,40.59,,,,,3.91,,,,0,,,,0,0.5,0.77,0.61,,,,,,,0.23,0.0,7.92,16.97,,,0.0,0.0,,,,,,,,,,,0.23,,0.0,,72.4
Precinct,39,22-39,321,35.39,,,,,0.0,,,,0,,,,0,0.0,0.0,1.78,,,,,,,0.31,7.17,1.25,20.25,,,1.25,0.0,,,,,,,,,,,0.31,,0.31,,58.88
Precinct,40,22-40,508,38.96,,,,,4.15,,,,0,,,,0,1.06,0.55,0.61,,,,,,,0.2,0.0,5.71,24.61,,,0.2,0.0,,,,,,,,,,,0.2,,8.66,,60.43
Precinct,41,22-41,522,35.03,,,,,3.69,,,,0,,,,0,1.28,0.68,0.17,,,,,,,0.0,0.19,16.48,12.07,,,0.19,0.19,,,,,,,,,,,0.19,,0.19,,70.5
Precinct,42,22-42,416,33.04,,,,,1.89,,,,0,,,,0,0.69,0.75,0.19,,,,,,,0.96,0.48,20.43,26.44,,,0.48,0.24,,,,,,,,,,,0.0,,1.44,,49.52
Precinct,43,22-43,276,22.62,,,,,20.46,,,,0,,,,0,0.64,0.34,0.52,,,,,,,0.72,26.09,1.45,22.1,,,0.36,0.36,,,,,,,,,,,0.0,,0.0,,48.91
Precinct,44,22-44,303,21.67,,,,,7.06,,,,0,,,,0,0.75,0.39,0.16,,,,,,,0.0,5.61,11.22,19.47,,,0.0,0.0,,,,,,,,,,,0.0,,0.33,,60.07
Precinct,45,22-45,137,39.83,,,,,5.52,,,,0,,,,0,0.38,0.11,0.11,,,,,,,0.0,3.65,9.49,31.39,,,0.0,0.0,,,,,,,,,,,0.73,,0.0,,54.74
Precinct,46,22-46,242,25.8,,,,,9.36,,,,0,,,,0,0.54,0.24,0.37,,,,,,,0.0,3.31,16.12,21.49,,,0.41,0.0,,,,,,,,,,,0.83,,0.41,,57.44
Precinct,47,22-47,285,27.62,,,,,13.37,,,,0,,,,0,0.7,0.31,0.38,,,,,,,0.0,12.63,2.81,35.09,,,0.35,1.05,,,,,,,,,,,0.0,,0.0,,47.72
Precinct,48,22-48,641,38.15,,,,,14.19,,,,0,,,,0,1.29,1.01,0.74,,,,,,,0.78,0.62,24.65,11.86,,,0.47,13.57,,,,,,,,,,,0.16,,0.47,,47.43
Precinct,49,22-49,550,34.16,,,,,13.93,,,,0,,,,0,1.05,0.91,0.63,,,,,,,0.18,0.36,13.27,10.73,,,0.36,18.73,,,,,,,,,,,0.36,,0.36,,55.64
Precinct,50,22-50,549,39.05,,,,,12.02,,,,0,,,,0,1.05,0.81,0.72,,,,,,,2.37,0.18,15.12,10.75,,,0.55,19.85,,,,,,,,,,,0.0,,0.55,,49.18
Precinct,51,22-51,310,31.16,,,,,0.0,,,,0,,,,0,0.82,0.27,0.17,,,,,,,0.0,0.0,1.61,19.68,,,2.26,0.0,,,,,,,,,,,0.32,,0.0,,76.13
Precinct,52,22-52,353,29.08,,,,,5.11,,,,0,,,,0,0.83,0.33,0.4,,,,,,,0.85,0.57,38.24,21.53,,,0.85,0.28,,,,,,,,,,,0.0,,0.0,,34.84
Precinct,53,22-53,518,28.65,,,,,6.5,,,,0,,,,0,0.82,0.8,0.66,,,,,,,0.19,0.19,3.47,16.41,,,0.19,0.0,,,,,,,,,,,0.0,,0.58,,75.29
Precinct,54,22-54,343,40.31,,,,,2.56,,,,0,,,,0,0.57,0.51,0.34,,,,,,,0.0,0.0,17.2,9.62,,,0.58,0.0,,,,,,,,,,,0.0,,2.04,,70.55
Precinct,55,22-55,381,24.69,,,,,4.51,,,,0,,,,0,0.5,0.65,0.47,,,,,,,0.52,2.62,3.94,19.42,,,2.36,0.79,,,,,,,,,,,1.84,,11.29,,57.22
Precinct,56,22-56,278,21.38,,,,,5.44,,,,0,,,,0,0.58,0.45,0.11,,,,,,,1.44,0.36,3.6,42.81,,,1.08,0.0,,,,,,,,,,,0.36,,23.74,,26.62
Precinct,57,22-57,0,0.0,,,,,,,,,0,,,,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,58,22-58,377,27.42,,,,,2.84,,,,0,,,,0,0.63,0.52,0.45,,,,,,,0.0,0.27,8.22,24.4,,,0.27,0.0,,,,,,,,,,,0.0,,0.0,,66.84
Precinct,59,22-59,429,36.92,,,,,4.03,,,,0,,,,0,0.68,0.65,0.48,,,,,,,0.0,1.17,19.35,25.17,,,0.23,0.47,,,,,,,,,,,0.47,,0.47,,52.45
Precinct,60,22-60,290,68.4,,,,,0.68,,,,0,,,,0,0.5,0.5,0.12,,,,,,,0.0,0.69,3.45,4.83,,,13.1,0.0,,,,,,,,,,,0.0,,1.38,,76.21
Precinct,61,22-61,365,57.57,,,,,3.44,,,,0,,,,0,0.66,0.52,0.36,,,,,,,0.27,0.0,0.82,45.75,,,1.64,0.27,,,,,,,,,,,0.0,,0.0,,45.48
Precinct,62,22-62,239,45.01,,,,,5.91,,,,0,,,,0,0.52,0.33,0.16,,,,,,,0.0,0.0,0.42,50.21,,,1.26,0.0,,,,,,,,,,,0.0,,0.0,,48.12
Precinct,63,22-63,147,79.03,,,,,3.92,,,,0,,,,0,0.23,0.27,0.1,,,,,,,0.0,0.0,0.68,16.33,,,0.0,0.0,,,,,,,,,,,0.68,,0.68,,81.63
Precinct,64,22-64,160,18.93,,,,,9.09,,,,0,,,,0,0.27,0.18,0.32,,,,,,,3.13,0.0,5.0,17.5,,,5.0,1.25,,,,,,,,,,,1.25,,14.38,,52.5
Precinct,65,22-65,535,33.78,,,,,8.39,,,,0,,,,0,0.84,0.82,0.76,,,,,,,0.0,0.37,0.93,51.03,,,1.87,0.75,,,,,,,,,,,0.37,,0.37,,44.3
Precinct,66,22-66,247,18.12,,,,,5.36,,,,0,,,,0,0.14,0.62,0.23,,,,,,,3.24,3.64,4.86,34.01,,,1.21,0.81,,,,,,,,,,,0.4,,11.74,,40.08
Precinct,67,22-67,226,18.54,,,,,14.07,,,,0,,,,0,0.33,0.38,0.39,,,,,,,2.21,3.54,2.65,51.77,,,0.89,0.89,,,,,,,,,,,0.0,,3.98,,34.07
Precinct,68,22-68,293,30.36,,,,,8.44,,,,0,,,,0,0.58,0.36,0.4,,,,,,,0.0,2.73,1.02,80.2,,,0.0,0.0,,,,,,,,,,,0.0,,1.71,,14.33
Precinct,69,22-69,346,25.52,,,,,6.74,,,,0,,,,0,0.43,0.46,0.71,,,,,,,0.58,0.87,0.87,68.5,,,0.87,0.87,,,,,,,,,,,0.0,,2.02,,25.43
Precinct,71,22-71,351,31.88,,,,,3.04,,,,0,,,,0,0.55,0.56,0.34,,,,,,,0.0,0.28,5.13,3.42,,,0.28,0.0,,,,,,,,,,,0.28,,2.28,,88.32
Precinct,72,22-72,311,25.35,,,,,19.85,,,,0,,,,0,0.71,0.41,0.52,,,,,,,0.0,0.0,48.23,16.08,,,0.96,0.0,,,,,,,,,,,0.64,,0.32,,33.76
Precinct,73,22-73,238,28.17,,,,,5.93,,,,0,,,,0,0.58,0.25,0.22,,,,,,,0.0,0.42,28.99,32.35,,,6.72,0.42,,,,,,,,,,,0.42,,0.84,,29.83
Precinct,74,22-74,254,45.2,,,,,0.0,,,,0,,,,0,0.39,0.4,0.22,,,,,,,0.39,0.0,21.65,34.25,,,2.36,0.0,,,,,,,,,,,0.0,,0.0,,37.01
Precinct,75,22-75,286,56.3,,,,,3.7,,,,0,,,,0,0.59,0.34,0.3,,,,,,,0.35,0.0,0.7,27.62,,,3.15,0.0,,,,,,,,,,,0.35,,3.15,,64.69
Precinct,76,22-76,359,30.66,,,,,5.77,,,,0,,,,0,0.73,0.49,0.33,,,,,,,0.56,0.28,33.98,36.49,,,0.56,0.0,,,,,,,,,,,0.0,,0.0,,28.13
Precinct,77,22-77,253,24.33,,,,,2.69,,,,0,,,,0,0.41,0.36,0.29,,,,,,,0.0,0.0,9.88,31.23,,,0.4,1.19,,,,,,,,,,,0.0,,0.0,,57.31
Precinct,78,22-78,502,39.87,,,,,6.86,,,,0,,,,0,0.95,0.94,0.16,,,,,,,0.8,2.59,3.98,47.21,,,4.38,0.4,,,,,,,,,,,1.59,,0.4,,38.45
Precinct,79,22-79,528,31.75,,,,,7.37,,,,0,,,,0,0.83,0.76,0.78,,,,,,,1.7,0.19,0.95,49.81,,,0.38,0.19,,,,,,,,,,,0.0,,0.57,,45.08
Precinct,80,22-80,479,61.73,,,,,2.64,,,,0,,,,0,0.33,1.18,0.34,,,,,,,0.21,1.46,22.13,9.19,,,0.0,0.0,,,,,,,,,,,0.0,,0.21,,66.81
Precinct,81,22-81,526,50.82,,,,,0.38,,,,0,,,,0,0.71,0.63,0.93,,,,,,,0.0,0.0,9.51,17.11,,,0.19,0.0,,,,,,,,,,,0.19,,0.0,,73.0
Precinct,82,22-82,290,24.11,,,,,13.69,,,,0,,,,0,0.65,0.26,0.57,,,,,,,0.0,5.52,3.45,35.17,,,2.76,0.0,,,,,,,,,,,0.69,,0.34,,52.07
Precinct,83,22-83,639,39.96,,,,,11.25,,,,0,,,,0,1.5,-1.2,4.0,,,,,,,2.19,0.0,20.81,11.11,,,0.0,14.71,,,,,,,,,,,0.0,,0.78,,50.39
Precinct,84,22-84,273,28.95,,,,,7.46,,,,0,,,,0,0.42,0.51,0.23,,,,,,,6.23,2.2,4.4,21.98,,,0.0,0.0,,,,,,,,,,,0.0,,5.86,,59.34
Precinct,85,22-85,233,23.07,,,,,5.28,,,,0,,,,0,0.33,0.26,0.49,,,,,,,0.0,0.86,5.15,50.64,,,2.58,9.01,,,,,,,,,,,0.0,,0.43,,30.9
Precinct,86,22-86,142,19.97,,,,,8.97,,,,0,,,,0,0.26,0.19,0.19,,,,,,,0.0,0.7,7.04,28.87,,,2.11,0.0,,,,,,,,,,,2.11,,4.93,,54.23
Precinct,87,22-87,161,52.44,,,,,1.23,,,,0,,,,0,0.34,0.25,0.04,,,,,,,0.0,0.0,1.86,50.93,,,1.86,0.62,,,,,,,,,,,0.62,,0.0,,44.1
Precinct,1,23-1,362,36.06,,,,,3.72,,,,0,,,,0,0.53,0.63,0.32,,,,,,,0.28,3.31,22.1,12.98,,,6.63,2.21,,,,,,,,,1.38,,4.7,,,,46.13
Precinct,2,23-2,406,31.35,,,,,4.69,,,,0,,,,0,0.78,0.54,0.43,,,,,,,0.74,0.49,14.78,11.08,,,7.14,2.46,,,,,,,,,0.74,,3.94,,,,58.37
Precinct,3,23-3,437,33.28,,,,,2.89,,,,0,,,,0,0.73,0.67,0.41,,,,,,,0.46,1.14,19.45,8.47,,,3.66,1.6,,,,,,,,,1.14,,2.97,,,,61.1
Precinct,4,23-4,337,29.72,,,,,3.44,,,,0,,,,0,0.55,0.47,0.42,,,,,,,1.78,2.37,15.13,6.82,,,4.75,0.59,,,,,,,,,2.08,,3.26,,,,63.2
Precinct,5,23-5,413,30.55,,,,,5.92,,,,0,,,,0,0.69,0.62,0.49,,,,,,,1.69,0.97,22.03,10.17,,,7.02,1.69,,,,,,,,,0.73,,2.91,,,,52.3
Precinct,6,23-6,407,32.59,,,,,4.46,,,,0,,,,0,0.75,0.58,0.39,,,,,,,0.74,1.47,26.04,8.85,,,12.29,2.46,,,,,,,,,0.98,,1.97,,,,45.21
Precinct,7,23-7,214,77.82,,,,,1.83,,,,0,,,,0,0.23,0.46,0.13,,,,,,,0.47,0.47,12.15,14.49,,,1.4,1.4,,,,,,,,,0.0,,6.07,,,,63.55
Precinct,8,23-8,280,56.91,,,,,3.45,,,,0,,,,0,0.31,0.37,0.58,,,,,,,0.36,0.0,5.36,12.14,,,0.71,0.0,,,,,,,,,0.36,,0.36,,,,80.36
Precinct,9,23-9,248,35.13,,,,,4.98,,,,0,,,,0,0.2,0.46,0.42,,,,,,,0.0,0.0,5.24,11.69,,,0.4,0.0,,,,,,,,,0.0,,0.4,,,,82.26
Precinct,10,23-10,290,34.0,,,,,5.23,,,,0,,,,0,0.51,0.39,0.38,,,,,,,0.34,0.0,6.9,36.55,,,1.38,,,,,,,,,,,,0.69,,,,54.14
Precinct,11,23-11,459,30.32,,,,,8.38,,,,0,,,,0,0.69,0.73,0.66,,,,,,,0.22,7.19,15.25,13.29,,,20.7,4.58,,,,,,,,,0.44,,7.41,,,,30.5
Precinct,12,23-12,556,37.27,,,,,9.15,,,,0,,,,0,1.0,0.95,0.48,,,,,,,0.54,6.12,18.88,14.21,,,11.51,6.65,,,,,,,,,0.36,,7.19,,,,34.53
Precinct,13,23-13,452,28.99,,,,,9.96,,,,0,,,,0,0.85,0.68,0.52,,,,,,,0.22,8.63,13.05,14.6,,,12.39,7.96,,,,,,,,,1.11,,5.53,,,,36.28
Precinct,14,23-14,301,39.81,,,,,6.81,,,,0,,,,0,0.44,0.47,0.43,,,,,,,0.66,17.94,13.29,11.3,,,15.61,3.99,,,,,,,,,1.66,,6.98,,,,28.57
Precinct,15,23-15,265,32.28,,,,,6.03,,,,0,,,,0,0.45,0.39,0.33,,,,,,,0.38,7.55,2.26,21.13,,,0.38,0.38,,,,,,,,,1.13,,0.75,,,,66.04
