region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,2,,8,,1219,9,120,341,449,1150,14,,,,,,,,9,,74,115,10,0,26,1,,2,,0,,,4,2,,1,1,190
,2,,9,,1204,10,129,350,460,1100,23,,,,,,,,15,,68,77,11,0,24,2,,1,,1,,,2,5,,0,0,231
,2,,10,,1314,10,175,505,644,1200,23,,,,,,,,40,,79,123,9,1,31,0,,3,,0,,,8,9,,0,1,306
,2,,11,,1323,8,163,471,603,1250,31,,,,,,,,19,,56,152,23,0,31,0,,1,,0,,,5,17,,0,0,266
,2,,12,,1306,7,168,480,626,1250,36,,,,,,,,18,,75,114,20,1,26,0,,0,,0,,,13,14,,2,1,307
,2,,13,,1415,7,197,470,646,1350,22,,,,,,,,13,,113,129,12,0,31,1,,3,,0,,,6,8,,1,0,306
,2,,14,,1340,9,183,500,629,1250,16,,,,,,,,16,,86,146,12,2,34,0,,3,,2,,,18,17,,0,1,276
,2,,15,,1369,11,220,478,617,1250,33,,,,,,,,12,,77,142,13,4,33,0,,2,,1,,,3,9,,2,1,286
,2,,16,,1248,7,143,360,461,1150,21,,,,,,,,8,,57,153,7,2,17,0,,0,,1,,,0,5,,1,1,188
,2,,17,,1442,6,195,565,687,1350,19,,,,,,,,15,,84,162,15,1,47,0,,2,,0,,,7,8,,0,0,326
,2,,18,,1272,10,173,454,577,1200,25,,,,,,,,13,,68,138,6,3,29,2,,0,,1,,,6,7,,0,1,278
,2,,19,,713,6,117,235,275,700,8,,,,,,,,10,,4,90,3,1,8,0,,0,,0,,,2,7,,0,0,141
,2,,20,,367,2,63,141,156,400,3,,,,,,,,0,,17,42,1,1,13,1,,0,,0,,,0,0,,0,2,76
,2,,23,,1443,12,182,460,596,1350,13,,,,,,,,20,,68,142,9,1,40,0,,1,,0,,,7,3,,1,0,289
,2,,24,,1462,7,218,522,651,1400,12,,,,,,,,36,,77,177,6,1,33,1,,4,,0,,,1,12,,1,0,290
,2,,25,,1363,4,172,462,595,1300,19,,,,,,,,27,,72,135,7,2,34,2,,6,,1,,,5,10,,0,1,273
,2,,26,,854,10,113,330,422,800,20,,,,,,,,6,,55,111,8,1,25,0,,0,,0,,,4,14,,1,0,177
,2,,27,,1260,11,163,452,610,1200,26,,,,,,,,14,,103,155,6,1,27,0,,2,,0,,,7,7,,0,2,246
,2,,28,,1346,7,187,462,603,1250,23,,,,,,,,14,,84,144,10,1,42,1,,2,,0,,,0,8,,1,1,271
